id	survey	record_id_square	record_id_circle	type_observed	type_analysis	criterium	indicator	belang	voorwaarde	plot_type	waarde	waarde_numeric	referentiewaarde	status_voorwaarde	theoretischmaximum	verschilscore
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten	square	0	0	7	0	21	-1
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Verstoring	eutrofiëring	zb	bedekking eutrofiëring	square	29.9973376	29.9973	30	1	100	1e-04
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Structuur	verticale structuur	b	bedekking hoge grassen	square	20.8	20.8	70	1	100	0.7029
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Structuur	verticale structuur	b	bedekking middelhoge grassen	square	80	80	5	1	100	0.7895
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Vegetatie	bedekking sleutelsoorten	b	bedekking sleutelsoorten	square	0	0	30	0	100	-1
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Verstoring	strooisellaag	b	bedekking strooisellaag	square	4	4	10	1	100	0.996
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Verstoring	verbossing	b	bedekking verbossing	circle	0	0	10	1	100	1
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Verstoring	verbraming	b	bedekking verbraming	square	0	0	10	1	100	1
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Verstoring	vergrassing inclusief vervilting	zb	bedekking vergrassing	square	68.32	68.32	50	0	100	-0.3664
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Verstoring	verruiging inclusief ruderalisering	zb	bedekking verruiging	square	5.871196	5.8712	30	1	100	0.8043
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	6510_hu	6510_hu	Structuur	dominantie van één soort	b	dominantie van een soort excl. sleutelsoorten	square	80	80	50	0	100	-0.6
1004470_2015-08-18	N2000meetnet_Moerassen	IV2017022111183354	IV2017022111173825	7140_meso	7140_meso	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten	square	2	2	4	0	12	-0.5
1004470_2015-08-18	N2000meetnet_Moerassen	IV2017022111183354	IV2017022111173825	7140_meso	7140_meso	Verstoring	eutrofiëring	zb	bedekking eutrofiëring	square	31.393	31.393	10	0	100	-0.2377
1004470_2015-08-18	N2000meetnet_Moerassen	IV2017022111183354	IV2017022111173825	7140_meso	7140_meso	Verstoring	invasieve exoten	zb	bedekking invasieve exoten	square	0	0	0	1	100	1
