id	type_analysis	criterium	indicator	belang	status_indicator	verschilscore
100297_2016-06-07	6510_hu	Vegetatie	bedekking sleutelsoorten	b	0	-1
100297_2016-06-07	6510_hu	Structuur	dominantie van één soort	b	0	-0.6
100297_2016-06-07	6510_hu	Verstoring	eutrofiëring	zb	1	1e-04
100297_2016-06-07	6510_hu	Vegetatie	sleutelsoorten	b	0	-1
100297_2016-06-07	6510_hu	Verstoring	strooisellaag	b	1	0.996
100297_2016-06-07	6510_hu	Verstoring	verbossing	b	1	1
100297_2016-06-07	6510_hu	Verstoring	verbraming	b	1	1
100297_2016-06-07	6510_hu	Verstoring	vergrassing inclusief vervilting	zb	0	-0.3664
100297_2016-06-07	6510_hu	Verstoring	verruiging inclusief ruderalisering	zb	1	0.8043
100297_2016-06-07	6510_hu	Structuur	verticale structuur	b	1	0.7029
1004470_2015-08-18	7140_meso	Structuur	(korst)moslaag	b	1	0.23
1004470_2015-08-18	7140_meso	Vegetatie	bedekking sleutel- en overige soorten	b	1	0.04
1004470_2015-08-18	7140_meso	Structuur	dominantie van één soort	b	1	0.5614
1004470_2015-08-18	7140_meso	Verstoring	eutrofiëring	zb	0	-0.2377
1004470_2015-08-18	7140_meso	Verstoring	invasieve exoten	zb	1	1
1004470_2015-08-18	7140_meso	Vegetatie	sleutelsoorten	b	0	-0.5
1004470_2015-08-18	7140_meso	Verstoring	strooisellaag	b	1	1
1004470_2015-08-18	7140_meso	Verstoring	structuurschade	b	1	1
1004470_2015-08-18	7140_meso	Verstoring	verbossing	zb	1	0.5
1004470_2015-08-18	7140_meso	Verstoring	vergrassing	zb	1	0.6
1004470_2015-08-18	7140_meso	Verstoring	vermossing	zb	1	1
1004470_2015-08-18	7140_meso	Verstoring	verruiging	zb	1	0.9337
1004470_2023-08-18	7140_meso	Structuur	(korst)moslaag	b	0	-0.0238
1004470_2023-08-18	7140_meso	Vegetatie	bedekking sleutel- en overige soorten	b	1	0.0199
1004470_2023-08-18	7140_meso	Structuur	dominantie van één soort	b	1	0.5614
1004470_2023-08-18	7140_meso	Verstoring	eutrofiëring	zb	0	-0.0075
1004470_2023-08-18	7140_meso	Verstoring	invasieve exoten	zb	1	1
1004470_2023-08-18	7140_meso	Vegetatie	sleutelsoorten	b	0	-0.25
1004470_2023-08-18	7140_meso	Verstoring	strooisellaag	b	1	0.9997
1004470_2023-08-18	7140_meso	Verstoring	structuurschade	b	1	1
1004470_2023-08-18	7140_meso	Verstoring	verbossing	zb	1	1
1004470_2023-08-18	7140_meso	Verstoring	vergrassing	zb	1	0.9667
1004470_2023-08-18	7140_meso	Verstoring	vermossing	zb	1	1
1004470_2023-08-18	7140_meso	Verstoring	verruiging	zb	1	0.9667
1007490_2014-06-05	6510_hu	Vegetatie	bedekking sleutelsoorten	b	0	-0.9667
1007490_2014-06-05	6510_hu	Structuur	dominantie van één soort	b	0	-0.2
1007490_2014-06-05	6510_hu	Verstoring	eutrofiëring	zb	0	-0.6119
1007490_2014-06-05	6510_hu	Vegetatie	sleutelsoorten	b	0	-0.8571
1007490_2014-06-05	6510_hu	Verstoring	strooisellaag	b	1	1
1007490_2014-06-05	6510_hu	Verstoring	verbossing	b	1	1
1007490_2014-06-05	6510_hu	Verstoring	verbraming	b	1	1
1007490_2014-06-05	6510_hu	Verstoring	vergrassing inclusief vervilting	zb	0	-0.01
1007490_2014-06-05	6510_hu	Verstoring	verruiging inclusief ruderalisering	zb	1	0.9333
1007490_2014-06-05	6510_hu	Structuur	verticale structuur	b	1	0.8643
1007490_2014-06-05	6510_hua	Vegetatie	bedekking sleutelsoorten	b	0	-1
1007490_2014-06-05	6510_hua	Structuur	dominantie van één soort	b	0	-0.2
1007490_2014-06-05	6510_hua	Verstoring	eutrofiëring	zb	0	-0.6119
1007490_2014-06-05	6510_hua	Vegetatie	sleutelsoorten	b	0	-1
1007490_2014-06-05	6510_hua	Verstoring	strooisellaag	b	1	1
1007490_2014-06-05	6510_hua	Verstoring	verbossing	b	1	1
1007490_2014-06-05	6510_hua	Verstoring	verbraming	b	1	1
1007490_2014-06-05	6510_hua	Verstoring	verdroging	zb	0	-0.4286
1007490_2014-06-05	6510_hua	Verstoring	vergrassing inclusief vervilting	zb	0	-0.01
1007490_2014-06-05	6510_hua	Verstoring	vernatting	zb	1	1
1007490_2014-06-05	6510_hua	Verstoring	verruiging inclusief ruderalisering	zb	1	0.9333
1007490_2014-06-05	6510_hua	Structuur	verticale structuur	b	1	0.8643
1007490_2014-06-05	6510_huk	Vegetatie	bedekking sleutelsoorten	b	0	-1
1007490_2014-06-05	6510_huk	Structuur	dominantie van één soort	b	0	-0.2
1007490_2014-06-05	6510_huk	Verstoring	eutrofiëring	zb	0	-0.6119
1007490_2014-06-05	6510_huk	Structuur	levensvormen	b	0	-0.9
1007490_2014-06-05	6510_huk	Vegetatie	sleutelsoorten	b	0	-1
1007490_2014-06-05	6510_huk	Verstoring	strooisellaag	b	1	1
1007490_2014-06-05	6510_huk	Verstoring	verbossing	b	1	1
