versie	schaal	type_resultaat	habitattype	sbzh	habitatsubtype	criterium	indicator	belang	n_obs	aandeel_gunstig	aandeel_gunstig_llci	aandeel_gunstig_ulci	beoordeling
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_da	Structuur	horizontale structuur	zb	67	100	100	100	4
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_da	Structuur	kreken, oeverwallen en kommen	zb	67	85.07	74.09	91.91	3
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_da	Structuur	schorklifvorming/breuksteenbestorting	zb	67	68.66	56.32	78.82	3
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_da	Structuur	verticale gradiënt	zb	67	94.03	84.81	97.8	4
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_da	Verstoring	verruiging	zb	67	94.03	84.81	97.8	4
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_da	Verstoring	verzoeting	zb	67	98.51	89.69	99.8	4
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_hpr	Structuur	dominantie van één soort	zb	58	98.56	89.9	99.81	4
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_hpr	Structuur	microreliëf	zb	58	87.72	75.41	94.33	4
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_hpr	Verstoring	overgang naar rbbzil	zb	58	72.56	58.83	83.04	3
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_hpr; 1330_da	Vegetatie	bedekking sleutelsoorten	b	125	52.83	43.64	61.82	5
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_hpr; 1330_da	Vegetatie	sleutelsoorten	b	125	62.7	53.51	71.06	5
Versie 3	Vlaanderen	1	8	Binnen & Buiten	1330_hpr; 1330_da	Verstoring	rietontwikkeling	zb	125	64.51	55.5	72.6	5
Versie 3	Vlaanderen	2	8	Binnen	1330_hpr	Structuur	dominantie van één soort	zb	43	97.67	84.46	99.69	4
