recording_givid	survey	user_reference	area	vague_date_begin	vague_date_end	latitude	longitude
IV2013070514353929	Schelde-estuarium	BV12/086	16	2012-09-25	2012-09-25	500	500
IV2013070514565804	Schelde-estuarium	BV12/087	16	2012-09-25	2012-09-25	500	500
IV2013070515045697	Schelde-estuarium	BV12/088	16	2012-09-25	2012-09-25	500	500
IV2013070515115854	Schelde-estuarium	BV12/089	16	2012-09-25	2012-09-25	500	500
IV2013070515292304	Schelde-estuarium	BV12/091	16	2012-09-25	2012-09-25	500	500
IV2013070515363839	Schelde-estuarium	BV12/090	16	2012-09-25	2012-09-25	500	500
IV2013070515415608	Schelde-estuarium	BV12/092	16	2012-09-25	2012-09-25	500	500
IV2013070515451409	Schelde-estuarium	BV12/093	16	2012-09-25	2012-09-25	500	500
IV2013070515513858	Schelde-estuarium	BV12/094	16	2012-09-25	2012-09-25	500	500
IV2013070515583172	Schelde-estuarium	BV12/095	16	2012-09-25	2012-09-25	500	500
IV2013070516010967	Schelde-estuarium	BV12/096	16	2012-09-25	2012-09-25	500	500
IV2013070516102904	Schelde-estuarium	BV12/097	16	2012-09-25	2012-09-25	500	500
IV2013070516275106	Schelde-estuarium	BV12/098	9	2012-09-26	2012-09-26	500	500
IV2013070908524962	Schelde-estuarium	BV12/099	9	2012-09-26	2012-09-26	500	500
IV2013070908573073	Schelde-estuarium	BV12/100	9	2012-09-26	2012-09-26	500	500
IV2013070909002478	Schelde-estuarium	BV12/101	9	2012-09-26	2012-09-26	500	500
IV2013070909043060	Schelde-estuarium	BV12/102	9	2012-09-26	2012-09-26	500	500
IV2013070909072746	Schelde-estuarium	BV12/103	9	2012-09-26	2012-09-26	500	500
IV2013070909104301	Schelde-estuarium	BV12/104	9	2012-09-26	2012-09-26	500	500
IV2013070909141149	Schelde-estuarium	BV12/105	9	2012-09-26	2012-09-26	500	500
IV2013070909163239	Schelde-estuarium	BV12/106	9	2012-09-26	2012-09-26	500	500
IV2013070909202401	Schelde-estuarium	BV12/108	9	2012-09-26	2012-09-26	500	500
IV2013070909254090	Schelde-estuarium	BV12/107	9	2012-09-26	2012-09-26	500	500
IV2013070909273869	Schelde-estuarium	BV12/109	9	2012-09-26	2012-09-26	500	500
IV2013070909304619	Schelde-estuarium	BV12/110	9	2012-09-26	2012-09-26	500	500
IV2013070909341303	Schelde-estuarium	BV12/111	4	2012-09-28	2012-09-28	500	500
IV2013070909483015	Schelde-estuarium	BV12/114	9	2012-09-28	2012-09-28	500	500
IV2013070909572092	Schelde-estuarium	BV12/113	9	2012-09-28	2012-09-28	500	500
IV2013070910004494	Schelde-estuarium	BV12/112	16	2012-09-28	2012-09-28	500	500
IV2013070910033601	Schelde-estuarium	BV12/115	9	2012-10-03	2012-10-03	500	500
