recording_givid	survey	type_observed	classif_key	type_cover
IV2017010510420097	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017010511152189	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017010511460749	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017010512181008	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017010609200485	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	60
IV2017010609200485	N2000meetnet_Grasland	rbbkam	Habitatsleutel v5	40
IV2017010609352959	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010610523940	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	93
IV2017010610523940	N2000meetnet_Grasland	rbbkam	Habitatsleutel v5	7
IV2017010611111454	N2000meetnet_Grasland	3130	Habitatsleutel v5	25
IV2017010611111454	N2000meetnet_Grasland	4030	Habitatsleutel v5	5
IV2017010611111454	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	70
IV2017010612064228	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010612172361	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	30
IV2017010612172361	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	20
IV2017010612172361	N2000meetnet_Grasland	rbbkam	Habitatsleutel v5	40
IV2017010612172361	N2000meetnet_Grasland	rbbzil	Habitatsleutel v5	10
IV2017010612593713	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010613221989	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017010613314127	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	63
IV2017010613314127	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	37
IV2017010613424129	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010616345212	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	50
IV2017010616345212	N2000meetnet_Grasland	rbbzil	Habitatsleutel v5	50
IV2017010616415877	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010616490548	N2000meetnet_Grasland	-9	Habitatsleutel v5	40
IV2017010616490548	N2000meetnet_Grasland	4030	Habitatsleutel v5	10
IV2017010616490548	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	50
IV2017010616530182	N2000meetnet_Grasland	-9	Habitatsleutel v5	20
IV2017010616530182	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	70
IV2017010616530182	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	10
IV2017010617002129	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	100
