survey	recording_givid	layer_code	layer_description	layer_cover
Schelde-estuarium	IV2013070514353929	KH	Kruidlaag Hoog	2
Schelde-estuarium	IV2013070514353929	STR	Strooisel	1
Schelde-estuarium	IV2013070514353929	TOT	Bedekking Totaal	2
Schelde-estuarium	IV2013070514565804	KH	Kruidlaag Hoog	75
Schelde-estuarium	IV2013070514565804	STR	Strooisel	20
Schelde-estuarium	IV2013070514565804	TOT	Bedekking Totaal	75
Schelde-estuarium	IV2013070515045697	KH	Kruidlaag Hoog	2
Schelde-estuarium	IV2013070515045697	STR	Strooisel	1
Schelde-estuarium	IV2013070515045697	TOT	Bedekking Totaal	3
Schelde-estuarium	IV2013070515115854	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070515115854	STR	Strooisel	60
Schelde-estuarium	IV2013070515115854	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070515292304	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070515292304	STR	Strooisel	40
Schelde-estuarium	IV2013070515292304	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070515363839	KH	Kruidlaag Hoog	35
Schelde-estuarium	IV2013070515363839	STR	Strooisel	1
Schelde-estuarium	IV2013070515363839	TOT	Bedekking Totaal	35
Schelde-estuarium	IV2013070515415608	STR	Strooisel	2
Schelde-estuarium	IV2013070515415608	TOT	Bedekking Totaal	2
Schelde-estuarium	IV2013070515451409	KH	Kruidlaag Hoog	7
Schelde-estuarium	IV2013070515451409	STR	Strooisel	1
Schelde-estuarium	IV2013070515451409	TOT	Bedekking Totaal	7
Schelde-estuarium	IV2013070515513858	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070515513858	STR	Strooisel	75
Schelde-estuarium	IV2013070515513858	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070515583172	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070515583172	STR	Strooisel	25
Schelde-estuarium	IV2013070515583172	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070516010967	KH	Kruidlaag Hoog	4
Schelde-estuarium	IV2013070516010967	STR	Strooisel	1
Schelde-estuarium	IV2013070516010967	TOT	Bedekking Totaal	4
Schelde-estuarium	IV2013070516102904	AL	Algenlaag	45
Schelde-estuarium	IV2013070516102904	KH	Kruidlaag Hoog	1
Schelde-estuarium	IV2013070516102904	STR	Strooisel	1
Schelde-estuarium	IV2013070516102904	TOT	Bedekking Totaal	45
Schelde-estuarium	IV2013070516275106	AL	Algenlaag	1
Schelde-estuarium	IV2013070516275106	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070516275106	STR	Strooisel	5
Schelde-estuarium	IV2013070516275106	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013070908524962	AL	Algenlaag	3
Schelde-estuarium	IV2013070908524962	TOT	Bedekking Totaal	3
Schelde-estuarium	IV2013070908573073	AL	Algenlaag	60
Schelde-estuarium	IV2013070908573073	KH	Kruidlaag Hoog	1
