survey	recording_givid	plot_id
Schelde-estuarium	IV2013070514353929	ZSCPQ274
Schelde-estuarium	IV2013070514565804	ZSCPQ275
Schelde-estuarium	IV2013070515045697	ZSCPQ276
Schelde-estuarium	IV2013070515115854	ZSCPQ277
Schelde-estuarium	IV2013070515292304	ZSCPQ278
Schelde-estuarium	IV2013070515363839	ZSCPQ279
Schelde-estuarium	IV2013070515415608	ZSCPQ280
Schelde-estuarium	IV2013070515451409	ZSCPQ281
Schelde-estuarium	IV2013070515513858	ZSCPQ282
Schelde-estuarium	IV2013070515583172	ZSCPQ283
Schelde-estuarium	IV2013070516010967	ZSCPQ284
Schelde-estuarium	IV2013070516102904	ZSCPQ285
Schelde-estuarium	IV2013070516275106	ZSCPQ222
Schelde-estuarium	IV2013070908524962	ZSCPQ223
Schelde-estuarium	IV2013070908573073	ZSCPQ225
Schelde-estuarium	IV2013070909002478	ZSCPQ226
Schelde-estuarium	IV2013070909043060	ZSCPQ227
Schelde-estuarium	IV2013070909072746	ZSCPQ228
Schelde-estuarium	IV2013070909104301	ZSCPQ230
Schelde-estuarium	IV2013070909141149	ZSCPQ231
Schelde-estuarium	IV2013070909163239	ZSCPQ232
Schelde-estuarium	IV2013070909202401	ZSCPQ233
Schelde-estuarium	IV2013070909254090	ZSCPQ234
Schelde-estuarium	IV2013070909273869	ZSCPQ235
Schelde-estuarium	IV2013070909304619	ZSCPQ236
Schelde-estuarium	IV2013070909341303	ZSCPQ224
Schelde-estuarium	IV2013070909483015	ZSCPQ237
Schelde-estuarium	IV2013070909572092	ZSCPQ238
Schelde-estuarium	IV2013070910004494	ZSCPQ239
Schelde-estuarium	IV2013070910033601	ZSCPQ229
Schelde-estuarium	IV2013070910074952	ZSCPQ240
Schelde-estuarium	IV2013070910125132	ZSCPQ241
Schelde-estuarium	IV2013070910180541	ZSCPQ242
Schelde-estuarium	IV2013070910213880	ZSCPQ243
Schelde-estuarium	IV2013070910265522	ZSCPQ244
Schelde-estuarium	IV2013070910322160	ZSCPQ245
Schelde-estuarium	IV2013070910360565	ZSCPQ247
Schelde-estuarium	IV2013070910395841	ZSCPQ248
Schelde-estuarium	IV2013070910420382	ZSCPQ249
Schelde-estuarium	IV2013070910441516	ZSCPQ250
Schelde-estuarium	IV2013070910465521	ZSCPQ251
Schelde-estuarium	IV2013070910491731	ZSCPQ252
Schelde-estuarium	IV2013070910520513	ZSCPQ253
Schelde-estuarium	IV2013070910553571	ZSCPQ254
Schelde-estuarium	IV2013070910591004	ZSCPQ255
Schelde-estuarium	IV2013070911053536	ZSCPQ256
Schelde-estuarium	IV2013070911081081	ZSCPQ257
Schelde-estuarium	IV2013070911110327	ZSCPQ258
Schelde-estuarium	IV2013070911132671	ZSCPQ259
Schelde-estuarium	IV2013070911181376	ZSCPQ273
Schelde-estuarium	IV2013070911203143	ZSCPQ302
Schelde-estuarium	IV2013070913454269	ZSCPQ246
Schelde-estuarium	IV2013070914091634	ZSCPQ260
Schelde-estuarium	IV2013070914483614	ZSCPQ261
Schelde-estuarium	IV2013070915001584	ZSCPQ262
Schelde-estuarium	IV2013070915132341	ZSCPQ263
Schelde-estuarium	IV2013070915261755	ZSCPQ268
Schelde-estuarium	IV2013070915330308	ZSCPQ267
Schelde-estuarium	IV2013070915552934	ZSCPQ266
Schelde-estuarium	IV2013070916144167	ZSCPQ269
Schelde-estuarium	IV2013070916324458	ZSCPQ270
Schelde-estuarium	IV2013070916471964	ZSCPQ271
Schelde-estuarium	IV2013071008525294	ZSCPQ272
Schelde-estuarium	IV2013071009032879	-9
Schelde-estuarium	IV2013071009144800	ZSCPQ265
Schelde-estuarium	IV2013071009451568	ZSCPQ264
Schelde-estuarium	IV2013071009494357	ZSCPQ286
Schelde-estuarium	IV2013071009551923	ZSCPQ287
Schelde-estuarium	IV2013071010013505	ZSCPQ289
Schelde-estuarium	IV2013071010194558	ZSCPQ288
Schelde-estuarium	IV2013071010285193	ZSCPQ290
Schelde-estuarium	IV2013071010382546	ZSCPQ291
Schelde-estuarium	IV2013071010463791	ZSCPQ292
Schelde-estuarium	IV2013071010533661	ZSCPQ293
Schelde-estuarium	IV2013071011023143	ZSCPQ294
Schelde-estuarium	IV2013071011202189	ZSCPQ295
Schelde-estuarium	IV2013071011353079	-9
Schelde-estuarium	IV2013071011522912	ZSCPQ301
Schelde-estuarium	IV2013071012020294	ZSCPQ299
Schelde-estuarium	IV2013071012400956	-9
Schelde-estuarium	IV2013071012545945	ZSCPQ298
Schelde-estuarium	IV2013071013072883	ZSCPQ296
Schelde-estuarium	IV2013071013441062	ZSCPQ297
Schelde-estuarium	IV2013071013504000	ZSCPQ300
Schelde-estuarium	IV2013071013592480	-9
Schelde-estuarium	IV2013071014064798	-9
Schelde-estuarium	IV2013071014141859	-9
Schelde-estuarium	IV2013071014234988	-9
Schelde-estuarium	IV2013071014342669	-9
Schelde-estuarium	IV2013071014521991	-9
Schelde-estuarium	IV2013071015035913	-9
Schelde-estuarium	IV2013071015123659	-9
Schelde-estuarium	IV2013071015181050	-9
Schelde-estuarium	IV2013071015250236	-9
Schelde-estuarium	IV2013071015342096	-9
Schelde-estuarium	IV2013071015395190	-9
Schelde-estuarium	IV2013071015425027	-9
Schelde-estuarium	IV2013071015490413	-9
Schelde-estuarium	IV2013071015523476	-9
Schelde-estuarium	IV2013071016060814	-9
Schelde-estuarium	IV2013071016223985	-9
Schelde-estuarium	IV2013071208481348	-9
Schelde-estuarium	IV2013071208582136	-9
Schelde-estuarium	IV2013071209061777	-9
