survey	recording_givid	user_reference	structure_var_code	structure_var	cover	cover_code
N2000meetnet_Grasland	IV2017010510420097	842030	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010511460749	530734	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010609200485	908981	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010610523940	455349	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010611111454	423762	bos	verbossing	20	20
N2000meetnet_Grasland	IV2017010612172361	996353	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010613314127	472065	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010616345212	1117877	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010616490548	19510	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010616530182	331445	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010617095027	736949	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010617282387	212661	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010617430082	801793	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010618124978	540341	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010618292802	1195701	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010618405531	409269	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010910225147	500782	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010911112595	2438198	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010915000761	17475649	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017010922050123	2664513	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011212263384	323154	bos	verbossing	40	40
N2000meetnet_Grasland	IV2017011212535658	437685	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011215162577	37557	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011215302636	798133	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011215545335	695297	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011312251730	781906	bos	verbossing	4	4
N2000meetnet_Grasland	IV2017011813083530	721906	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011814163232	540658	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017011816484258	1436882	bos	verbossing	3	3
N2000meetnet_Grasland	IV2017011915010675	2133734	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017011916524752	583378	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012010235498	201006	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012012273378	379094	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012013020416	116950	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012013475483	641238	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012015481765	315329	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012016374726	300649	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012017101191	576302	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012312301685	745170	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012521020429	141010	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012522043706	59090	bos	verbossing	20	20
N2000meetnet_Grasland	IV2017012611170830	220882	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017012612213288	696182	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017012612213288	696182	bos	verbossing	10	10
N2000meetnet_Grasland	IV2017012613001528	89810	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012613411763	648914	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012615432844	1150886	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012620463014	1216422	bos	verbossing	2	2
N2000meetnet_Grasland	IV2017012709211647	1566033	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012709434540	207406	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017012711062779	23086	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017012711062779	23086	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012711292443	743982	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012712420281	58433	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012713261758	1436718	bos	verbossing	30	30
N2000meetnet_Grasland	IV2017012714260737	3461110	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012715235876	4390190	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017012716313882	2760937	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017013011050597	857298	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017013011553027	627922	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017013013060304	87250	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017013013460448	1115122	bos	verbossing	2	2
N2000meetnet_Grasland	IV2017013015545827	619506	bos	verbossing	2	2
N2000meetnet_Grasland	IV2017013110020007	340978	bos	verbossing	3	3
N2000meetnet_Grasland	IV2017020116071546	1711014	bos	verbossing	3	3
N2000meetnet_Grasland	IV2017020121010797	3276198	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017020211023566	487606	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017020211533870	606390	bos	verbossing	7	7
N2000meetnet_Grasland	IV2017020308164723	2173889	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017020309175600	4008897	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017020309560065	10766985	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017020312255416	398529	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017020318100730	282614	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017020318100730	282614	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017020318315989	856054	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017020318315989	856054	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017020318560367	170798	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017020318560367	170798	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017020713102084	863862	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017020713102084	863862	bos	verbossing	10	10
N2000meetnet_Moerassen	IV2017020813265807	1013294	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017020813265807	1013294	bos	verbossing	25	25
N2000meetnet_Moerassen	IV2017020814143501	518902	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017020814143501	518902	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017020815060283	14029138	bos	verbossing	4	4
N2000meetnet_Grasland	IV2017020911173410	20320594	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017020914013322	11366482	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017020915002276	4501586	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021009391220	2468182	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021011171644	4042038	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021012213856	544902	bos	verbossing	2	2
N2000meetnet_Grasland	IV2017021016462422	1618054	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021017175886	6152326	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021018002273	1286278	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021310384624	4975814	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021311505729	4598982	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021312415166	9087041	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021313300649	2898758	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021314354987	1022766	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017021316192193	1938478	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021316470293	4851218	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021410455484	3016210	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021413520341	498886	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021414213854	654598	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021414444810	753630	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021415415208	979286	bos	verbossing	2	2
N2000meetnet_Grasland	IV2017021415534916	1062930	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021416061568	1346134	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021416262329	1474526	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017021417070556	1884126	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017021510114273	311262	bos	verbossing	5	5
N2000meetnet_Moerassen	IV2017021511480087	880094	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021511480087	880094	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017021512174228	3777298	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017021513022196	482290	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021513022196	482290	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017021513174412	267986	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021513174412	267986	bos	verbossing	40	40
N2000meetnet_Moerassen	IV2017021513460105	1388150	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021513460105	1388150	bos	verbossing	1	1
N2000meetnet_Moerassen	IV2017021514080638	923346	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021514080638	923346	bos	verbossing	30	30
N2000meetnet_Moerassen	IV2017021514542213	419538	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021514542213	419538	bos	verbossing	1	1
N2000meetnet_Moerassen	IV2017021515123500	943826	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021515123500	943826	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017021515354295	271030	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021515354295	271030	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017021515592266	103094	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021515592266	103094	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017021516164241	959958	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021516164241	959958	bos	verbossing	25	25
N2000meetnet_Grasland	IV2017021521415567	2552882	bos	verbossing	48	48
N2000meetnet_Moerassen	IV2017021710141595	1087350	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021710141595	1087350	bos	verbossing	1	1
N2000meetnet_Moerassen	IV2017021710412000	3219382	struc	structuurschade	1	1
N2000meetnet_Moerassen	IV2017021710412000	3219382	bos	verbossing	10	10
N2000meetnet_Moerassen	IV2017021712024375	1749942	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021712024375	1749942	bos	verbossing	30	30
N2000meetnet_Moerassen	IV2017021712211026	702674	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021712211026	702674	bos	verbossing	4	4
N2000meetnet_Moerassen	IV2017021712570028	3732406	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021712570028	3732406	bos	verbossing	1	1
N2000meetnet_Grasland	IV2017021716013587	4026418	bos	verbossing	0	0
N2000meetnet_Moerassen	IV2017021716250537	1635254	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021716250537	1635254	bos	verbossing	45	45
N2000meetnet_Moerassen	IV2017021716580390	2225078	struc	structuurschade	0	0
N2000meetnet_Moerassen	IV2017021716580390	2225078	bos	verbossing	7	7
N2000meetnet_Grasland	IV2017022009530029	2371634	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017022011083153	1583446	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017022012400428	5783154	bos	verbossing	7	7
N2000meetnet_Grasland	IV2017022013575286	414646	bos	verbossing	0	0
N2000meetnet_Grasland	IV2017022015155634	905382	bos	verbossing	0	0
