ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype	link_mhq
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	19580	2120	1	100	100% 2120	1	1	1	1	100	2120	10010417
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	18193	2120	1	100	100% 2120	1	1	1	1	100	2120	10010417_2120
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	19600	2120	1	100	100% 2120	1	1	1	1	100	2120	10038833
10038833_2120_2019-10-23	N2000meetnet_Duinen_BHM	IV2020031620082049	IV2020031619445734	18192	2120	1	100	100% 2120	1	1	1	1	100	2120	10038833_2120
10048689_1_2021-07-27	N2000_Duinen_fieldapp	IV2021091710582364	NA	18835	2190_mp	1	100	100% 2190_mp	1	1	1	1	100	2190_mp	10048689_1
10057905_2023-08-14	N2000_Duinen_fieldapp	IV2023090510341863	NA	19583	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10057905
10057905_2120_2019-10-25	N2000meetnet_Duinen_BHM	IV2020031620313711	IV2020031620255092	18194	2120	1	100	100% 2120	1	1	1	1	100	2120	10057905_2120
10057905_2130_hd_2019-10-24	N2000meetnet_Duinen_BHM	IV2020040710495029	IV2020040610425244	18193	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10057905_2130_hd
10071601_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343153	NA	19600	2120	1	100	100% 2120	1	1	1	1	100	2120	10071601
10071601_2120_2019-10-23	N2000meetnet_Duinen_BHM	IV2020031619093265	IV2020031619030019	18192	2120	1	100	100% 2120	1	1	1	1	100	2120	10071601_2120
10082417_2023-08-07	N2000_Duinen_fieldapp	IV2023090510342463	NA	19576	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10082417
10082417_2130_hd_2019-10-18	N2000meetnet_Duinen_BHM	IV2020032606512028	IV2020032606295641	18187	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10082417_2130_hd
10082997_2023-09-04	N2000_Duinen_fieldapp	IV2023090510342225	NA	19604	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10082997
10082997_2130_hd_2019-10-14	N2000meetnet_Duinen_BHM	IV2020041014580548	IV2020041014344316	18183	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10082997_2130_hd
1009077_2023-08-02	N2000_Duinen_fieldapp	IV2023090510340485	NA	19571	2120	1	100	100% 2120	1	1	1	1	100	2120	1009077
1009077_2120_2019-10-17	N2000meetnet_Duinen_BHM	IV2020031719541234	IV2020031719500282	18186	2120	1	100	100% 2120	1	1	1	1	100	2120	1009077_2120
10102837_2130_hd_2019-10-28	N2000meetnet_Duinen_BHM	IV2020032607052215	IV2020032606534681	18197	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10102837_2130_hd
10104625_2024-07-04	N2000_Duinen_fieldapp	IV2024070821532795	NA	19908	2130_hd	1	100	100% 2130_hd	1	1	1	1	100	2130_hd	10104625
