ID	record_id	plot_type	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
10010417_2023-08-11	IV2023090510341314	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	square	Verstoring	exoten	bedekking overige exoten	20	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	59.6	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	square	Verstoring	vergrassing	bedekking vergrassing	100	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10010417_2023-08-11	IV2023090510341314	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10010417_2023-08-11	IV2023090510341314	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10010417_2120_2019-10-24	IV2020031622591285	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622591285	square	Verstoring	exoten	bedekking overige exoten	100	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622542410	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622591285	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	100	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622542410	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622591285	square	Verstoring	vergrassing	bedekking vergrassing	100	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622591285	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10010417_2120_2019-10-24	IV2020031622591285	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10010417_2120_2019-10-24	IV2020031622542410	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10038833_2023-08-31	IV2023090510343053	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	square	Verstoring	exoten	bedekking overige exoten	5	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	1.25	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	square	Verstoring	vergrassing	bedekking vergrassing	12.20274125	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10038833_2023-08-31	IV2023090510343053	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10038833_2023-08-31	IV2023090510343053	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10038833_2120_2019-10-23	IV2020031620082049	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10038833_2120_2019-10-23	IV2020031620082049	square	Verstoring	exoten	bedekking overige exoten	3.33333333333333	Percentage	NA	%
10038833_2120_2019-10-23	IV2020031619445734	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
