ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype	link_mhq
100050_2014-09-01	anb	100050_2014-09-01	100050_2014-09-01	16314	4010	1	NA	NA	1	1	1	1	NA	4010	100050
100050_2022-08-31	anb	100050_2022-08-31	100050_2022-08-31	19235	4010	1	NA	NA	1	1	1	1	NA	4010	100050
1003230_2016-09-15	anb	1003230_2016-09-15	1003230_2016-09-15	17059	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1003230
1003230_2024-06-21	anb	1003230_2024-06-21	1003230_2024-06-21	19895	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1003230
100626_2017-07-07	anb	100626_2017-07-07	100626_2017-07-07	17354	4010	1	NA	NA	1	1	1	1	NA	4010	100626
100626_2024-06-19	anb	100626_2024-06-19	100626_2024-06-19	19893	2310	1	NA	NA	1	1	1	1	NA	2310	100626
100662_2024-06-25	anb	100662_2024-06-25	100662_2024-06-25	19899	4030	1	NA	NA	1	1	1	1	NA	4030	100662
1012662_2018-08-22	anb	1012662_2018-08-22	1012662_2018-08-22	17765	4030	1	NA	NA	1	1	1	1	NA	4030	1012662
102098_2014-09-11	anb	102098_2014-09-11	102098_2014-09-11	16324	2310	1	NA	NA	1	1	1	1	NA	2310	102098
102098_2022-09-06	anb	102098_2022-09-06	102098_2022-09-06	19241	4030	1	NA	NA	1	1	1	1	NA	4030	102098
103634_2018-08-03	anb	103634_2018-08-03	103634_2018-08-03	17746	4030	1	NA	NA	1	1	1	1	NA	4030	103634
1043410_2017-07-28	anb	1043410_2017-07-28	1043410_2017-07-28	17375	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1043410
1053622_2017-08-29	anb	1053622_2017-08-29	1053622_2017-08-29	17407	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1053622
105458_2022-09-28	anb	105458_2022-09-28	105458_2022-09-28	19263	4010	1	NA	NA	1	1	1	1	NA	4010	105458
105682_2014-09-08	anb	105682_2014-09-08	105682_2014-09-08	16321	2310	1	NA	NA	1	1	1	1	NA	2310	105682
1065910_2017-07-31	anb	1065910_2017-07-31	1065910_2017-07-31	17378	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1065910
106614_2016-11-17	anb	106614_2016-11-17	106614_2016-11-17	17122	4010	1	NA	NA	1	1	1	1	NA	4010	106614
10706_2015-06-01	anb	10706_2015-06-01	10706_2015-06-01	16587	2310	1	NA	NA	1	1	1	1	NA	2310	10706
10706_2023-09-07	anb	10706_2023-09-07	10706_2023-09-07	19607	4030	1	NA	NA	1	1	1	1	NA	4030	10706
1076854_2016-10-04	anb	1076854_2016-10-04	1076854_2016-10-04	17078	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1076854
1078198_2018-08-22	anb	1078198_2018-08-22	1078198_2018-08-22	17765	4030	1	NA	NA	1	1	1	1	NA	4030	1078198
1085366_2017-07-20	anb	1085366_2017-07-20	1085366_2017-07-20	17367	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1085366
1092434_2017-07-10	anb	1092434_2017-07-10	1092434_2017-07-10	17357	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1092434
