ID	record_id	plot_type	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
100050_2014-09-01	100050_2014-09-01	circle	Structuur	dwergstruiken	bedekking dwergstruiken	87.5	Percentage	NA	%
100050_2014-09-01	100050_2014-09-01	circle	Verstoring	verbossing	bedekking verbossing	1	Percentage	NA	%
100050_2014-09-01	100050_2014-09-01	circle	Verstoring	vergrassing	bedekking vergrassing	1.5	Percentage	NA	%
100050_2022-08-31	100050_2022-08-31	circle	Structuur	dwergstruiken	bedekking dwergstruiken	1.5	Percentage	NA	%
100050_2022-08-31	100050_2022-08-31	circle	Verstoring	verbossing	bedekking verbossing	0.4	Percentage	NA	%
100050_2022-08-31	100050_2022-08-31	circle	Verstoring	vergrassing	bedekking vergrassing	1	Percentage	NA	%
1003230_2016-09-15	1003230_2016-09-15	circle	Verstoring	invasieve exoten	bedekking invasieve exoten	37.5	Percentage	NA	%
1003230_2016-09-15	1003230_2016-09-15	circle	Structuur	naakte bodem	bedekking naakte bodem	37.5	Percentage	NA	%
1003230_2016-09-15	1003230_2016-09-15	circle	Structuur	horizontale structuur	bedekking open vegetaties	52.5	Percentage	NA	%
1003230_2016-09-15	1003230_2016-09-15	circle	Verstoring	verbossing	bedekking verbossing	21	Percentage	NA	%
1003230_2016-09-15	1003230_2016-09-15	circle	Verstoring	vergrassing	bedekking vergrassing	1	Percentage	NA	%
1003230_2024-06-21	1003230_2024-06-21	circle	Verstoring	invasieve exoten	bedekking invasieve exoten	37.5	Percentage	NA	%
1003230_2024-06-21	1003230_2024-06-21	circle	Structuur	naakte bodem	bedekking naakte bodem	62.5	Percentage	NA	%
1003230_2024-06-21	1003230_2024-06-21	circle	Structuur	horizontale structuur	bedekking open vegetaties	30.5	Percentage	NA	%
1003230_2024-06-21	1003230_2024-06-21	circle	Verstoring	verbossing	bedekking verbossing	22	Percentage	NA	%
1003230_2024-06-21	1003230_2024-06-21	circle	Verstoring	vergrassing	bedekking vergrassing	0.5	Percentage	NA	%
100626_2017-07-07	100626_2017-07-07	circle	Structuur	dwergstruiken	bedekking dwergstruiken	1.5	Percentage	NA	%
100626_2017-07-07	100626_2017-07-07	circle	Verstoring	verbossing	bedekking verbossing	3	Percentage	NA	%
100626_2017-07-07	100626_2017-07-07	circle	Verstoring	vergrassing	bedekking vergrassing	87.5	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Structuur	ouderdomsstructuur Struikheide	aantal ouderdomsstadia	1	Geheel getal	NA	NA
100626_2024-06-19	100626_2024-06-19	circle	Structuur	dwergstruiken	bedekking dwergstruiken	37.5	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Verstoring	invasieve exoten	bedekking invasieve exoten	3	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Structuur	horizontale structuur	bedekking open vegetaties en kaal zand	34	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Verstoring	verbossing	bedekking verbossing	3	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Verstoring	vergrassing	bedekking vergrassing	37.5	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Verstoring	verruiging	bedekking verruiging	1	Percentage	NA	%
100626_2024-06-19	100626_2024-06-19	circle	Structuur	ouderdomsstructuur Struikheide	climax- of degeneratiestadium aanwezig	0	Geheel getal	NA	NA
100662_2024-06-25	100662_2024-06-25	circle	Structuur	ouderdomsstructuur Struikheide	aantal ouderdomsstadia	2	Geheel getal	NA	NA
100662_2024-06-25	100662_2024-06-25	circle	Structuur	dwergstruiken	bedekking dwergstruiken	87.5	Percentage	NA	%
100662_2024-06-25	100662_2024-06-25	circle	Verstoring	invasieve exoten	bedekking invasieve exoten	0	Percentage	NA	%
100662_2024-06-25	100662_2024-06-25	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
