ID	record_id	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid	plot_type
ZSCPQ007_2013-10-16	IV2014030314334724	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ007_2013-10-16	IV2014030314334724	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	99	Percentage	NA	%	schor
ZSCPQ007_2013-10-16	IV2014030314334724	Verstoring	rietontwikkeling	bedekking riet	86	Percentage	NA	%	schor
ZSCPQ007_2013-10-16	IV2014030314334724	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ007_2013-10-16	IV2014030314334724	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ007_2013-10-16	IV2014030314334724	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ007_2019-10-10	IV2020032317445682	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ007_2019-10-10	IV2020032317445682	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ007_2019-10-10	IV2020032317445682	Verstoring	rietontwikkeling	bedekking riet	81	Percentage	NA	%	schor
ZSCPQ007_2019-10-10	IV2020032317445682	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ007_2019-10-10	IV2020032317445682	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ007_2019-10-10	IV2020032317445682	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ009_2013-10-14	IV2014011316535054	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	0	Ja/nee	NA	NA	schor
ZSCPQ009_2013-10-14	IV2014011316535054	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ009_2013-10-14	IV2014011316535054	Verstoring	rietontwikkeling	bedekking riet	77	Percentage	NA	%	schor
ZSCPQ009_2013-10-14	IV2014011316535054	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ009_2013-10-14	IV2014011316535054	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ009_2013-10-14	IV2014011316535054	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ009_2019-10-10	IV2020032413151272	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	0	Ja/nee	NA	NA	schor
ZSCPQ009_2019-10-10	IV2020032413151272	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ009_2019-10-10	IV2020032413151272	Verstoring	rietontwikkeling	bedekking riet	77	Percentage	NA	%	schor
ZSCPQ009_2019-10-10	IV2020032413151272	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ009_2019-10-10	IV2020032413151272	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ009_2019-10-10	IV2020032413151272	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ158_2013-10-16	IV2014030312250246	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ158_2013-10-16	IV2014030312250246	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	97	Percentage	NA	%	schor
ZSCPQ158_2013-10-16	IV2014030312250246	Verstoring	rietontwikkeling	bedekking riet	75	Percentage	NA	%	schor
ZSCPQ158_2013-10-16	IV2014030312250246	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ158_2013-10-16	IV2014030312250246	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ158_2013-10-16	IV2014030312250246	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ158_2019-10-07	IV2020032310080684	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ158_2019-10-07	IV2020032310080684	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ158_2019-10-07	IV2020032310080684	Verstoring	rietontwikkeling	bedekking riet	76	Percentage	NA	%	schor
ZSCPQ158_2019-10-07	IV2020032310080684	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ158_2019-10-07	IV2020032310080684	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ158_2019-10-07	IV2020032310080684	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ159_2013-10-16	IV2014030312272058	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ159_2013-10-16	IV2014030312272058	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	97	Percentage	NA	%	schor
ZSCPQ159_2013-10-16	IV2014030312272058	Verstoring	rietontwikkeling	bedekking riet	75	Percentage	NA	%	schor
ZSCPQ159_2013-10-16	IV2014030312272058	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ159_2013-10-16	IV2014030312272058	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ159_2013-10-16	IV2014030312272058	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
