record_id	Vegetatielaag	Kenmerk	TypeKenmerk	Waarde	Type	Eenheid	Invoertype	ID
IV2014030314334724	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2013-10-16
IV2014030314334724	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2013-10-16
IV2014030314334724	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2013-10-16
IV2014030314334724	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	97	Percentage	%	NA	ZSCPQ007_2013-10-16
IV2020032317445682	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Cotula coronopifolia L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Festuca rubra L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	80	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Spergularia marina (L.) Besser	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2020032317445682	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ007_2019-10-10
IV2014011316535054	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ009_2013-10-14
IV2014011316535054	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ009_2013-10-14
IV2014011316535054	kruidlaag	Cirsium arvense (L.) Scop.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ009_2013-10-14
IV2014011316535054	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	80	Percentage	%	NA	ZSCPQ009_2013-10-14
IV2020032413151272	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ009_2019-10-10
IV2020032413151272	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ009_2019-10-10
IV2020032413151272	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	92	Percentage	%	NA	ZSCPQ009_2019-10-10
IV2014030312250246	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	2	Percentage	%	NA	ZSCPQ158_2013-10-16
IV2014030312250246	kruidlaag	Cirsium arvense (L.) Scop.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ158_2013-10-16
IV2014030312250246	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	22	Percentage	%	NA	ZSCPQ158_2013-10-16
IV2014030312250246	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	80	Percentage	%	NA	ZSCPQ158_2013-10-16
IV2014030312250246	kruidlaag	Scirpus maritimus L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ158_2013-10-16
IV2020032310080684	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ158_2019-10-07
IV2020032310080684	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	7	Percentage	%	NA	ZSCPQ158_2019-10-07
IV2020032310080684	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	92	Percentage	%	NA	ZSCPQ158_2019-10-07
IV2014030312272058	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	2	Percentage	%	NA	ZSCPQ159_2013-10-16
IV2014030312272058	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	17	Percentage	%	NA	ZSCPQ159_2013-10-16
IV2014030312272058	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	70	Percentage	%	NA	ZSCPQ159_2013-10-16
IV2014030312272058	kruidlaag	Scirpus maritimus L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ159_2013-10-16
