ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype	link_mhq
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	9358	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ007
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	15994	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ007
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	18179	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ007
ZSCPQ009_1995-08-20	Schelde-estuarium	IV2014100713541953	NA	9362	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ009
ZSCPQ009_2013-10-14	Schelde-estuarium	IV2014011316535054	NA	15992	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ009
ZSCPQ009_2019-10-10	Schelde-estuarium	IV2020032413151272	NA	18179	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ009
ZSCPQ158_1995-10-04	Schelde-estuarium	IV2014101309520749	NA	9407	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ158
ZSCPQ158_2013-10-16	Schelde-estuarium	IV2014030312250246	NA	15994	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ158
ZSCPQ158_2019-10-07	Schelde-estuarium	IV2020032310080684	NA	18176	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ158
ZSCPQ159_1995-10-04	Schelde-estuarium	IV2014101309560024	NA	9407	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ159
ZSCPQ159_2013-10-16	Schelde-estuarium	IV2014030312272058	NA	15994	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ159
ZSCPQ159_2019-10-07	Schelde-estuarium	IV2020032310110217	NA	18176	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ159
ZSCPQ160_1995-10-04	Schelde-estuarium	IV2014101310092570	NA	9407	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ160
ZSCPQ160_2013-10-16	Schelde-estuarium	IV2014030312294301	NA	15994	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ160
ZSCPQ160_2019-10-07	Schelde-estuarium	IV2020032310134076	NA	18176	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ160
ZSCPQ162_1995-10-04	Schelde-estuarium	IV2014101310230565	NA	9407	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ162
ZSCPQ162_2013-10-16	Schelde-estuarium	IV2014030314313598	NA	15994	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ162
ZSCPQ162_2019-10-07	Schelde-estuarium	IV2020032310231060	NA	18176	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ162
ZSCPQ171_1995-10-05	Schelde-estuarium	IV2014101311242728	NA	9408	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ171
ZSCPQ171_2013-10-18	Schelde-estuarium	IV2014030410161165	NA	15996	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ171
ZSCPQ171_2019-10-14	Schelde-estuarium	IV2020032513581265	NA	18183	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ171
ZSCPQ172_1995-10-05	Schelde-estuarium	IV2014101311295712	NA	9408	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ172
ZSCPQ172_2013-10-19	Schelde-estuarium	IV2014030411215613	NA	15997	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ172
ZSCPQ172_2019-10-15	Schelde-estuarium	IV2020032515314325	NA	18184	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ172
ZSCPQ173_1995-10-05	Schelde-estuarium	IV2014101311375311	NA	9408	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ173
ZSCPQ173_2013-10-19	Schelde-estuarium	IV2014030411242385	NA	15997	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ173
ZSCPQ173_2019-10-15	Schelde-estuarium	IV2020032515283633	NA	18184	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ173
ZSCPQ174_1995-10-05	Schelde-estuarium	IV2014101311500760	NA	9408	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ174
ZSCPQ174_2013-10-19	Schelde-estuarium	IV2014030411281773	NA	15997	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ174
ZSCPQ174_2019-10-15	Schelde-estuarium	IV2020032515092394	NA	18184	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ174
ZSCPQ175_1995-10-05	Schelde-estuarium	IV2014101311570235	NA	9408	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ175
ZSCPQ175_2013-10-19	Schelde-estuarium	IV2014030411305777	NA	15997	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ175
ZSCPQ175_2019-10-15	Schelde-estuarium	IV2020032514503255	NA	18184	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ175
ZSCPQ176_1995-10-06	Schelde-estuarium	IV2014101312091315	NA	9409	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ176
ZSCPQ176_2013-10-18	Schelde-estuarium	IV2014030411101491	NA	15996	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ176
ZSCPQ176_2019-10-14	Schelde-estuarium	IV2020032514014501	NA	18183	1330_da	1	100	100% 1330_da	1	1	1	1	100	1330_da	ZSCPQ176
