id	survey	record_id_square	record_id_circle	type_observed	type_analysis	criterium	indicator	belang	voorwaarde	plot_type	waarde	waarde_numeric	referentiewaarde	status_voorwaarde	theoretischmaximum	verschilscore
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten hoog schor	square	1	1	2	0	16	-0.5
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten laag schor	square	1	1	5	0	13	-0.8
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Structuur	kreken, oeverwallen en kommen	zb	aanwezigheid kreken, oeverwallen en kommen	schor	1	1	1	1	1	1
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Structuur	schorklifvorming/breuksteenbestorting	zb	aanwezigheid schorklif/breuksteenbestorting	schor	99	99	WT	0	100	-0.9898
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Verstoring	verzoeting	zb	bedekking glycofyten brakwaterschor	square	1	1	30	1	100	0.9667
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Verstoring	verzoeting	zb	bedekking glycofyten zoutwaterschor	square	1	1	10	1	100	0.9
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Verstoring	rietontwikkeling	zb	bedekking riet	schor	86	86	70	0	100	-0.5333
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Vegetatie	bedekking sleutelsoorten	b	bedekking sleutelsoorten	square	1.99	1.99	30	0	100	-0.9337
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Verstoring	verruiging	zb	bedekking verruiging	square	0	0	30	1	100	1
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Structuur	schorklifvorming/breuksteenbestorting	zb	habitattype lager dan het klif	schor	0	0	1	0	1	-1
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Structuur	verticale gradiënt	zb	intertidale ruimte aanwezig	schor	1	1	1	1	1	1
ZSCPQ007_1995-08-16	Schelde-estuarium	IV2014100713420044	NA	1330_da	1330_da	Structuur	horizontale structuur	zb	zowel lage als hoge schorvegetaties aanwezig	schor	1	1	1	1	1	1
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten hoog schor	square	1	1	2	0	16	-0.5
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten laag schor	square	0	0	5	0	13	-1
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Structuur	kreken, oeverwallen en kommen	zb	aanwezigheid kreken, oeverwallen en kommen	schor	1	1	1	1	1	1
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Structuur	schorklifvorming/breuksteenbestorting	zb	aanwezigheid schorklif/breuksteenbestorting	schor	99	99	WT	0	100	-0.9898
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Verstoring	verzoeting	zb	bedekking glycofyten brakwaterschor	square	1	1	30	1	100	0.9667
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Verstoring	verzoeting	zb	bedekking glycofyten zoutwaterschor	square	1	1	10	1	100	0.9
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Verstoring	rietontwikkeling	zb	bedekking riet	schor	86	86	70	0	100	-0.5333
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Vegetatie	bedekking sleutelsoorten	b	bedekking sleutelsoorten	square	1	1	30	0	100	-0.9667
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Verstoring	verruiging	zb	bedekking verruiging	square	1	1	30	1	100	0.9667
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Structuur	schorklifvorming/breuksteenbestorting	zb	habitattype lager dan het klif	schor	0	0	1	0	1	-1
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Structuur	verticale gradiënt	zb	intertidale ruimte aanwezig	schor	1	1	1	1	1	1
ZSCPQ007_2013-10-16	Schelde-estuarium	IV2014030314334724	NA	1330_da	1330_da	Structuur	horizontale structuur	zb	zowel lage als hoge schorvegetaties aanwezig	schor	1	1	1	1	1	1
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten hoog schor	square	6	6	2	1	16	0.2857
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten laag schor	square	5	5	5	1	13	0
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Structuur	kreken, oeverwallen en kommen	zb	aanwezigheid kreken, oeverwallen en kommen	schor	1	1	1	1	1	1
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Structuur	schorklifvorming/breuksteenbestorting	zb	aanwezigheid schorklif/breuksteenbestorting	schor	99	99	WT	0	100	-0.9898
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Verstoring	verzoeting	zb	bedekking glycofyten brakwaterschor	square	0	0	30	1	100	1
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Verstoring	verzoeting	zb	bedekking glycofyten zoutwaterschor	square	0	0	10	1	100	1
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Verstoring	rietontwikkeling	zb	bedekking riet	schor	86	86	70	0	100	-0.5333
ZSCPQ007_2019-10-10	Schelde-estuarium	IV2020032317445682	NA	1330_da	1330_da	Vegetatie	bedekking sleutelsoorten	b	bedekking sleutelsoorten	square	15.8102504719077	15.8103	30	0	100	-0.473
