plot_id	x_measured	y_measured	point_code	protocol	verlegd	nr_vervangplot	ranking_vervangplot
100050	224989.615	188910.105	100050_1	10	NA	NA	NA
100297	93983.373	194600.675	100297_2	10	NA	NA	NA
102098	224477.589	192718.122	102098_1	10	nee	NA	NA
105458	239613.604	180142.11	105458_1	10	nee	NA	NA
105682	225437.192	194287.683	105682_1	10	nee	NA	NA
111326	155069.539	231854.103	111326_1	10	nee	NA	NA
11218	230078.308	194510.759	11218_1	30	nee	NA	NA
1152657	37885.207	183942.93	1152657_2	10	nee	NA	NA
117202	229948.286	193581.585	117202_1	30	nee	NA	NA
1177233	36445.492	182830.089	1177233_1	10	nee	NA	NA
118441	127069.585	191565.952	118441_1	10	nee	NA	NA
124278	214109.726	216238.179	124278_1	10	nee	NA	NA
128657	36413.48	182958.149	128657_1	10	nee	NA	NA
128722	226685.588	186318.136	128722_1	10	nee	NA	NA
144094	153181.891	231726.763	144094_1	10	nee	NA	NA
151250	224445.611	193870.17	151250_1	10	nee	NA	NA
162790	205438.222	183632.704	162790_2	10	nee	NA	NA
20178	223997.722	193678.068	20178_1	10	nee	NA	NA
206134	192126.063	188880.39	206134_2	10	nee	NA	NA
229362	240029.613	182926.05	229362_1	10	ja	1	15958002
23762	226109.689	194286.142	23762_1	10	nee	NA	NA
238578	238525.595	183950.059	238578_1	10	nee	NA	NA
243846	185566.406	180848.004	243846_2	10	nee	NA	NA
258390	184349.898	190320.018	258390_2	10	nee	NA	NA
26322	222973.677	188302.115	26322_1	10	nee	NA	NA
274002	237501.482	187214.092	274002_1	10	nee	NA	NA
29406	154397.575	232526.238	29406_1	11	nee	NA	NA
30290	240541.717	187054.136	30290_1	10	nee	NA	NA
306130	229980.882	195533.976	306130_1	30	nee	NA	NA
321169	35901.553	183822.157	321169_1	10	ja	5	27584145
32466	224797.693	193358.065	32466_1	10	nee	NA	NA
327153	44156.048	187657.347	327153_2	10	nee	NA	NA
333385	87933.457	204588.159	333385_2	10	nee	NA	NA
370386	224573.656	188078.088	370386_1	10	ja	1	2991826
38545	37918.344	183977.86	38545_2	10	nee	NA	NA
38610	224573.631	186798.164	38610_1	10	nee	NA	NA
386422	214333.588	216334.166	386422_1	10	nee	NA	NA
398529	86366.029	203532.75	398529_3	10	nee	NA	NA
40146	224797.59	195022.223	40146_1	10	nee	NA	NA
409654	197054.042	190128.572	409654_2	10	nee	NA	NA
41814	176797.824	191919.858	41814_2	10	nee	NA	NA
45790	154428.703	231821.112	45790_1	30	nee	NA	NA
47446	184126.006	189199.823	47446_2	10	nee	NA	NA
556006	205342.201	182864.786	556006_2	10	ja	NA	NA
589110	189470.035	187504.179	589110_2	10	nee	NA	NA
605493	77596.562	227371.659	605493_2	10	nee	NA	NA
62174	154109.789	231981.895	62174_1	10	nee	NA	NA
636561	37599.123	183721.302	636561_2	10	nee	NA	NA
66006	177725.542	217902.122	66006_1	10	nee	NA	NA
677174	190941.925	188496.238	677174_2	10	nee	NA	NA
720369	43646.092	186890.164	720369_2	10	nee	NA	NA
75474	223197.626	189358.072	75474_1	10	nee	NA	NA
76754	230269.709	194702.111	76754_1	30	nee	NA	NA
792209	37213.621	183790.127	792209_1	10	nee	NA	NA
845457	36253.69	183918.042	845457_1	10	nee	NA	NA
853714	224957.639	188174.075	853714_1	10	ja	7	34408146
863826	237597.561	187246.194	863826_1	10	nee	NA	NA
8893	152797.566	232782.214	8893_1	10	nee	NA	NA
90846	155389.746	231534.944	90846_1	10	nee	NA	NA
919185	36317.72	183086.153	919185_1	10	NA	NA	NA
94942	154685.599	231918.164	94942_1	10	nee	NA	NA
968217	94205.606	168686.208	968217_1	10	nee	NA	NA
96978	222365.721	188686.064	96978_1	10	nee	NA	NA
98002	225245.651	193934.116	98002_1	10	nee	NA	NA
984721	36221.461	183758.098	984721_1	10	nee	NA	NA
9938	223645.621	189070.088	9938_1	10	nee	NA	NA
99521	87069.536	204268.002	99521_2	10	nee	NA	NA
