id	date	code_watersurfaces	in_sac	habitattype	habitatsubtype	lsvi	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind
IV2024051512040022	2017-07-29	WVLNWP0032	1	2190	3	ongunstig	RapportageHR	1	71.4285714285714	0.341165
IV2024051511300735	2018-07-06	WVLMID0136	1	2190	3	ongunstig	RapportageHR	2	57.1428571428571	0.214286
IV2024051511362894	2018-07-06	WVLMID0204	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.496241
IV2024051512200819	2018-07-19	WVLDEP0075	1	2190	3	gunstig	RapportageHR	0	100	0.764286
IV2024050616130872	2018-07-20	WVLDEP0097	1	2190	3	ongunstig	RapportageHR	2	57.1428571428571	0.206767
IV2024050616240042	2018-08-03	WVLDEP0012	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.52381
IV2024051511460138	2018-08-31	WVLKOK0001	1	2190	3	ongunstig	RapportageHR	1	71.4285714285714	0.364286
IV2024051512100419	2018-08-31	WVLNWP0009	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.507143
IV2024051512152620	2018-09-11	WVLNWP0026	1	2190	3	ongunstig	RapportageHR	1	71.4285714285714	0.265664
IV2023082111375865	2019-05-17	WVLKNO0019	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.663847
IV2023082111315025	2019-05-17	WVLKNO0275	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.621429
IV2023082111404847	2019-05-17	WVLKNO0280	1	2190	3	ongunstig	RapportageHR	1	71.4285714285714	0.523321
IV2023082111351535	2019-05-17	WVLKNO0283	1	2190	3	ongunstig	RapportageHR	2	57.1428571428571	0.353571
IV2023082111263515	2019-06-06	WVLKNO0028	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.747619
IV2023082111240183	2019-06-06	WVLKNO0039	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.750952
IV2023082111281651	2019-06-06	WVLKNO0380	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.510714
IV2023081816320188	2019-06-06	WVLKOK0010	1	2190	3	gunstig	RapportageHR	0	100	0.838095
IV2023081816401613	2019-06-06	WVLKOK0017	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.648492
IV2023081816283203	2019-06-11	WVLDEP0058	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.547619
IV2023081815500319	2019-06-11	WVLDEP0061	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.657143
IV2023081815530780	2019-06-11	WVLDEP0065	1	2190	3	gunstig	RapportageHR	0	100	0.790476
IV2023081815562573	2019-06-11	WVLDEP0067	1	2190	3	gunstig	RapportageHR	0	100	0.795714
IV2024050817072878	2019-06-14	WVLKNO0025	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.621429
IV2023082110402271	2019-06-20	WVLBRD0077	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.453008
IV2023082111064698	2019-06-20	WVLDEH0011	1	2190	3	gunstig	RapportageHR	0	100	0.872619
IV2023082110410535	2019-06-20	WVLDEH0012	1	2190	3	ongunstig	RapportageHR	2	57.1428571428571	0.35
IV2023081815465340	2019-06-27	WVLKNO0003	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.630952
IV2023081815325618	2019-06-27	WVLKNO0065	1	2190	3	gunstig	RapportageHR	0	100	0.797619
IV2023081815360660	2019-06-27	WVLKNO0388	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.761905
IV2023081815420604	2019-06-28	WVLDEP0073	1	2190	3	gunstig	RapportageHR	0	100	0.75873
IV2023081716035635	2019-07-01	WVLMID0089	1	2190	3	ongunstig	RapportageHR	3	42.8571428571429	-0.040476
IV2023081815264900	2019-07-01	WVLMID0135	1	2190	3	ongunstig	RapportageHR	2	57.1428571428571	0.217063
IV2023082111100001	2019-07-04	WVLKNO0012	1	2190	3	gunstig	RapportageHR	0	100	0.757519
