id	date	segment_id	x	y	in_sac	habitattype	habitatsubtype	lsvi	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind
IV2017010215025058	2015-06-18	1_4_1088	186945.499927595	232226.80425961	1	3	3	ongunstig	RapportageHR	1	80	0.243333
IV2017010311384515	2015-06-19	1_4_1690	186150.69980416	180314.804968542	1	3	3	ongunstig	RapportageHR	1	80	0.353333
IV2017010315000010	2015-06-25	1_4_783	223428.499620247	215626.004509411	1	3	3	ongunstig	RapportageHR	2	40	0.061432
IV2017010315532909	2015-06-26	1_4_618	185944.599566829	209539.204656195	1	3	3	ongunstig	RapportageHR	1	60	0.344766
IV2017010509365223	2015-07-06	1_4_1309	196022.700005516	215574.404646462	0	3	3	ongunstig	RapportageHR	2	40	-0.301501
IV2017010316171032	2015-07-06	1_4_853	200562.999643097	215904.004229345	1	3	3	ongunstig	RapportageHR	2	40	-0.031901
IV2017010510562127	2015-07-13	1_4_320	242974.099732551	161358.804733805	1	3	3	ongunstig	RapportageHR	2	40	-0.139524
IV2017010312332288	2015-08-28	1_4_1690	186150.69980416	180314.804968542	1	3	3	ongunstig	RapportageHR	1	80	0.353333
IV2016120812572168	2016-08-04	1_4_1172	205843.099520552	210444.904076182	0	3	3	ongunstig	RapportageHR	1	60	0.284766
IV2016120813184428	2016-08-05	1_4_1105	223946.199699938	218194.405016201	1	3	3	ongunstig	RapportageHR	2	40	-0.008568
IV2016120813410051	2016-08-05	1_4_1117	223461.299676664	217154.104729515	1	3	3	ongunstig	RapportageHR	2	40	-0.010234
IV2016120814151855	2016-08-05	1_4_95	224626.899875946	212537.604159771	1	3	3	ongunstig	RapportageHR	1	60	0.193733
IV2016120814452463	2016-08-08	1_4_899	224594.599313377	208014.204743804	1	3	3	ongunstig	RapportageHR	2	40	-0.028468
IV2016120916091640	2016-08-11	1_4_31	252130.961163582	160064.329566785	0	3	3	ongunstig	RapportageHR	1	80	0.353333
IV2016121210560857	2016-08-12	1_4_1241	222900.799323689	199043.504290202	1	3	3	ongunstig	RapportageHR	1	60	0.17
IV2016121211363938	2016-08-18	1_4_1143	153679.299391214	226383.305010704	0	3	3	ongunstig	RapportageHR	1	80	0.550095
IV2016121212251275	2016-08-19	1_4_806	179905.599822905	243386.604532795	1	3	3	ongunstig	RapportageHR	2	40	-0.090238
IV2016121212144933	2016-08-19	1_4_814	180436.999559734	243133.304847906	1	3	3	ongunstig	RapportageHR	1	60	0.093533
IV2016121212030936	2016-08-19	1_4_822	181018.199671305	242889.404795735	1	3	3	ongunstig	RapportageHR	2	40	-0.133234
IV2016120809224601	2016-08-26	1_4_1189	207415.399384724	210723.804899123	0	3	3	ongunstig	RapportageHR	1	60	0.324766
IV2016120512445956	2016-08-26	1_4_851	200411.799503006	215822.204081479	1	3	3	ongunstig	RapportageHR	2	40	-0.230334
IV2017103112000002	2017-05-17	1_4_565	203662.999533218	209629.004510741	0	3	3	ongunstig	RapportageHR	2	40	0.111432
IV2017103112000004	2017-05-19	1_4_1198	208236.035624923	210749.239289765	0	3	3	ongunstig	RapportageHR	1	80	0.424766
IV2017103112000007	2017-05-19	1_4_1464	81436.7660605239	212954.774171659	0	3	3	ongunstig	RapportageHR	1	60	0.3
IV2017103112000011	2017-06-02	1_4_1166	205330.587027959	210333.085972156	0	3	3	ongunstig	RapportageHR	2	60	0.318099
IV2017103112000009	2017-06-02	1_4_1393	199781.699325936	203276.774415719	1	3	3	ongunstig	RapportageHR	1	60	0.299333
IV2017103112000022	2017-07-13	1_4_815	180499.464717156	243103.048562222	1	3	3	ongunstig	RapportageHR	2	40	-0.141701
IV2017103112000020	2017-07-13	1_4_824	181146.884612815	242741.958983487	1	3	3	ongunstig	RapportageHR	1	60	0.186867
IV2017103112000021	2017-07-13	1_4_826	181207.295124857	242554.118506675	1	3	3	ongunstig	RapportageHR	2	40	-0.070234
IV2017103112000027	2017-07-17	1_4_1110	223798.571735044	217741.625657589	1	3	3	ongunstig	RapportageHR	2	40	-0.031901
IV2017103112000024	2017-07-17	1_4_348	245151.958412411	161385.910193257	1	3	3	ongunstig	RapportageHR	1	60	0.186867
IV2017103112000025	2017-07-17	1_4_55	242952.862785106	197998.700805664	1	3	3	ongunstig	RapportageHR	1	60	0.1602
IV2017103112000028	2017-07-17	1_4_956	251490.861314843	160895.344321858	1	3	3	ongunstig	RapportageHR	1	60	0.296667
IV2017103112000029	2017-07-18	1_4_1692	167003.106914656	213204.272006229	1	3	3	gunstig	RapportageHR	0	100	0.636667
