ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype
100297_2016-06-07	anb	100297_2016-06-07	100297_2016-06-07	16959	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1004470_2015-08-18	N2000meetnet_Moerassen	IV2017022111183354	IV2017022111173825	16665	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1004470_2023-08-18	N2000meetnet_Moeras_BHM	IV2023111315045033	IV2023111315034722	19587	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1007490_2014-06-05	anb	1007490_2014-06-05	1007490_2014-06-05	16226	6510	0	NA	NA	0	1	0	0	NA	6510_hu
1007490_2014-06-05	anb	1007490_2014-06-05	1007490_2014-06-05	16226	6510	0	NA	NA	0	1	0	0	NA	6510_hua
1007490_2014-06-05	anb	1007490_2014-06-05	1007490_2014-06-05	16226	6510	0	NA	NA	0	1	0	0	NA	6510_huk
1007490_2014-06-05	anb	1007490_2014-06-05	1007490_2014-06-05	16226	6510	0	NA	NA	0	1	0	0	NA	6510_hus
1012434_2021-07-07	N2000meetnet_Moeras_BHM	IV2022030814423559	IV2022030813442125	18815	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1013294_2016-09-20	N2000meetnet_Moerassen	IV2017020813570832	IV2017020813265807	17064	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1018841_2020-05-26	anb	1018841_2020-05-26	1018841_2020-05-26	18408	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1022766_2015-06-10	N2000meetnet_Grasland	IV2017021315595672	IV2017021314354987	16596	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1022766_2022-08-23	N2000meetnet_Grasland_BHM	IV2022092721033980	IV2022092721013291	19227	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1023282_2018-06-11	anb	1023282_2018-06-11	1023282_2018-06-11	17693	6510	0	NA	NA	0	1	0	0	NA	6510_hu
1023282_2018-06-11	anb	1023282_2018-06-11	1023282_2018-06-11	17693	6510	0	NA	NA	0	1	0	0	NA	6510_hua
1023282_2018-06-11	anb	1023282_2018-06-11	1023282_2018-06-11	17693	6510	0	NA	NA	0	1	0	0	NA	6510_huk
1023282_2018-06-11	anb	1023282_2018-06-11	1023282_2018-06-11	17693	6510	0	NA	NA	0	1	0	0	NA	6510_hus
103094_2016-09-15	N2000meetnet_Moerassen	IV2017021516075256	IV2017021515592266	17059	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
103094_2023-10-12	N2000meetnet_Moeras_BHM	IV2023112210394817	IV2023112210385221	19642	7140_meso	1	60	60% 7140_meso; 60% rbbso	1	1	1	1	60	7140_meso
10317874_2019-07-04	N2000meetnet_Grasland_BHM	IV2020032310162222	IV2020032310140080	18081	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
1036446_2017-07-12	N2000meetnet_Grasland_BHM	IV2017112908460816	IV2017112908192809	17359	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1037522_2018-07-12	N2000meetnet_Grasland_BHM	IV2019030510214992	IV2019030510151254	17724	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1040518_2017-06-29	N2000meetnet_Grasland_BHM	IV2017120112565263	IV2017120112213868	17346	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1052582_2018-05-31	anb	1052582_2018-05-31	1052582_2018-05-31	17682	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
10622226_2018-06-14	anb	10622226_2018-06-14	10622226_2018-06-14	17696	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1062514_2020-05-27	anb	1062514_2020-05-27	1062514_2020-05-27	18409	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1062930_2016-07-28	N2000meetnet_Grasland	IV2017021416154407	IV2017021415534916	17010	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1062930_2023-08-03	N2000meetnet_Grasland_BHM	IV2024022816084935	IV2023112210404920	19572	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1068086_2019-05-23	N2000meetnet_Grasland_BHM	IV2020021916204322	IV2020021916160633	18039	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1068793_2020-05-27	anb	1068793_2020-05-27	1068793_2020-05-27	18409	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
10717462_2019-05-16	anb	10717462_2019-05-16	10717462_2019-05-16	18032	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
10766985_2016-06-09	N2000meetnet_Grasland	IV2017020310250354	IV2017020309560065	16961	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
