ID	record_id	plot_type	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
100297_2016-06-07	100297_2016-06-07	square	Verstoring	strooisellaag	bedekking strooisellaag	4	Percentage	NA	%
100297_2016-06-07	100297_2016-06-07	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
1004470_2015-08-18	IV2017022111183354	square	Verstoring	strooisellaag	bedekking strooisellaag	0	Percentage	NA	%
1004470_2015-08-18	IV2017022111173825	circle	Verstoring	structuurschade	bedekking structuurschade	0	Percentage	NA	%
1004470_2015-08-18	IV2017022111173825	circle	Verstoring	verbossing	bedekking verbossing	5	Percentage	NA	%
1004470_2023-08-18	IV2023111315045033	square	Verstoring	strooisellaag	bedekking strooisellaag	1	Percentage	NA	%
1004470_2023-08-18	IV2023111315034722	circle	Verstoring	structuurschade	bedekking structuurschade	0	Percentage	NA	%
1004470_2023-08-18	IV2023111315034722	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
1007490_2014-06-05	1007490_2014-06-05	square	Verstoring	strooisellaag	bedekking strooisellaag	0	Percentage	NA	%
1007490_2014-06-05	1007490_2014-06-05	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
1012434_2021-07-07	IV2022030814423559	square	Verstoring	strooisellaag	bedekking strooisellaag	0.5	Percentage	NA	%
1012434_2021-07-07	IV2022030813442125	circle	Verstoring	structuurschade	bedekking structuurschade	0	Percentage	NA	%
1012434_2021-07-07	IV2022030813442125	circle	Verstoring	verbossing	bedekking verbossing	10	Percentage	NA	%
1013294_2016-09-20	IV2017020813570832	square	Verstoring	strooisellaag	bedekking strooisellaag	0	Percentage	NA	%
1013294_2016-09-20	IV2017020813265807	circle	Verstoring	structuurschade	bedekking structuurschade	0	Percentage	NA	%
1013294_2016-09-20	IV2017020813265807	circle	Verstoring	verbossing	bedekking verbossing	25	Percentage	NA	%
1018841_2020-05-26	1018841_2020-05-26	square	Verstoring	strooisellaag	bedekking strooisellaag	0	Percentage	NA	%
1018841_2020-05-26	1018841_2020-05-26	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
1022766_2015-06-10	IV2017021315595672	square	Verstoring	strooisellaag	bedekking strooisellaag	2	Percentage	NA	%
1022766_2015-06-10	IV2017021314354987	circle	Verstoring	verbossing	bedekking verbossing	1	Percentage	NA	%
1022766_2022-08-23	IV2022092721033980	square	Verstoring	strooisellaag	bedekking strooisellaag	0	Percentage	NA	%
1022766_2022-08-23	IV2022092721013291	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
1023282_2018-06-11	1023282_2018-06-11	square	Verstoring	strooisellaag	bedekking strooisellaag	20	Percentage	NA	%
1023282_2018-06-11	1023282_2018-06-11	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
103094_2016-09-15	IV2017021516075256	square	Verstoring	strooisellaag	bedekking strooisellaag	70	Percentage	NA	%
103094_2016-09-15	IV2017021515592266	circle	Verstoring	structuurschade	bedekking structuurschade	0	Percentage	NA	%
103094_2016-09-15	IV2017021515592266	circle	Verstoring	verbossing	bedekking verbossing	0	Percentage	NA	%
