record_id	ID	Vegetatielaag	Kenmerk	TypeKenmerk	Waarde	Type	Eenheid	Invoertype
100297_2016-06-07	100297_2016-06-07	boomlaag	Juglans regia L.	Soort_Latijn	80	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Achillea millefolium L.	Soort_Latijn	4	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl	Soort_Latijn	20	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Bromus sterilis L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Carex hirta L.	Soort_Latijn	20	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Carex riparia Curt.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Centaurea L. subgenus Jacea	Soort_Latijn	30	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Cerastium fontanum Baumg.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Cirsium arvense (L.) Scop.	Soort_Latijn	2	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Dactylis glomerata L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Daucus carota L.	Soort_Latijn	2	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Equisetum arvense L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Festuca rubra L.	Soort_Latijn	50	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Fraxinus ornus L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Galium uliginosum L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Geranium molle L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Geum urbanum L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Holcus lanatus L.	Soort_Latijn	20	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Lotus pedunculatus Cav.	Soort_Latijn	12	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Plantago lanceolata L.	Soort_Latijn	7	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Poa trivialis L.	Soort_Latijn	50	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Ranunculus acris L.	Soort_Latijn	2	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Ranunculus repens L.	Soort_Latijn	7	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Rumex acetosa L.	Soort_Latijn	4	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Senecio jacobaea L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Taraxacum	Soort_Latijn	2	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Trifolium dubium Sibth.	Soort_Latijn	4	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Trifolium pratense L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Trifolium repens L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Veronica agrestis L.	Soort_Latijn	1	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Vicia	Soort_Latijn	2	Percentage	%	NA
100297_2016-06-07	100297_2016-06-07	kruidlaag	Vicia villosa Roth	Soort_Latijn	4	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Agrostis canina L.	Soort_Latijn	12	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Betula pubescens	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Bidens cernua L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Calla palustris L.	Soort_Latijn	4	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Caltha palustris L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Carex pseudocyperus L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Carex rostrata Stokes	Soort_Latijn	30	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Cirsium palustre (L.) Scop.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Epilobium	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Equisetum fluviatile L.	Soort_Latijn	12	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Galium palustre L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Holcus lanatus L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Juncus effusus L.	Soort_Latijn	30	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Lotus pedunculatus Cav.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Lycopus europaeus L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Lysimachia vulgaris L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Lythrum salicaria L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Myosotis cespitosa C.F. Schultz	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Sparganium erectum L.	Soort_Latijn	2	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Spirodela polyrhiza (L.) Schleid.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	kruidlaag	Typha latifolia L.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	moslaag	Calliergon giganteum (Schimp.) Kindb.	Soort_Latijn	30	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	moslaag	Plagiomnium ellipticum (Brid.) T.J.Kop.	Soort_Latijn	1	Percentage	%	NA
IV2017022111183354	1004470_2015-08-18	struiklaag	Alnus glutinosa (L.) Gaertn.	Soort_Latijn	4	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Agrostis canina L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Alisma plantago-aquatica L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Alnus glutinosa (L.) Gaertn.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Bidens cernua L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Caltha palustris L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Cardamine pratensis L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Carex pseudocyperus L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Carex rostrata Stokes	Soort_Latijn	30	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Cicuta virosa L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Epilobium palustre L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Equisetum fluviatile L.	Soort_Latijn	20	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Galium palustre L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Iris pseudacorus L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Juncus acutiflorus Ehrh. ex Hoffmann	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Juncus effusus L.	Soort_Latijn	7	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Lotus pedunculatus Cav.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Lychnis flos-cuculi L.	Soort_Latijn	1	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Lycopus europaeus L.	Soort_Latijn	2	Percentage	%	NA
IV2023111315045033	1004470_2023-08-18	kruidlaag	Lysimachia vulgaris L.	Soort_Latijn	7	Percentage	%	NA
