plot_id	segment_id	vbi_cycle	dendro_missing_value	reg_missing_value	herb_missing_value
17144	1	1	0	0	1
17144	1	2	0	0	0
18111	1	1	0	0	1
18111	1	2	0	0	0
18111	1	3	0	0	0
18127	1	1	0	0	1
18127	1	2	0	0	0
18127	1	3	0	0	0
18135	1	1	0	0	0
18135	1	2	0	0	0
18135	1	3	0	0	0
18159	1	2	0	0	0
18159	1	3	0	0	0
26148	1	1	0	0	0
26148	1	2	0	0	0
26148	3	2	0	0	0
27091	1	1	0	0	1
27091	1	2	0	0	0
27091	2	2	0	0	0
27113	1	1	0	0	0
27113	1	2	0	1	0
27124	1	1	0	0	1
27124	1	2	0	0	0
27131	1	1	0	0	0
27131	1	2	0	0	0
27137	1	1	0	0	1
27137	1	2	0	0	0
27138	1	1	0	0	1
27138	1	2	0	0	0
27139	1	1	0	0	1
27139	1	2	0	0	0
27140	1	1	0	0	1
27140	1	2	0	1	0
27145	1	1	0	0	0
27145	1	2	0	1	0
27148	1	1	0	0	0
27148	1	2	0	1	0
27154	1	1	0	0	1
27154	1	2	0	1	0
27156	1	1	0	0	1
27156	1	2	0	0	0
35106	1	1	0	0	1
35106	1	2	0	0	0
35106	1	3	0	0	0
35114	1	1	0	0	0
35114	1	2	0	0	0
35114	1	3	0	0	0
35124	1	1	0	0	1
35124	1	2	0	0	0
35124	1	3	0	0	0
35129	1	1	0	0	0
35129	1	2	0	0	0
35129	1	3	0	0	0
35132	1	1	0	0	0
35132	1	2	0	0	0
35132	1	3	0	0	0
35140	1	1	0	0	1
35140	1	2	0	0	0
35140	1	3	0	0	0
35145	1	1	0	0	0
35145	1	2	0	0	0
35145	1	3	0	0	0
35148	1	1	0	0	0
35148	1	2	0	0	0
35148	1	3	0	0	0
35149	1	2	0	0	0
35149	1	3	0	0	0
35149	2	3	0	0	0
35157	1	1	0	0	1
35157	1	2	0	0	0
35157	1	3	0	0	0
47128	1	1	0	0	1
47136	1	1	0	0	0
48063	1	2	0	0	0
48064	1	2	0	1	0
48072	1	2	0	0	0
48113	1	1	0	0	0
48113	1	2	0	0	0
55099	1	1	1	1	1
55115	1	1	0	0	0
55115	1	2	0	0	0
56018	1	2	0	0	0
56019	1	1	0	0	0
56019	1	3	0	0	0
56020	1	1	1	1	1
56020	1	3	0	0	0
56137	1	3	1	1	1
72144	1	2	0	0	0
73032	1	1	0	0	1
73040	1	2	0	0	0
73054	1	2	0	0	0
73062	1	1	0	0	1
73062	1	2	0	0	0
73062	3	2	0	0	0
73063	1	1	0	0	1
73063	1	2	0	0	0
73064	1	1	0	0	1
73064	1	2	0	0	0
73086	1	2	0	0	0
73087	1	1	0	0	0
73120	1	1	0	0	0
73120	1	2	0	0	0
73154	1	1	0	0	1
