"";"ID";"Criterium";"Indicator";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid"
"1";"IV2017030215512887";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"2";"IV2017030215512887";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"3";"IV2017030215512887";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"4";"IV2017030215512887";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"5";"IV2017030216035187";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"6";"IV2017030216035187";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"7";"IV2017030216035187";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"8";"IV2017030812063258";"Structuur";"verticale structuur";"bedekking helofyten";"28";"Percentage";NA;"%"
"9";"IV2017030812063258";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"20";"Percentage";NA;"%"
"10";"IV2017030812063258";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"11";"IV2017030812063258";"Verstoring";"verzuring";"bedekking verzuring";"30";"Percentage";NA;"%"
"12";"IV2017030812170830";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"20";"Percentage";NA;"%"
"13";"IV2017030812170830";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"14";"IV2017030812170830";"Verstoring";"verzuring";"bedekking verzuring";"3";"Percentage";NA;"%"
"15";"IV2017032009171774";"Structuur";"verticale structuur";"bedekking helofyten";"95";"Percentage";NA;"%"
"16";"IV2017032009171774";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"22";"Percentage";NA;"%"
"17";"IV2017032009171774";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"15";"Percentage";NA;"%"
"18";"IV2017032009323636";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"13";"Percentage";NA;"%"
"19";"IV2017032009323636";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"20";"IV2017032009323636";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"21";"IV2017032009392259";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"60";"Percentage";NA;"%"
"22";"IV2017032009392259";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"23";"IV2017032009392259";"Verstoring";"verzuring";"bedekking verzuring";"5";"Percentage";NA;"%"
"24";"IV2017032009592467";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"25";"IV2017032009592467";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"2";"Percentage";NA;"%"
