"";"ID";"survey";"user_reference";"location";"date";"latitude";"Habitattype";"reliability";"Versie";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²"
"1";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"2";"IV2016120809224601";"HT3260";"SchNe_02_20160826";"SchNe_02";"2016-08-26";51,20361829;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"3";"IV2016120812572168";"HT3260";"SchNe_01_20160804";"SchNe_01";"2016-08-04";51,2012659;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"4";"IV2016120813184428";"HT3260";"Dommel_01_20160805";"Dommel_01";"2016-08-05";51,26887777;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"5";"IV2016120813410051";"HT3260";"Dommel_10_20160805";"Dommel_10";"2016-08-05";51,25959028;"3260";"matig";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"6";"IV2016120814151855";"HT3260";"Dommel_03_20160805";"Dommel_03";"2016-08-05";51,21795023;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"7";"IV2016120814452463";"HT3260";"Dommel_08_20160808";"Dommel_08";"2016-08-08";51,17730019;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"8";"IV2016120916091640";"HT3260";"Voer_08_20160811";"Voer_08";"2016-08-11";50,74213788;"3260";"hoog";"Versie 3";TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
"9";"IV2016121210560857";"HT3260";"BolBe_02_20160812";"BolBe_02";"2016-08-12";51,09688985;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"10";"IV2016121211363938";"HT3260";"AntGr_01_20160818";"AntGr_01";"2016-08-18";51,34721646;"3260";"matig";"Versie 3";FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"11";"IV2016121212030936";"HT3260";"GouLo_03_20160819";"GouLo_03";"2016-08-19";51,4947381;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"12";"IV2016121212144933";"HT3260";"GouLo_08_20160819";"GouLo_08";"2016-08-19";51,49696124;"3260";"hoog";"Versie 3";FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"13";"IV2016121212251275";"HT3260";"GouLo_12_20160819";"GouLo_12";"2016-08-19";51,49926567;"3260";"hoog";"Versie 3";FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
"14";"IV2017010215025058";"HT3260";"NooMa_02_20150618";"NooMa_02";"2015-06-18";51,39855871;"3260";NA;"Versie 3";FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
