"";"ID";"survey";"user_reference";"location";"date";"latitude";"longitude";"Habitattype";"reliability"
"518";"IV2023081815500319";"HT2190_a_LSVI_StilstaandeWateren";"WV_WES_012_2190a_19";"WV_WES_012";"2019-06-11";500;500;"2190_a";"hoog"
"519";"IV2023081815530780";"HT2190_a_LSVI_StilstaandeWateren";"WV_WES_007_2190a_19";"WV_WES_007";"2019-06-11";500;500;"2190_a";"hoog"
"520";"IV2023081815562573";"HT2190_a_LSVI_StilstaandeWateren";"WV_WES_006_2190a_19";"WV_WES_006";"2019-06-11";500;500;"2190_a";"hoog"
"521";"IV2023081816283203";"HT2190_a_LSVI_StilstaandeWateren";"WV_WES_003_2190a_19";"WV_WES_003";"2019-06-11";500;500;"2190_a";"hoog"
"522";"IV2023081816320188";"HT2190_a_LSVI_StilstaandeWateren";"WV_TYD_009_2190a_19";"WV_TYD_009";"2019-06-06";500;500;"2190_a";"hoog"
"523";"IV2023081816401613";"HT2190_a_LSVI_StilstaandeWateren";"WV_NOD_016_2190a_19";"WV_NOD_016";"2019-06-06";500;500;"2190_a";"hoog"
"524";"IV2023082110402271";"HT2190_a_LSVI_StilstaandeWateren";"WV_BRE_010_2190a_19";"WV_BRE_010";"2019-06-20";500;500;"2190_a";"hoog"
"525";"IV2023082110410535";"HT2190_a_LSVI_StilstaandeWateren";"WV_BDH_002_2190a_19";"WV_BDH_002";"2019-06-20";500;500;"2190_a";"hoog"
"526";"IV2023082111064698";"HT2190_a_LSVI_StilstaandeWateren";"WV_BDH_006_2190a_19";"WV_BDH_006";"2019-06-20";500;500;"2190_a";"hoog"
"527";"IV2023082111100001";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_039_2190a_19";"WV_ZWI_039";"2019-07-04";500;500;"2190_a";"hoog"
"528";"IV2023082111154811";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_142_2190a_19";"WV_ZWI_142";"2019-07-04";500;500;"2190_a";"hoog"
"529";"IV2023082111165074";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_013_2190a_19";"WV_ZWI_013";"2019-07-04";500;500;"2190_a";"hoog"
"530";"IV2023082111240183";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_011_2190a_19";"WV_ZWI_011";"2019-06-06";500;500;"2190_a";"hoog"
"531";"IV2023082111263515";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_043_2190a_19";"WV_ZWI_043";"2019-06-06";500;500;"2190_a";"hoog"
"532";"IV2023082111281651";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_120_2190a_19";"WV_ZWI_120";"2019-06-06";500;500;"2190_a";"hoog"
"533";"IV2023082111315025";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_158_2190a_19";"WV_ZWI_158";"2019-05-17";500;500;"2190_a";"hoog"
"534";"IV2023082111351535";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_124_2190a_19";"WV_ZWI_124";"2019-05-17";500;500;"2190_a";"hoog"
"535";"IV2023082111375865";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_012_2190a_19";"WV_ZWI_012";"2019-05-17";500;500;"2190_a";"hoog"
"536";"IV2023082111404847";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_162_2190a_19";"WV_ZWI_162";"2019-05-17";500;500;"2190_a";"hoog"
"537";"IV2023082413413921";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0306_3130a_23";"ANTKAL0306";"2023-08-10";500;500;"3130_aom";"hoog"
"538";"IV2023082413423805";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0289_3130a_23";"ANTKAL0289";"2023-08-10";500;500;"3130_aom";"hoog"
"539";"IV2023083109032178";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0344_3130a_23";"ANTKAL0344";"2023-08-25";500;500;"3130_aom";"hoog"
"540";"IV2023083109223750";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0344_3160_23";"ANTKAL0344";"2023-08-25";500;500;"3160";"hoog"
"541";"IV2023112914101130";"HT31xx_LSVI_StilstaandeWateren";"LIMHHE0002_3130a_23";"LIMHHE0002";"2023-09-28";500;500;"3130_aom";"hoog"
"542";"IV2023112914403467";"HT31xx_LSVI_StilstaandeWateren";"LIMHHE0002_3160_23";"LIMHHE0002";"2023-09-28";500;500;"3160";"hoog"
"543";"IV2024011111212549";"HT31xx_LSVI_StilstaandeWateren";"VBRZOU0028_3150_23";"VBRZOU0028";"2023-08-09";500;500;"3150";"matig"
"544";"IV2024011214271339";"HT31xx_LSVI_StilstaandeWateren";"VBRZOU0212_3150_23";"VBRZOU0212";"2023-08-09";500;500;"3150";"hoog"
"545";"IV2024011615375072";"HT31xx_LSVI_StilstaandeWateren";"ANTRAV0211_3110_23";"ANTRAV0211";"2023-10-02";500;500;"3110";"hoog"
"546";"IV2024011616134474";"HT31xx_LSVI_StilstaandeWateren";"ANTRAV0211_3130a_23";"ANTRAV0211";"2023-10-02";500;500;"3130_aom";"hoog"
"547";"IV2024011616290864";"HT31xx_LSVI_StilstaandeWateren";"ANTRAV0211_3130n_23";"ANTRAV0211";"2023-10-02";500;500;"3130_na";"hoog"
"548";"IV2024011617081713";"HT31xx_LSVI_StilstaandeWateren";"LI_HEU_001_3110_22";"LI_HEU_001";"2022-06-27";500;500;"3110";"hoog"
"549";"IV2024011710122457";"HT31xx_LSVI_StilstaandeWateren";"LI_HEU_001_3130n_22";"LI_HEU_001";"2022-06-27";500;500;"3130_na";"hoog"
"550";"IV2024011713062687";"HT31xx_LSVI_StilstaandeWateren";"ANTRAV0052_3130a_23";"ANTRAV0052";"2023-09-20";500;500;"3130_aom";"hoog"
"551";"IV2024011716321225";"HT31xx_LSVI_StilstaandeWateren";"ANTRAV0052_3130n_23";"ANTRAV0052";"2023-09-20";500;500;"3130_na";"hoog"
"552";"IV2024050616130872";"HT2190_a_LSVI_StilstaandeWateren";"WV_CAB_023_2190a_18";"WV_CAB_023";"2018-07-20";500;500;"2190_a";"hoog"
"553";"IV2024050616240042";"HT2190_a_LSVI_StilstaandeWateren";"WV_CAB_010_2190a_18";"WV_CAB_010";"2018-08-03";500;500;"2190_a";"hoog"
"554";"IV2024050616295201";"HT2190_a_LSVI_StilstaandeWateren";"WV_BDH_008_2190a_20";"WV_BDH_008";"2020-06-29";500;500;"2190_a";"hoog"
"555";"IV2024050816160732";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_149_2190a_20";"WV_ZWI_149";"2020-06-25";500;500;"2190_a";"hoog"
"556";"IV2024050817015004";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_060_2190a_20";"WV_ZWI_060";"2020-08-24";500;500;"2190_a";"hoog"
"557";"IV2024050817072878";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_045_2190a_19";"WV_ZWI_045";"2019-06-14";500;500;"2190_a";"hoog"
"558";"IV2024050817180034";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_040_2190a_20";"WV_ZWI_040";"2020-06-22";500;500;"2190_a";"hoog"
"559";"IV2024050817361534";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZEB_001_2190a_20";"WV_ZEB_001";"2020-09-01";500;500;"2190_a";"hoog"
"560";"IV2024050817505134";"HT2190_a_LSVI_StilstaandeWateren";"WV_WES_038_2190a_20";"WV_WES_038";"2020-07-02";500;500;"2190_a";"hoog"
"561";"IV2024051511300735";"HT2190_a_LSVI_StilstaandeWateren";"WV_WAD_004_2190a_18";"WV_WAD_004";"2018-07-06";500;500;"2190_a";"hoog"
"562";"IV2024051511362894";"HT2190_a_LSVI_StilstaandeWateren";"WV_WAD_002_2190a_18";"WV_WAD_002";"2018-07-06";500;500;"2190_a";"hoog"
"563";"IV2024051511460138";"HT2190_a_LSVI_StilstaandeWateren";"WV_TYD_007_2190a_18";"WV_TYD_007";"2018-08-31";500;500;"2190_a";"hoog"
"564";"IV2024051512040022";"HT2190_a_LSVI_StilstaandeWateren";"WV_LEP_007_2190a_17";"WV_LEP_007";"2017-07-29";500;500;"2190_a";"hoog"
"565";"IV2024051512100419";"HT2190_a_LSVI_StilstaandeWateren";"WV_LEP_003_2190a_18";"WV_LEP_003";"2018-08-31";500;500;"2190_a";"hoog"
"566";"IV2024051512152620";"HT2190_a_LSVI_StilstaandeWateren";"WV_IJZ_002_2190a_18";"WV_IJZ_002";"2018-09-11";500;500;"2190_a";"hoog"
"567";"IV2024051512200819";"HT2190_a_LSVI_StilstaandeWateren";"WV_HOS_001_2190a_18";"WV_HOS_001";"2018-07-19";500;500;"2190_a";"hoog"
"568";"IV2024093016260718";"HT31xx_LSVI_StilstaandeWateren";"ANTRAV0014_3130a_24";"ANTRAV0014";"2024-07-01";500;500;"3130_aom";"hoog"
"569";"IV2024100111090608";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0330_3160_24";"ANTKAL0330";"2024-07-02";500;500;"3160";"hoog"
"570";"IV2024100111155960";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0330_3130a_24";"ANTKAL0330";"2024-07-02";500;500;"3130_aom";"hoog"
"571";"IV2024100117462140";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0356_3160_24";"ANTKAL0356";"2024-07-02";500;500;"3160";"hoog"
"572";"IV2024100117541666";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0356_3130a_24";"ANTKAL0356";"2024-07-02";500;500;"3130_aom";"hoog"
"573";"IV2024100916453628";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0478_3160_24";"ANTKAL0478";"2024-07-03";500;500;"3160";"hoog"
"574";"IV2024101008251601";"HT31xx_LSVI_StilstaandeWateren";"ANTLIL0230_3130a_24";"ANTLIL0230";"2024-07-05";500;500;"3130_aom";"hoog"
"575";"IV2024101008314167";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0563_3130a_24";"LIMZNH0563";"2024-07-04";500;500;"3130_aom";"hoog"
"576";"IV2024101008380195";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0563_3140_24";"LIMZNH0563";"2024-07-04";500;500;"3140";"hoog"
"577";"IV2024101009231913";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0379_3160_24";"LIMZNH0379";"2024-07-04";500;500;"3160";"hoog"
"578";"IV2024101009270487";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0379_3130a_24";"LIMZNH0379";"2024-07-04";500;500;"3130_aom";"hoog"
"579";"IV2024101009301586";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0379_3110_24";"LIMZNH0379";"2024-07-04";500;500;"3110";"hoog"
"580";"IV2024101009350936";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0064_3150_24";"LIMGNK0064";"2024-07-04";500;500;"3150";"hoog"
"581";"IV2024101010441028";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0004_3160_24";"ANTKAL0004";"2024-07-08";500;500;"3160";"hoog"
"582";"IV2024101015582200";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0123_3160_24";"ANTKAL0123";"2024-07-08";500;500;"3160";"hoog"
"583";"IV2024101016063497";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0338_3110_24";"LIMZNH0338";"2024-07-10";500;500;"3110";"hoog"
"584";"IV2024101016224661";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0338_3160_24";"LIMZNH0338";"2024-07-10";500;500;"3160";"hoog"
"585";"IV2024101107401086";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0619_3130a_24";"LIMZNH0619";"2024-07-10";500;500;"3130_aom";"hoog"
"586";"IV2024101108161509";"HT31xx_LSVI_StilstaandeWateren";"LIMDST0108_3110_24";"LIMDST0108";"2024-07-15";500;500;"3110";"hoog"
"587";"IV2024101108222189";"HT31xx_LSVI_StilstaandeWateren";"LIMDST0108_3130n_24";"LIMDST0108";"2024-07-15";500;500;"3130_na";"hoog"
"588";"IV2024101108265001";"HT31xx_LSVI_StilstaandeWateren";"LIMDST0108_3130a_24";"LIMDST0108";"2024-07-15";500;500;"3130_aom";"hoog"
"589";"IV2024101408050323";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0284_3160_24";"ANTKAL0284";"2024-07-17";500;500;"3160";"hoog"
"590";"IV2024101409542202";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0019_3160_24";"ANTKAL0019";"2024-07-17";500;500;"3160";"hoog"
"591";"IV2024101411070526";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0021_3160_24";"ANTKAL0021";"2024-07-18";500;500;"3160";"hoog"
"592";"IV2024101411311396";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0001_3160_24";"ANTKAL0001";"2024-07-18";500;500;"3160";"hoog"
"593";"IV2024101413031672";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0150_3130n_24";"LIMZNH0150";"2024-07-22";500;500;"3130_na";"hoog"
"594";"IV2024101413215183";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0150_3130a_24";"LIMZNH0150";"2024-07-22";500;500;"3130_aom";"hoog"
"595";"IV2024101413430988";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0387_3160_24";"ANTKAL0387";"2024-07-25";500;500;"3160";"hoog"
"596";"IV2024101715543169";"HT31xx_LSVI_StilstaandeWateren";"ANTTUR0348_3130a_24";"ANTTUR0348";"2024-07-26";500;500;"3130_aom";"hoog"
"597";"IV2024101807292581";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0288_3160_24";"ANTKAL0288";"2024-07-24";500;500;"3160";"hoog"
"598";"IV2024101809401953";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0383_3160_24";"ANTKAL0383";"2024-07-24";500;500;"3160";"hoog"
"599";"IV2024101810110298";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0089_3130a_24";"ANTMOL0089";"2024-08-16";500;500;"3130_aom";"hoog"
"600";"IV2024101810330737";"HT31xx_LSVI_StilstaandeWateren";"LIMBRE0073_3130n_24";"LIMBRE0073";"2024-08-19";500;500;"3130_na";"hoog"
"601";"IV2024101810420614";"HT31xx_LSVI_StilstaandeWateren";"LIMBRE0073_3150_24";"LIMBRE0073";"2024-08-19";500;500;"3150";"hoog"
"602";"IV2024101810484847";"HT31xx_LSVI_StilstaandeWateren";"LIMMSK0444_3130a_24";"LIMMSK0444";"2024-08-19";500;500;"3130_aom";"hoog"
"603";"IV2024101810573793";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0463_3160_24";"ANTKAS0463";"2024-08-20";500;500;"3160";"hoog"
"604";"IV2024101811014113";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0463_3130a_24";"ANTKAS0463";"2024-08-20";500;500;"3130_aom";"hoog"
"605";"IV2024101812524683";"HT31xx_LSVI_StilstaandeWateren";"LIMHHE0286_3130n_24";"LIMHHE0286";"2024-08-22";500;500;"3130_na";"hoog"
"606";"IV2024101812580212";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0043_3130n_24";"LIMZNH0043";"2024-08-22";500;500;"3130_na";"hoog"
"607";"IV2024101813485494";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0043_3140_24";"LIMZNH0043";"2024-08-22";500;500;"3140";"hoog"
"608";"IV2024101813564711";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0698_3160_24";"ANTBCT0698";"2024-08-23";500;500;"3160";"hoog"
"609";"IV2024101814082924";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0525_3160_24";"ANTBCT0525";"2024-08-23";500;500;"3160";"hoog"
"610";"IV2024101814121171";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0464_3160_24";"ANTBCT0464";"2024-08-23";500;500;"3160";"hoog"
"611";"IV2024102107481869";"HT31xx_LSVI_StilstaandeWateren";"ANTMEC0388_3130n_24";"ANTMEC0388";"2024-08-26";500;500;"3130_na";"hoog"
"612";"IV2024102108005683";"HT31xx_LSVI_StilstaandeWateren";"ANTMEC0388_3140_24";"ANTMEC0388";"2024-08-26";500;500;"3140";"matig"
"613";"IV2024102108121045";"HT31xx_LSVI_StilstaandeWateren";"ANTANT0480_3140_24";"ANTANT0480";"2024-08-28";500;500;"3140";"hoog"
"614";"IV2024102109520408";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0747_3130a_24";"ANTMOL0747";"2024-08-29";500;500;"3130_aom";"hoog"
"615";"IV2024102111335446";"HT31xx_LSVI_StilstaandeWateren";"ANTBAA0044_3130a_24";"ANTBAA0044";"2024-08-30";500;500;"3130_aom";"hoog"
"616";"IV2024102113043866";"HT31xx_LSVI_StilstaandeWateren";"ANTBAA0048_3130a_24";"ANTBAA0048";"2024-08-30";500;500;"3130_aom";"hoog"
"617";"IV2024102113082142";"HT31xx_LSVI_StilstaandeWateren";"ANTBAA0048_3130n_24";"ANTBAA0048";"2024-08-30";500;500;"3130_na";"hoog"
"618";"IV2024102113110695";"HT31xx_LSVI_StilstaandeWateren";"ANTBAA0048_3140_24";"ANTBAA0048";"2024-08-30";500;500;"3140";"hoog"
"619";"IV2024102113193779";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0386a_3130a_24";"ANTKAL0386a";"2024-09-02";500;500;"3130_aom";"hoog"
"620";"IV2024102113232608";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0386a_3160_24";"ANTKAL0386a";"2024-09-02";500;500;"3160";"hoog"
"621";"IV2024102115013502";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0062_3130n_24";"LIMGNK0062";"2024-09-03";500;500;"3130_na";"hoog"
"622";"IV2024102115133564";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0062_3130a_24";"LIMGNK0062";"2024-09-03";500;500;"3130_aom";"hoog"
"623";"IV2024102115233855";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0182_3130n_24";"LIMGNK0182";"2024-09-03";500;500;"3130_na";"matig"
"624";"IV2024102115490522";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0501_3160_24";"ANTKAS0501";"2024-09-04";500;500;"3160";"hoog"
"625";"IV2024102115573343";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0501_3130n_24";"ANTKAS0501";"2024-09-04";500;500;"3130_na";"hoog"
"626";"IV2024102116015327";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0501_3130a_24";"ANTKAS0501";"2024-09-04";500;500;"3130_aom";"hoog"
"627";"IV2024102916145910";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0165_3130n_24";"LIMHAS0165";"2024-09-05";500;500;"3130_na";"hoog"
"628";"IV2024102916211971";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0165_3130a_24";"LIMHAS0165";"2024-09-05";500;500;"3130_aom";"hoog"
"629";"IV2024102916273348";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0462_3130a_24";"LIMHAS0462";"2024-09-05";500;500;"3130_aom";"hoog"
"630";"IV2024102916363975";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0462_3130n_24";"LIMHAS0462";"2024-09-05";500;500;"3130_na";"hoog"
"631";"IV2024103007214333";"HT31xx_LSVI_StilstaandeWateren";"LIMMGR0376_3160_24";"LIMMGR0376";"2024-09-06";500;500;"3160";"hoog"
"632";"IV2024103007275411";"HT31xx_LSVI_StilstaandeWateren";"LIMBOC0019_3130n_24";"LIMBOC0019";"2024-09-09";500;500;"3130_na";"hoog"
"633";"IV2024103007363138";"HT31xx_LSVI_StilstaandeWateren";"LIMBOC0019_3140_24";"LIMBOC0019";"2024-09-09";500;500;"3140";"hoog"
"634";"IV2024103007415234";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0576_3130n_24";"LIMZNH0576";"2024-09-10";500;500;"3130_na";"matig"
"635";"IV2024103007510788";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0576_3130a_24";"LIMZNH0576";"2024-09-10";500;500;"3130_aom";"matig"
"636";"IV2024103011243475";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0516_3130a_24";"LIMZNH0516";"2024-09-10";500;500;"3130_aom";"hoog"
"637";"IV2024103011385514";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0516_3140_24";"LIMZNH0516";"2024-09-10";500;500;"3140";"hoog"
"638";"IV2024103011443885";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0516_3130n_24";"LIMZNH0516";"2024-09-10";500;500;"3130_na";"hoog"
"639";"IV2024103011501464";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0275_3160_24";"ANTBCT0275";"2024-09-11";500;500;"3160";"hoog"
"640";"IV2024103013174404";"HT31xx_LSVI_StilstaandeWateren";"LIMDPB0311_3150_24";"LIMDPB0311";"2024-09-12";500;500;"3150";"hoog"
"641";"IV2024103013230064";"HT31xx_LSVI_StilstaandeWateren";"LIMDPB0315_3150_24";"LIMDPB0315";"2024-09-12";500;500;"3150";"hoog"
"642";"IV2024103013483911";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0318_3130a_24";"LIMZNH0318";"2024-09-13";500;500;"3130_aom";"hoog"
"643";"IV2024103013531318";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0318_3160_24";"LIMZNH0318";"2024-09-13";500;500;"3160";"hoog"
"644";"IV2024103109505276";"HT31xx_LSVI_StilstaandeWateren";"LIMLOM0067_3130a_24";"LIMLOM0067";"2024-09-16";500;500;"3130_aom";"hoog"
"645";"IV2024103109575023";"HT31xx_LSVI_StilstaandeWateren";"LIMLOM0067_3130n_24";"LIMLOM0067";"2024-09-16";500;500;"3130_na";"hoog"
