ID	Habitattype	Versie	Criterium	Indicator	Beoordeling	Belang	Kwaliteitsniveau	BeoordelingID	Status_indicator	Verschilscore
IV2016120512445956	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	0	-0.975
IV2016120512445956	3260	Versie 3	Structuur	verticale structuur	<= 30 % helofyten (uitgezonderd sleutelsoorten)	zb	1	1278	1	0.5
IV2016120512445956	3260	Versie 3	Vegetatie	sleutelsoorten	minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig	b	1	1275	0	-1
IV2016120512445956	3260	Versie 3	Verstoring	eutrofiëring	<= 30 %	zb	1	1282	1	0.333333333333333
IV2016120512445956	3260	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1274	0	-0.0100050025012506
IV2016120809224601	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	1	4.5
IV2016120809224601	3260	Versie 3	Structuur	verticale structuur	<= 30 % helofyten (uitgezonderd sleutelsoorten)	zb	1	1278	1	0.666666666666667
IV2016120809224601	3260	Versie 3	Vegetatie	sleutelsoorten	minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig	b	1	1275	0	-1
IV2016120809224601	3260	Versie 3	Verstoring	eutrofiëring	<= 30 %	zb	1	1282	1	0.966666666666667
IV2016120809224601	3260	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1274	0	-0.00950475237618809
IV2016120812572168	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	1	0.5
IV2016120812572168	3260	Versie 3	Structuur	verticale structuur	<= 30 % helofyten (uitgezonderd sleutelsoorten)	zb	1	1278	1	0.966666666666667
IV2016120812572168	3260	Versie 3	Vegetatie	sleutelsoorten	minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig	b	1	1275	0	-1
IV2016120812572168	3260	Versie 3	Verstoring	eutrofiëring	<= 30 %	zb	1	1282	1	0.966666666666667
IV2016120812572168	3260	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1274	0	-0.00950475237618809
IV2016120813184428	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	0	-0.9
IV2016120813184428	3260	Versie 3	Structuur	verticale structuur	<= 30 % helofyten (uitgezonderd sleutelsoorten)	zb	1	1278	1	0.966666666666667
IV2016120813184428	3260	Versie 3	Vegetatie	sleutelsoorten	minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig	b	1	1275	0	-1
IV2016120813184428	3260	Versie 3	Verstoring	eutrofiëring	<= 30 %	zb	1	1282	1	0.9
IV2016120813184428	3260	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1274	0	-0.00950475237618809
IV2016120813410051	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	0	-0.975
IV2016120813410051	3260	Versie 3	Structuur	verticale structuur	<= 30 % helofyten (uitgezonderd sleutelsoorten)	zb	1	1278	1	0.966666666666667
IV2016120813410051	3260	Versie 3	Vegetatie	sleutelsoorten	minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig	b	1	1275	0	-1
IV2016120813410051	3260	Versie 3	Verstoring	eutrofiëring	<= 30 %	zb	1	1282	1	0.966666666666667
IV2016120813410051	3260	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1274	0	-0.00950475237618809
IV2016120814151855	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	0	-0.998
IV2016120814151855	3260	Versie 3	Structuur	verticale structuur	<= 30 % helofyten (uitgezonderd sleutelsoorten)	zb	1	1278	1	0.966666666666667
IV2016120814151855	3260	Versie 3	Vegetatie	sleutelsoorten	minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig	b	1	1275	0	-1
IV2016120814151855	3260	Versie 3	Verstoring	eutrofiëring	<= 30 %	zb	1	1282	1	1
IV2016120814151855	3260	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1274	1	1
IV2016120814452463	3260	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1279	0	-0.9995
