survey	recording_givid	user_reference	value_code	value	comment
HT3260	IV2016112910214756	Renne_03_20160727	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120512144485	DesNe_02_20160804	TnT	Geen opname: tijdelijk niet toegankelijk	NA
HT3260	IV2016120512445956	DesNe_02_20160826	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120514075835	RodLo_02_20160826	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120514101427	LaaBe_01_20160826	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120514573877	BriLo_01_20160728	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2016120808312250	IttBe_01_20160727	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2016120808312250	IttBe_01_20160727	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120809224601	SchNe_02_20160826	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120810153277	BriLo_04_20160728	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120810542004	BriLo_05_20160728	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120811021713	GroNe_04_20160728	RelMe	Betrouwbaarheid opname: matig	NA
HT3260	IV2016120811543925	GroNe_11_20160728	RelMe	Betrouwbaarheid opname: matig	NA
HT3260	IV2016120812572168	SchNe_01_20160804	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120813184428	Dommel_01_20160805	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120813410051	Dommel_10_20160805	RelMe	Betrouwbaarheid opname: matig	NA
HT3260	IV2016120814040865	WarBe_01_20160805	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120814151855	Dommel_03_20160805	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120814452463	Dommel_08_20160808	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120914433191	BolBe_08_o_20160808	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2016120914450912	BolBe_08_20160808	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120915405472	Abeek_04_20160808	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016120915535509	Voer_08_o_20160811	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2016120916091640	Voer_08_20160811	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121210191115	KaaBe_01_20160811	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2016121210191115	KaaBe_01_20160811	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121210223029	WarBe_02_20160812	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2016121210560857	BolBe_02_20160812	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121211051467	Asbeek_01_20160812	RelMe	Betrouwbaarheid opname: matig	NA
HT3260	IV2016121211363938	AntGr_01_20160818	RelMe	Betrouwbaarheid opname: matig	NA
HT3260	IV2016121211520788	MunLo_01_20160819	Pnt	Geen opname: permanent ongeschikt	NA
