ID	Habitattype	Versie	Kwaliteitsniveau	Status	Aggregatiemethode	Index_min_min	Index_min_harm	Index_harm_harm
IV2016120512445956	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120809224601	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120812572168	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120813184428	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120813410051	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120814151855	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120814452463	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016120916091640	3260	Versie 3	1	0	RapportageHR	-0.95	-0.859210944957047	-0.742214238900891
IV2016121210560857	3260	Versie 3	1	0	RapportageHR	-0.95	-0.866716867469879	-0.767066951801283
IV2016121211363938	3260	Versie 3	1	0	RapportageHR	-0.0495247623811906	0.171609630679938	0.441756656920121
IV2016121212030936	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016121212144933	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2016121212251275	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017010215025058	3260	Versie 3	1	0	RapportageHR	-0.95	-0.860759493670886	-0.747851002865329
IV2017010311384515	3260	Versie 3	1	0	RapportageHR	-0.7	-0.380396732788798	-0.143893591293833
IV2017010312332288	3260	Versie 3	1	0	RapportageHR	-0.7	-0.380396732788798	-0.143893591293833
IV2017010315000010	3260	Versie 3	1	0	RapportageHR	-0.95	-0.869619614126737	-0.769870634058104
IV2017010315532909	3260	Versie 3	1	0	RapportageHR	-0.5	-0.183953839813161	-0.110806967270083
IV2017010316171032	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017010509365223	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017010510562127	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000002	3260	Versie 3	1	0	RapportageHR	-0.7	-0.527032407038777	-0.362083874157287
IV2017103112000004	3260	Versie 3	1	0	RapportageHR	-0.00950475237618809	0.0464852893061183	0.230715358757977
IV2017103112000007	3260	Versie 3	1	0	RapportageHR	-0.8	-0.600451467268623	-0.431491349733557
IV2017103112000009	3260	Versie 3	1	0	RapportageHR	-0.97	-0.916279069767442	-0.845527272727273
IV2017103112000011	3260	Versie 3	1	0	RapportageHR	-0.3	-0.12744213375863	0.0981200773373827
IV2017103112000020	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000021	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000022	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000024	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000025	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000027	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000028	3260	Versie 3	1	0	RapportageHR	-0.95	-0.866716867469879	-0.764862172035868
IV2017103112000029	3260	Versie 3	1	1	RapportageHR	0	0.299559471365639	0.389870435806831
IV2017103112000030	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000033	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000034	3260	Versie 3	1	0	RapportageHR	-0.8	-0.625930402697373	-0.48034913170582
IV2017103112000035	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000036	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000037	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000038	3260	Versie 3	1	0	RapportageHR	-0.5	-0.322471366349411	-0.245678959830987
IV2017103112000039	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017103112000040	3260	Versie 3	1	0	RapportageHR	-0.5	-0.221205082661566	-0.132296093996246
IV2018120312000001	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000007	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000008	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000011	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000019	3260	Versie 3	1	1	RapportageHR	0	0.03125	0.22011593294689
IV2018120312000021	3260	Versie 3	1	0	RapportageHR	-0.5	-0.147259848995452	-0.124267067808956
IV2018120312000023	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000024	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000029	3260	Versie 3	1	0	RapportageHR	-0.5	-0.249874979163194	-0.200831977557074
IV2018120312000030	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120312000031	3260	Versie 3	1	0	RapportageHR	-0.5	-0.253712400050768	-0.15180284570532
IV2018120312000032	3260	Versie 3	1	0	RapportageHR	-0.349674837418709	-0.0514410798978474	0.0124311918486311
IV2019091112000002	3260	Versie 3	1	0	RapportageHR	-0.6	-0.401015228426396	-0.273473576192919
IV2019091112000009	3260	Versie 3	1	1	RapportageHR	0	0.328330206378987	0.442836763806807
IV2019091112000011	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019091112000019	3260	Versie 3	1	0	RapportageHR	-0.4	-0.121951219512195	0.0984743411927878
IV2019091112000021	3260	Versie 3	1	0	RapportageHR	-0.2	0.0875576036866359	0.218239174075136
IV2019091112000023	3260	Versie 3	1	0	RapportageHR	-0.4	-0.183953839813161	-0.00693162711987227
IV2019091112000027	3260	Versie 3	1	0	RapportageHR	-0.142857142857143	0.117773019271949	0.361739130434783
IV2019091112000039	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019091112000040	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019091112000041	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019091112000042	3260	Versie 3	1	0	RapportageHR	-0.5	-0.34	-0.205711371749108
IV2019091112000043	3260	Versie 3	1	1	RapportageHR	-0.5	-0.0176589303733602	0.0191494002181025
IV2019091112000044	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019091112000046	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000000	3260	Versie 3	1	0	RapportageHR	-0.95	-0.869619614126737	-0.772513688871608
IV2020092312000002	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000003	3260	Versie 3	1	0	RapportageHR	-0.2	0.0875576036866359	0.248977628097185
IV2020092312000004	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000009	3260	Versie 3	1	1	RapportageHR	0	0.05	0.194312796208531
IV2020092312000013	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000014	3260	Versie 3	1	0	RapportageHR	-0.85	-0.673029556650246	-0.52123651585896
IV2020092312000015	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000016	3260	Versie 3	1	0	RapportageHR	-0.571428571428571	-0.409836065573771	-0.187358916478555
IV2020092312000017	3260	Versie 3	1	0	RapportageHR	-0.6	-0.25	-0.1
IV2020092312000019	3260	Versie 3	1	0	RapportageHR	-0.95	-0.869619614126737	-0.769466136433079
IV2020092312000020	3260	Versie 3	1	1	RapportageHR	0	0.268167860798362	0.286003425190721
IV2020092312000021	3260	Versie 3	1	0	RapportageHR	-0.00950475237618809	0.0871156661786237	0.253679615209446
IV2020092312000025	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000026	3260	Versie 3	1	0	RapportageHR	-0.95	-0.870555090230716	-0.77140813042025
IV2020092312000028	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000029	3260	Versie 3	1	0	RapportageHR	-0.6	-0.455495462462187	-0.366796966530668
IV2020092312000030	3260	Versie 3	1	1	RapportageHR	0	0.299559471365639	0.316229782487451
IV2020092312000031	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000032	3260	Versie 3	1	0	RapportageHR	-0.975	-0.930968360498562	-0.872376767844961
IV2020092312000033	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000034	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000036	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2020092312000037	3260	Versie 3	1	0	RapportageHR	-0.7	-0.487229862475442	-0.32408764098545
IV2020092312000038	3260	Versie 3	1	0	RapportageHR	-0.975	-0.930357142857143	-0.869911303161246
IV2020092312000039	3260	Versie 3	1	0	RapportageHR	-0.9	-0.769400986063124	-0.627340882712758
IV2021082512000000	3260	Versie 3	1	0	RapportageHR	0	0.195945945945946	0.328330206378987
IV2021082512000001	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2021082512000003	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2021082512000004	3260	Versie 3	1	0	RapportageHR	-0.5	-0.238007380073801	-0.210911792803312
IV2021082512000005	3260	Versie 3	1	0	RapportageHR	-0.9	-0.760162601626016	-0.629060426126441
IV2021082512000010	3260	Versie 3	1	0	RapportageHR	-0.00950475237618809	0.0677691892863563	0.233673086840433
IV2021082512000012	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2021082512000014	3260	Versie 3	1	0	RapportageHR	-0.9	-0.761904761904762	-0.623992837958818
IV2021082512000015	3260	Versie 3	1	0	RapportageHR	-0.599799899949975	-0.251352165844529	-0.120459094064451
IV2021082512000020	3260	Versie 3	1	0	RapportageHR	-0.5	-0.478260869565217	-0.372358410819949
IV2021082512000022	3260	Versie 3	1	0	RapportageHR	-0.5	-0.142857142857143	0.0892307692307692
IV2021082512000023	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2021082512000026	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2021082512000027	3260	Versie 3	1	0	RapportageHR	-0.9	-0.750199756087304	-0.607023036348631
IV2022082412000002	3260	Versie 3	1	1	RapportageHR	0	0.460615153788447	0.480045610034207
IV2022082412000003	3260	Versie 3	1	0	RapportageHR	-0.00950475237618809	0.0464852893061183	0.221450288618304
IV2022082412000004	3260	Versie 3	1	0	RapportageHR	-0.9	-0.750199756087304	-0.573364432792968
IV2022082412000006	3260	Versie 3	1	0	RapportageHR	-0.95	-0.866822429906542	-0.768191721132897
IV2022082412000016	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2022082412000017	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2022082412000019	3260	Versie 3	1	0	RapportageHR	-0.925	-0.816434376834884	-0.691586821170416
IV2022082412000020	3260	Versie 3	1	0	RapportageHR	-0.9	-0.769400986063124	-0.628599118391847
IV2022082412000021	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2022082412000023	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2022082412000024	3260	Versie 3	1	0	RapportageHR	-0.4	-0.153400868306802	0.0236007741745019
IV2022082412000025	3260	Versie 3	1	0	RapportageHR	-0.8	-0.576086956521739	-0.37534457635348
IV2023082312000000	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000005	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000008	3260	Versie 3	1	0	RapportageHR	0	0.195945945945946	0.260908281389136
IV2023082312000010	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000011	3260	Versie 3	1	0	RapportageHR	-0.75	-0.572015274875711	-0.433694797818771
IV2023082312000012	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000015	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000016	3260	Versie 3	1	0	RapportageHR	-0.975	-0.930248124097277	-0.869899153839629
IV2023082312000018	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000019	3260	Versie 3	1	0	RapportageHR	-0.5	-0.15613013212104	-0.0664619130258743
IV2023082312000020	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000021	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000022	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000023	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000024	3260	Versie 3	1	0	RapportageHR	-0.5	-0.334586466165414	-0.201803833145434
IV2023082312000025	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000026	3260	Versie 3	1	0	RapportageHR	-0.975	-0.930248124097277	-0.869690955209933
IV2023082312000027	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000029	3260	Versie 3	1	0	RapportageHR	-0.5	-0.295707849181883	-0.176425104393924
IV2023082312000030	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000031	3260	Versie 3	1	0	RapportageHR	-0.5	-0.178555987894509	-0.0594694327565646
IV2023082312000032	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2023082312000033	3260	Versie 3	1	0	RapportageHR	-0.6	-0.455495462462187	-0.298504316485161
IV2023082312000034	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000002	3260	Versie 3	1	1	RapportageHR	0	0.333333333333333	0.572938689217759
IV2024091612000003	3260	Versie 3	1	0	RapportageHR	-0.5	-0.169567276996272	-0.0998465332567089
IV2024091612000006	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000007	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000008	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000010	3260	Versie 3	1	0	RapportageHR	-0.5	-0.281461434370771	-0.167921202115455
IV2024091612000013	3260	Versie 3	1	0	RapportageHR	-0.5	-0.306666666666667	-0.249398556535686
IV2024091612000015	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000016	3260	Versie 3	1	0	RapportageHR	-0.99	-0.970734126984127	-0.943157018881971
IV2024091612000019	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000020	3260	Versie 3	1	1	RapportageHR	0	0.268167860798362	0.418689983605277
IV2024091612000021	3260	Versie 3	1	1	RapportageHR	0	0.349673202614379	0.418025751072961
IV2024091612000022	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000023	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000024	3260	Versie 3	1	0	RapportageHR	-0.8	-0.601398601398601	-0.463949843260188
IV2024091612000026	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2024091612000027	3260	Versie 3	1	1	RapportageHR	-0.5	-0.122182146077547	-0.0662990049154778
IV2024091612000028	3260	Versie 3	1	0	RapportageHR	-0.5	-0.147259848995452	-0.0246352923331898
IV2024091612000029	3260	Versie 3	1	0	RapportageHR	-1	-1	-1
