"";"survey";"recording_givid";"user_reference";"var_code";"var";"value";"value_description";"value_numeric";"is_below_LOQ";"is_above_LOQ";"is_numeric";"unit"
"1";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"AN_KDN_002_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"2";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"AN_KDN_002_3130a_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"3";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"AN_KDN_002_3130a_16";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"4";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"AN_KDN_002_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"5";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"AN_KDN_002_3130a_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"6";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"AN_KDN_002_3140_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"7";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"AN_KDN_002_3140_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"8";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"AN_KDN_002_3140_16";"chara";"chara";"49ss";"< 50% bestaat uit sleutelsoorten";NA;FALSE;FALSE;FALSE;"class"
"9";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"AN_KDN_002_3140_16";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"10";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"AN_KDN_002_3140_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"11";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"AN_SNE_004_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"12";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"AN_SNE_004_3130a_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"13";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"AN_SNE_004_3130a_16";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"14";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"AN_SNE_004_3130a_16";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"15";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"AN_SNE_004_3130a_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"16";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"AN_SNE_004_3160_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"17";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"AN_SNE_004_3160_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"18";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"AN_SNE_004_3160_16";"7140o";"rechtstreeks contact 7140_oli (3160)";"nee";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"19";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"AN_SNE_004_3160_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"20";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"LI_MAT_003_3150_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
