ID	Habitattype	Versie	Criterium	Indicator	Beoordeling	Belang	Kwaliteitsniveau	BeoordelingID	Status_indicator	Verschilscore
IV2017030215512887	3130_aom	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1222	1	0.25025
IV2017030215512887	3130_aom	Versie 3	Structuur	verticale structuur	< 30% helofyten (uitgezonderd sleutelsoorten)	zb	1	1230	1	0.833333333333333
IV2017030215512887	3130_aom	Versie 3	Vegetatie	sleutelsoorten	>= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig	b	1	1219	0	-0.666666666666667
IV2017030215512887	3130_aom	Versie 3	Verstoring	eutrofiëring	< 10%	zb	1	1227	1	0.9
IV2017030215512887	3130_aom	Versie 3	Verstoring	invasieve exoten	afwezig	zb	1	1223	1	1
IV2017030215512887	3130_aom	Versie 3	Verstoring	verzuring	<= 30%	zb	1	1226	1	0.983333333333333
IV2017030216035187	3140	Versie 3	Structuur	horizontale structuur	kranswiervelden > 10 m²	zb	1	1246	0	-0.45
IV2017030216035187	3140	Versie 3	Structuur	verticale structuur	< 30% helofyten	zb	1	1250	1	0.833333333333333
IV2017030216035187	3140	Versie 3	Vegetatie	sleutelsoorten	kranswiervelden voor >= 50 % bestaande uit sleutelsoorten (uitgezonderd Potamogeton coloratus)	b	1	1247	0	-1
IV2017030216035187	3140	Versie 3	Verstoring	eutrofiëring	< 10%	zb	1	1251	1	0.95
IV2017030216035187	3140	Versie 3	Verstoring	invasieve exoten	hoogstens zeldzaam	zb	1	1243	1	1
IV2017030812063258	3130_aom	Versie 3	Structuur	horizontale structuur	grootste vegetatievlek > 10 m²	zb	1	1222	0	-0.9505
IV2017030812063258	3130_aom	Versie 3	Structuur	verticale structuur	< 30% helofyten (uitgezonderd sleutelsoorten)	zb	1	1230	1	0.0666666666666665
IV2017030812063258	3130_aom	Versie 3	Vegetatie	sleutelsoorten	>= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig	b	1	1219	0	-1
IV2017030812063258	3130_aom	Versie 3	Verstoring	eutrofiëring	< 10%	zb	1	1227	0	-0.111111111111111
IV2017030812063258	3130_aom	Versie 3	Verstoring	invasieve exoten	afwezig	zb	1	1223	1	1
