ID	Habitattype	Versie	Criterium	Kwaliteitsniveau	Status_criterium	Aggregatiemethode	Index_min_criterium	Index_harm_criterium
IV2017030215512887	3130_aom	Versie 3	Structuur	1	1	RapportageHR	0.25025	0.486663243520796
IV2017030215512887	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-0.666666666666667	-0.666666666666667
IV2017030215512887	3130_aom	Versie 3	Verstoring	1	1	RapportageHR	0.9	0.960121369744257
IV2017030216035187	3140	Versie 3	Structuur	1	0	RapportageHR	-0.45	-0.153846153846154
IV2017030216035187	3140	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017030216035187	3140	Versie 3	Verstoring	1	1	RapportageHR	0.95	0.974683544303798
IV2017030812063258	3130_aom	Versie 3	Structuur	1	0	RapportageHR	-0.9505	-0.905390473346275
IV2017030812063258	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017030812063258	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.111111111111111	0.142857142857143
IV2017030812170830	3160	Versie 3	Structuur	1	0	RapportageHR	-1	-1
IV2017030812170830	3160	Versie 3	Vegetatie	1	0	RapportageHR	-0.5	-0.5
IV2017030812170830	3160	Versie 3	Verstoring	1	0	RapportageHR	-0.111111111111111	0.394495412844037
IV2017032009171774	3150	Versie 3	Structuur	1	0	RapportageHR	-0.928571428571428	-0.873563218390804
IV2017032009171774	3150	Versie 3	Vegetatie	1	0	RapportageHR	-0.5	-0.5
IV2017032009171774	3150	Versie 3	Verstoring	1	0	RapportageHR	-0.149574787393697	0.0176273215607821
IV2017032009323636	3160	Versie 3	Structuur	1	0	RapportageHR	-1	-1
IV2017032009323636	3160	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032009323636	3160	Versie 3	Verstoring	1	0	RapportageHR	-0.0333333333333333	0.468459447861536
IV2017032009392259	3160	Versie 3	Structuur	1	0	RapportageHR	-1	-1
IV2017032009392259	3160	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2017032009392259	3160	Versie 3	Verstoring	1	0	RapportageHR	-0.555555555555556	-0.0896551724137931
IV2017032009592467	3130_na	Versie 3	Structuur	1	0	RapportageHR	-0.9505	-0.903391070992925
IV2017032009592467	3130_na	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032009592467	3130_na	Versie 3	Verstoring	1	0	RapportageHR	-0.02	0.311719214753123
IV2017032010113891	3130_aom	Versie 3	Structuur	1	0	RapportageHR	-0.142857142857143	0.0170318775738472
IV2017032010113891	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-0.333333333333333	-0.333333333333333
IV2017032010113891	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.0555555555555555	0.454175152749491
IV2017032010205954	3130_na	Versie 3	Structuur	1	1	RapportageHR	0.25025	0.528684299147735
IV2017032010205954	3130_na	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032010205954	3130_na	Versie 3	Verstoring	1	0	RapportageHR	-0.142857142857143	-0.0899968243886947
IV2017032010360108	3130_aom	Versie 3	Structuur	1	0	RapportageHR	-0.9505	-0.91561900703175
IV2017032010360108	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032010360108	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.166666666666667	-0.11023895871628
IV2017032010493372	3130_aom	Versie 3	Structuur	1	0	RapportageHR	-0.285714285714286	-0.0908429836202667
IV2017032010493372	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-0.666666666666667	-0.666666666666667
IV2017032010493372	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.388888888888889	0.0702702702702704
IV2017032011215641	3160	Versie 3	Structuur	1	0	RapportageHR	-1	-1
IV2017032011215641	3160	Versie 3	Vegetatie	1	0	RapportageHR	-0.5	-0.5
IV2017032011215641	3160	Versie 3	Verstoring	1	0	RapportageHR	-0.222222222222222	0.297560975609756
IV2017032011233563	3140	Versie 3	Structuur	1	1	RapportageHR	0.25025	0.428734679884581
IV2017032011233563	3140	Versie 3	Vegetatie	1	1	RapportageHR	1	1
IV2017032011233563	3140	Versie 3	Verstoring	1	0	RapportageHR	-0.00450225112556278	0.318093426516419
IV2017032011335845	3130_aom	Versie 3	Structuur	1	0	RapportageHR	-0.142857142857143	0.0170318775738472
IV2017032011335845	3130_aom	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2017032011335845	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.166666666666667	0.0152197942351842
IV2017032011441776	3160	Versie 3	Structuur	1	1	RapportageHR	1	1
IV2017032011441776	3160	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2017032011441776	3160	Versie 3	Verstoring	1	0	RapportageHR	-0.166666666666667	0.105583316593009
IV2017032011501490	3130_aom	Versie 3	Structuur	1	1	RapportageHR	0.166666666666667	0.207013067613695
IV2017032011501490	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-0.333333333333333	-0.333333333333333
IV2017032011501490	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.833333333333333	-0.605787098486859
IV2017032809493991	3140	Versie 3	Structuur	1	0	RapportageHR	-0.885714285714286	-0.810752688172043
IV2017032809493991	3140	Versie 3	Vegetatie	1	1	RapportageHR	1	1
IV2017032809493991	3140	Versie 3	Verstoring	1	0	RapportageHR	-0.0555555555555555	-0.0525497558042328
IV2017032809570000	3130_na	Versie 3	Structuur	1	0	RapportageHR	-0.45	-0.137254901960784
IV2017032809570000	3130_na	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032809570000	3130_na	Versie 3	Verstoring	1	0	RapportageHR	-0.277777777777778	0.0199056189132296
IV2017032810082114	3130_aom	Versie 3	Structuur	1	0	RapportageHR	-0.885714285714286	-0.810752688172043
IV2017032810082114	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032810082114	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.444444444444444	-0.106300561279612
IV2017032810192681	3150	Versie 3	Structuur	1	0	RapportageHR	-0.9505	-0.91561900703175
IV2017032810192681	3150	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032810192681	3150	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.31746183905583
IV2017032810361983	3130_na	Versie 3	Structuur	1	1	RapportageHR	0.25025	0.528684299147735
IV2017032810361983	3130_na	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032810361983	3130_na	Versie 3	Verstoring	1	0	RapportageHR	-0.005	0.40285266223583
IV2017032810490646	3130_aom	Versie 3	Structuur	1	1	RapportageHR	0.25025	0.464259867966743
IV2017032810490646	3130_aom	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017032810490646	3130_aom	Versie 3	Verstoring	1	0	RapportageHR	-0.005	0.40285266223583
IV2017040309190179	3130_na	Versie 3	Structuur	1	1	RapportageHR	0.25025	0.528684299147735
IV2017040309190179	3130_na	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
