"";"ID";"Habitattype";"Versie";"Criterium";"Indicator";"Beoordeling";"Belang";"Kwaliteitsniveau";"BeoordelingID";"Status_indicator";"Verschilscore"
"1";"IV2016120512445956";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,975
"2";"IV2016120512445956";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,5
"3";"IV2016120512445956";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"4";"IV2016120512445956";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,333333333333333
"5";"IV2016120512445956";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,0100050025012506
"6";"IV2016120809224601";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;TRUE;4,5
"7";"IV2016120809224601";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,666666666666667
"8";"IV2016120809224601";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"9";"IV2016120809224601";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"10";"IV2016120809224601";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"11";"IV2016120812572168";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;TRUE;0,5
"12";"IV2016120812572168";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"13";"IV2016120812572168";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"14";"IV2016120812572168";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"15";"IV2016120812572168";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"16";"IV2016120813184428";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,9
"17";"IV2016120813184428";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"18";"IV2016120813184428";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"19";"IV2016120813184428";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,9
"20";"IV2016120813184428";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"21";"IV2016120813410051";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,975
"22";"IV2016120813410051";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"23";"IV2016120813410051";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"24";"IV2016120813410051";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"25";"IV2016120813410051";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"26";"IV2016120814151855";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,998
"27";"IV2016120814151855";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"28";"IV2016120814151855";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"29";"IV2016120814151855";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;1
"30";"IV2016120814151855";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"31";"IV2016120814452463";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,9995
"32";"IV2016120814452463";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,9
"33";"IV2016120814452463";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"34";"IV2016120814452463";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"35";"IV2016120814452463";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"36";"IV2016120916091640";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,95
"37";"IV2016120916091640";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,5
"38";"IV2016120916091640";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;TRUE;0,25
"39";"IV2016120916091640";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"40";"IV2016120916091640";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"41";"IV2016121210560857";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,95
"42";"IV2016121210560857";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,333333333333333
"43";"IV2016121210560857";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-0,5
"44";"IV2016121210560857";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"45";"IV2016121210560857";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"46";"IV2016121211363938";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;TRUE;17
"47";"IV2016121211363938";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"48";"IV2016121211363938";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;TRUE;0
"49";"IV2016121211363938";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,833333333333333
"50";"IV2016121211363938";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,0495247623811906
"51";"IV2016121212030936";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,99
"52";"IV2016121212030936";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,666666666666667
"53";"IV2016121212030936";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"54";"IV2016121212030936";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,666666666666667
"55";"IV2016121212030936";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"56";"IV2016121212144933";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,999
"57";"IV2016121212144933";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,5
"58";"IV2016121212144933";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"59";"IV2016121212144933";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"60";"IV2016121212144933";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"61";"IV2016121212251275";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,975
"62";"IV2016121212251275";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,666666666666667
"63";"IV2016121212251275";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"64";"IV2016121212251275";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;FALSE;-0,142857142857143
"65";"IV2016121212251275";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"66";"IV2017010215025058";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,95
"67";"IV2017010215025058";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,333333333333333
"68";"IV2017010215025058";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;TRUE;0
"69";"IV2017010215025058";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,833333333333333
"70";"IV2017010215025058";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"71";"IV2017010311384515";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,7
"72";"IV2017010311384515";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,5
"73";"IV2017010311384515";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;TRUE;0
"74";"IV2017010311384515";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"75";"IV2017010311384515";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"76";"IV2017010312332288";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,7
"77";"IV2017010312332288";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,5
"78";"IV2017010312332288";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;TRUE;0
"79";"IV2017010312332288";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"80";"IV2017010312332288";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"81";"IV2017010315000010";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,95
"82";"IV2017010315000010";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,833333333333333
"83";"IV2017010315000010";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-0,5
"84";"IV2017010315000010";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,933333333333333
"85";"IV2017010315000010";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"86";"IV2017010315532909";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;TRUE;0,5
"87";"IV2017010315532909";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,866666666666667
"88";"IV2017010315532909";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-0,5
"89";"IV2017010315532909";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,866666666666667
"90";"IV2017010315532909";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"91";"IV2017010316171032";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,95
"92";"IV2017010316171032";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"93";"IV2017010316171032";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"94";"IV2017010316171032";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,833333333333333
"95";"IV2017010316171032";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"96";"IV2017010509365223";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,998
"97";"IV2017010509365223";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,333333333333333
"98";"IV2017010509365223";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"99";"IV2017010509365223";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,166666666666667
"100";"IV2017010509365223";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"101";"IV2017010510562127";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,95
"102";"IV2017010510562127";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"103";"IV2017010510562127";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-1
"104";"IV2017010510562127";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;FALSE;-0,714285714285714
"105";"IV2017010510562127";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"106";"IV2017103112000002";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,7
"107";"IV2017103112000002";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,833333333333333
"108";"IV2017103112000002";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-0,5
"109";"IV2017103112000002";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,933333333333333
"110";"IV2017103112000002";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"111";"IV2017103112000004";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;TRUE;1
"112";"IV2017103112000004";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,166666666666667
"113";"IV2017103112000004";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;TRUE;0
"114";"IV2017103112000004";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"115";"IV2017103112000004";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;FALSE;-0,00950475237618809
"116";"IV2017103112000007";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,8
"117";"IV2017103112000007";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,833333333333333
"118";"IV2017103112000007";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-0,5
"119";"IV2017103112000007";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;0,966666666666667
"120";"IV2017103112000007";"3260";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1274;TRUE;1
"121";"IV2017103112000009";"3260";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1279;FALSE;-0,97
"122";"IV2017103112000009";"3260";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1278;TRUE;0,966666666666667
"123";"IV2017103112000009";"3260";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1275;FALSE;-0,5
"124";"IV2017103112000009";"3260";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1282;TRUE;1
