"";"ID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"1";"IV2017030215512887";"Agrostis canina L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"2";"IV2017030215512887";"Draadwier";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"3";"IV2017030215512887";"Glyceria fluitans (L.) R. Brown";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"4";"IV2017030215512887";"Hypericum elodes L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"5";"IV2017030215512887";"Juncus effusus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"6";"IV2017030215512887";"Molinia caerulea (L.) Moench";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"7";"IV2017030215512887";"Polygonum hydropiper L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"8";"IV2017030215512887";"Scirpus fluitans L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"9";"IV2017030215512887";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"10";"IV2017030216035187";"Draadwier";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"11";"IV2017030216035187";"Potamogeton coloratus Hornem.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"12";"IV2017030812063258";"Drepanocladus fluitans";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"13";"IV2017030812063258";"Glyceria fluitans (L.) R. Brown";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"14";"IV2017030812063258";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"15";"IV2017030812063258";"Molinia caerulea (L.) Moench";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"16";"IV2017030812063258";"Scirpus fluitans L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"17";"IV2017030812063258";"Sphagnum";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"18";"IV2017030812170830";"Glyceria fluitans (L.) R. Brown";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"19";"IV2017030812170830";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"20";"IV2017030812170830";"Molinia caerulea (L.) Moench";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"21";"IV2017030812170830";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"22";"IV2017030812170830";"Warnstorfia fluitans groep";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"23";"IV2017032009171774";"Draadwier";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"24";"IV2017032009171774";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"25";"IV2017032009171774";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"26";"IV2017032009171774";"Utricularia australis R. Brown";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"27";"IV2017032009323636";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"28";"IV2017032009323636";"Hydrocotyle vulgaris L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"29";"IV2017032009323636";"Juncus effusus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"30";"IV2017032009323636";"Molinia caerulea (L.) Moench";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"31";"IV2017032009323636";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"32";"IV2017032009323636";"Warnstorfia fluitans groep";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"33";"IV2017032009392259";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"34";"IV2017032009392259";"Glyceria fluitans (L.) R. Brown";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"35";"IV2017032009392259";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"36";"IV2017032009392259";"Juncus effusus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"37";"IV2017032009392259";"Molinia caerulea (L.) Moench";"d";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"38";"IV2017032009392259";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"39";"IV2017032009392259";"Utricularia minor L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"40";"IV2017032009592467";"Elatine hexandra (Lapierre) DC.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"41";"IV2017032009592467";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"42";"IV2017032009592467";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"43";"IV2017032009592467";"Lythrum salicaria L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"44";"IV2017032009592467";"Polygonum hydropiper L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"45";"IV2017032009592467";"Sphagnum";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"46";"IV2017032009592467";"Typha";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"47";"IV2017032010113891";"Draadwier";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"48";"IV2017032010113891";"Juncus effusus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"49";"IV2017032010113891";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"50";"IV2017032010113891";"Molinia caerulea (L.) Moench";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"51";"IV2017032010113891";"Potamogeton polygonifolius Pourr.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"52";"IV2017032010113891";"Scirpus fluitans L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"53";"IV2017032010113891";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"54";"IV2017032010205954";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"55";"IV2017032010205954";"Bidens";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"56";"IV2017032010205954";"Elatine hexandra (Lapierre) DC.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"57";"IV2017032010205954";"Eleocharis acicularis (L.) Roem. et Schult.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"58";"IV2017032010205954";"Glyceria maxima (Hartm.) Holmberg";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"59";"IV2017032010205954";"Juncus bulbosus L.";"d";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"60";"IV2017032010205954";"Juncus effusus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"61";"IV2017032010205954";"Lemna minuta Humb., Bonpl. et Kunth";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"62";"IV2017032010205954";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"63";"IV2017032010360108";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"64";"IV2017032010360108";"Bidens";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"65";"IV2017032010360108";"Draadwier";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"66";"IV2017032010360108";"Glyceria maxima (Hartm.) Holmberg";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"67";"IV2017032010360108";"Juncus bulbosus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"68";"IV2017032010360108";"Juncus effusus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"69";"IV2017032010360108";"Lemna";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"70";"IV2017032010360108";"Lemna minuta Humb., Bonpl. et Kunth";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"71";"IV2017032010360108";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"72";"IV2017032010360108";"Scirpus fluitans L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"73";"IV2017032010493372";"Agrostis stolonifera L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"74";"IV2017032010493372";"Bidens";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"75";"IV2017032010493372";"Calamagrostis canescens (Weber) Roth";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"76";"IV2017032010493372";"Draadwier";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"77";"IV2017032010493372";"Juncus bulbosus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"78";"IV2017032010493372";"Juncus effusus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"79";"IV2017032010493372";"Lythrum salicaria L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"80";"IV2017032010493372";"Potamogeton polygonifolius Pourr.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"81";"IV2017032010493372";"Scirpus fluitans L.";"d";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"82";"IV2017032010493372";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"83";"IV2017032010493372";"Typha";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"84";"IV2017032011215641";"Hydrocotyle vulgaris L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"85";"IV2017032011215641";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"86";"IV2017032011215641";"Juncus effusus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"87";"IV2017032011215641";"Molinia caerulea (L.) Moench";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"88";"IV2017032011215641";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"89";"IV2017032011233563";"Chara fragifera Durieu";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"90";"IV2017032011233563";"Chara globularis var. virgata (Kütz.) R.D. Wood";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"91";"IV2017032011233563";"Draadwier";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"92";"IV2017032011233563";"Elodea nuttallii (Planch.) St John";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"93";"IV2017032011233563";"Juncus canadensis J. Gay ex Laharpe";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"94";"IV2017032011233563";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"95";"IV2017032011335845";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"96";"IV2017032011335845";"Calamagrostis canescens (Weber) Roth";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"97";"IV2017032011335845";"Draadwier";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"98";"IV2017032011335845";"Elodea nuttallii (Planch.) St John";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"99";"IV2017032011335845";"Juncus bulbosus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"100";"IV2017032011335845";"Juncus canadensis J. Gay ex Laharpe";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"101";"IV2017032011335845";"Juncus effusus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"102";"IV2017032011335845";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"103";"IV2017032011335845";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"104";"IV2017032011335845";"Pilularia globulifera L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"105";"IV2017032011335845";"Potamogeton polygonifolius Pourr.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"106";"IV2017032011335845";"Potamogeton pusillus L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"107";"IV2017032011335845";"Scirpus fluitans L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"108";"IV2017032011335845";"Sphagnum";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"109";"IV2017032011335845";"Typha";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"110";"IV2017032011441776";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"111";"IV2017032011441776";"Elodea nuttallii (Planch.) St John";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"112";"IV2017032011441776";"Hydrocotyle vulgaris L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"113";"IV2017032011441776";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"114";"IV2017032011441776";"Juncus canadensis J. Gay ex Laharpe";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"115";"IV2017032011441776";"Juncus effusus L.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"116";"IV2017032011441776";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"117";"IV2017032011441776";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"118";"IV2017032011441776";"Phragmites australis (Cav.) Steud.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"119";"IV2017032011441776";"Rhynchospora alba (L.) Vahl";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"120";"IV2017032011441776";"Sparganium natans L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"121";"IV2017032011441776";"Sphagnum fallax (H.Klinggr.) H.Klinggr.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"122";"IV2017032011441776";"Typha";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"123";"IV2017032011441776";"Utricularia minor L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"124";"IV2017032011501490";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"125";"IV2017032011501490";"Bidens";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"126";"IV2017032011501490";"Draadwier";"d";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"127";"IV2017032011501490";"Glyceria fluitans (L.) R. Brown";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"128";"IV2017032011501490";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"129";"IV2017032011501490";"Juncus effusus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"130";"IV2017032011501490";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"131";"IV2017032011501490";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"132";"IV2017032011501490";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"133";"IV2017032011501490";"Polygonum hydropiper L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"134";"IV2017032011501490";"Potamogeton polygonifolius Pourr.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"135";"IV2017032011501490";"Ranunculus ololeucos Lloyd";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"136";"IV2017032011501490";"Scirpus fluitans L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"137";"IV2017032011501490";"Sphagnum";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"138";"IV2017032011501490";"Typha";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"139";"IV2017032809493991";"Chara globularis var. virgata (Kütz.) R.D. Wood";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"140";"IV2017032809493991";"Draadwier";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"141";"IV2017032809493991";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"142";"IV2017032809493991";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"143";"IV2017032809570000";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"144";"IV2017032809570000";"Agrostis stolonifera L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"145";"IV2017032809570000";"Calamagrostis canescens (Weber) Roth";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"146";"IV2017032809570000";"Elatine hexandra (Lapierre) DC.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"147";"IV2017032809570000";"Eleocharis acicularis (L.) Roem. et Schult.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"148";"IV2017032809570000";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"149";"IV2017032809570000";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"150";"IV2017032809570000";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"151";"IV2017032809570000";"Typha";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"152";"IV2017032810082114";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"153";"IV2017032810082114";"Agrostis stolonifera L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"154";"IV2017032810082114";"Calamagrostis canescens (Weber) Roth";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"155";"IV2017032810082114";"Draadwier";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"156";"IV2017032810082114";"Hypericum elodes L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"157";"IV2017032810082114";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"158";"IV2017032810082114";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"159";"IV2017032810082114";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"160";"IV2017032810082114";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"161";"IV2017032810082114";"Typha";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"162";"IV2017032810192681";"Hydrocharis morsus-ranae L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"163";"IV2017032810192681";"Lemna";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"164";"IV2017032810192681";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"165";"IV2017032810361983";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"166";"IV2017032810361983";"Elatine hexandra (Lapierre) DC.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"167";"IV2017032810361983";"Elatine hydropiper L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"168";"IV2017032810361983";"Eleocharis acicularis (L.) Roem. et Schult.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"169";"IV2017032810361983";"Juncus bulbosus L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"170";"IV2017032810361983";"Juncus canadensis J. Gay ex Laharpe";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"171";"IV2017032810361983";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"172";"IV2017032810361983";"Lythrum salicaria L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"173";"IV2017032810361983";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"174";"IV2017032810361983";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"175";"IV2017032810361983";"Typha";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"176";"IV2017032810490646";"Agrostis canina L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"177";"IV2017032810490646";"Bidens";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"178";"IV2017032810490646";"Draadwier";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"179";"IV2017032810490646";"Hypericum elodes L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"180";"IV2017032810490646";"Juncus bulbosus L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"181";"IV2017032810490646";"Juncus canadensis J. Gay ex Laharpe";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"182";"IV2017032810490646";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"183";"IV2017032810490646";"Lemna";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"184";"IV2017032810490646";"Lythrum salicaria L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"185";"IV2017032810490646";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"186";"IV2017032810490646";"Nitella confervacea (Bréb.) A. Braun ex Leonh.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"187";"IV2017032810490646";"Pilularia globulifera L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"188";"IV2017032810490646";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"189";"IV2017032810490646";"Typha";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"190";"IV2017040309190179";"Agrostis canina L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"191";"IV2017040309190179";"Agrostis stolonifera L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"192";"IV2017040309190179";"Bidens";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"193";"IV2017040309190179";"Calamagrostis canescens (Weber) Roth";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"194";"IV2017040309190179";"Elatine hexandra (Lapierre) DC.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"195";"IV2017040309190179";"Elatine hydropiper L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"196";"IV2017040309190179";"Juncus bulbosus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"197";"IV2017040309190179";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"198";"IV2017040309190179";"Lemna minuta Humb., Bonpl. et Kunth";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"199";"IV2017040309190179";"Lythrum salicaria L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"200";"IV2017040309190179";"Polygonum hydropiper L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"201";"IV2017040309190179";"Typha";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"202";"IV2017040309253000";"Glyceria fluitans (L.) R. Brown";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"203";"IV2017040309253000";"Juncus bulbosus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"204";"IV2017040309253000";"Juncus effusus L.";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"205";"IV2017040309253000";"Molinia caerulea (L.) Moench";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"206";"IV2017040309253000";"Rhynchospora alba (L.) Vahl";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"207";"IV2017040309253000";"Sparganium angustifolium Michaux";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"208";"IV2017040309253000";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"a";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"209";"IV2017040309413235";"Agrostis canina L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"210";"IV2017040309413235";"Calamagrostis canescens (Weber) Roth";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"211";"IV2017040309413235";"Elatine hexandra (Lapierre) DC.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"212";"IV2017040309413235";"Eleocharis acicularis (L.) Roem. et Schult.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"213";"IV2017040309413235";"Elodea nuttallii (Planch.) St John";"d";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"214";"IV2017040309413235";"Juncus effusus L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"215";"IV2017040309413235";"Molinia caerulea (L.) Moench";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"216";"IV2017040309413235";"Polygonum hydropiper L.";"r";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"217";"IV2017040309413235";"Sphagnum";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"218";"IV2017040309413235";"Typha";"o";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"219";"IV2017040309554429";"Juncus bulbosus L.";"cd";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
"220";"IV2017040309554429";"Lythrum salicaria L.";"f";NA;"soort_Latijn";"Categorie";"TANSLEY MEREN";NA
