survey	recording_givid	user_reference	var_code	var	value	value_numeric	is_below_LOQ	is_above_LOQ	is_numeric	unit
HT3260	IV2016112910214756	Renne_03_20160727	artif	artificiële structuren	buizen (drainage, overstort)	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	beh	beheer	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	Breed	breedte	1.4	1.4	0	0	1	m
HT3260	IV2016112910214756	Renne_03_20160727	Diep	diepte	0.15	0.15	0	0	1	m
HT3260	IV2016112910214756	Renne_03_20160727	profl	dominant oeverprofiel lo	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	profr	dominant oeverprofiel ro	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	orgma	grof organisch materiaal	bladeren	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	MaxGr	grootte grootste vlek	0	0	0	0	1	m²
HT3260	IV2016112910214756	Renne_03_20160727	turbi	helderheid van de waterkolom	bodemzicht	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	Lang	lengte	100	100	0	0	1	m
HT3260	IV2016112910214756	Renne_03_20160727	wijze	manier waarop de opname gemaakt is	wadend	NA	0	0	0	class
HT3260	IV2016112910214756	Renne_03_20160727	schab	schaduw boom en struik	0	0	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	schao	schaduw oevervegetatie	0	0	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	Som	som van vlekken	0	0	0	0	1	m²
HT3260	IV2016112910214756	Renne_03_20160727	sv_2	submerse vegetatie frequent	5	5	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	sv_1	submerse vegetatie schaars	95	95	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	TOT	totale bedekking	7	7	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	veui	verstoring eutrofiëringsindicatoren	5	5	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	vhel	verstoring helofyten	1	1	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	viex	verstoring invasieve exoten	0.5	0.5	0	0	1	%
HT3260	IV2016112910214756	Renne_03_20160727	peil	waterpeil	uitzonderlijk laag	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	artif	artificiële structuren	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	beh	beheer	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016112910413574	Renne_04_20160727	Breed	breedte	1.2	1.2	0	0	1	m
HT3260	IV2016112910413574	Renne_04_20160727	Diep	diepte	.1	0.1	0	0	1	m
HT3260	IV2016112910413574	Renne_04_20160727	profl	dominant oeverprofiel lo	natuurlijk: vanaf 45°	NA	0	0	0	class
