"";"ID";"Habitattype";"Versie";"Criterium";"Indicator";"Beoordeling";"Belang";"Kwaliteitsniveau";"BeoordelingID";"Status_indicator";"Verschilscore"
"1";"IV2017030215512887";"3130_aom";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1222;TRUE;0,25025
"2";"IV2017030215512887";"3130_aom";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1230;TRUE;0,833333333333333
"3";"IV2017030215512887";"3130_aom";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1219;FALSE;-0,666666666666667
"4";"IV2017030215512887";"3130_aom";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1227;TRUE;0,9
"5";"IV2017030215512887";"3130_aom";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1223;TRUE;1
"6";"IV2017030215512887";"3130_aom";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1226;TRUE;0,983333333333333
"7";"IV2017030216035187";"3140";"Versie 3";"Structuur";"horizontale structuur";"kranswiervelden > 10 m²";"zb";1;1246;FALSE;-0,45
"8";"IV2017030216035187";"3140";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten";"zb";1;1250;TRUE;0,833333333333333
"9";"IV2017030216035187";"3140";"Versie 3";"Vegetatie";"sleutelsoorten";"kranswiervelden voor >= 50 % bestaande uit sleutelsoorten (uitgezonderd Potamogeton coloratus)";"b";1;1247;FALSE;-1
"10";"IV2017030216035187";"3140";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1251;TRUE;0,95
"11";"IV2017030216035187";"3140";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1243;TRUE;1
"12";"IV2017030812063258";"3130_aom";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1222;FALSE;-0,9505
"13";"IV2017030812063258";"3130_aom";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1230;TRUE;0,0666666666666665
"14";"IV2017030812063258";"3130_aom";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1219;FALSE;-1
"15";"IV2017030812063258";"3130_aom";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1227;FALSE;-0,111111111111111
"16";"IV2017030812063258";"3130_aom";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1223;TRUE;1
"17";"IV2017030812063258";"3130_aom";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1226;TRUE;0
"18";"IV2017030812170830";"3160";"Versie 3";"Structuur";"horizontale structuur";"rechtstreeks in contact met habitattype 7140_oli";"zb";1;1267;FALSE;-1
"19";"IV2017030812170830";"3160";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minstens frequent aanwezig";"b";1;1263;FALSE;-0,5
"20";"IV2017030812170830";"3160";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1271;FALSE;-0,111111111111111
"21";"IV2017030812170830";"3160";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1266;TRUE;1
"22";"IV2017030812170830";"3160";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1270;TRUE;0,9
"23";"IV2017032009171774";"3150";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1258;FALSE;-0,45
"24";"IV2017032009171774";"3150";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1259;FALSE;-0,928571428571428
"25";"IV2017032009171774";"3150";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort (uitgezonderd Puntkroos) minstens abundant aanwezig of minstens 2 sleutelsoorten (uitgezonderd Puntkroos) frequent aanwezig";"b";1;1254;FALSE;-0,5
"26";"IV2017032009171774";"3150";"Versie 3";"Verstoring";"eutrofiëring";"<= 30%";"zb";1;1262;TRUE;0,266666666666667
"27";"IV2017032009171774";"3150";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1255;FALSE;-0,149574787393697
"28";"IV2017032009323636";"3160";"Versie 3";"Structuur";"horizontale structuur";"rechtstreeks in contact met habitattype 7140_oli";"zb";1;1267;FALSE;-1
"29";"IV2017032009323636";"3160";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minstens frequent aanwezig";"b";1;1263;FALSE;-1
"30";"IV2017032009323636";"3160";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1271;FALSE;-0,0333333333333333
"31";"IV2017032009323636";"3160";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1266;TRUE;1
"32";"IV2017032009323636";"3160";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1270;TRUE;0,966666666666667
"33";"IV2017032009392259";"3160";"Versie 3";"Structuur";"horizontale structuur";"rechtstreeks in contact met habitattype 7140_oli";"zb";1;1267;FALSE;-1
"34";"IV2017032009392259";"3160";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minstens frequent aanwezig";"b";1;1263;TRUE;0
"35";"IV2017032009392259";"3160";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1271;FALSE;-0,555555555555556
"36";"IV2017032009392259";"3160";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1266;TRUE;1
"37";"IV2017032009392259";"3160";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1270;TRUE;0,833333333333333
"38";"IV2017032009592467";"3130_na";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1234;FALSE;-0,9505
"39";"IV2017032009592467";"3130_na";"Versie 3";"Structuur";"verticale structuur";"< 30 % van de vegetatievlek  begroeid met opgaande vegetatie";"zb";1;1235;TRUE;1
"40";"IV2017032009592467";"3130_na";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort (uitgezonderd Borstelbies, Glaskroos en Naaldwaterbies) is minstens frequent aanwezig";"b";1;1231;FALSE;-1
"41";"IV2017032009592467";"3130_na";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1242;TRUE;0,5
"42";"IV2017032009592467";"3130_na";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1238;FALSE;-0,02
"43";"IV2017032009592467";"3130_na";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1239;TRUE;0,666666666666667
"44";"IV2017032010113891";"3130_aom";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1222;TRUE;0,25025
"45";"IV2017032010113891";"3130_aom";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1230;FALSE;-0,142857142857143
"46";"IV2017032010113891";"3130_aom";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1219;FALSE;-0,333333333333333
"47";"IV2017032010113891";"3130_aom";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1227;FALSE;-0,0555555555555555
"48";"IV2017032010113891";"3130_aom";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1223;TRUE;1
"49";"IV2017032010113891";"3130_aom";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1226;TRUE;0,983333333333333
"50";"IV2017032010205954";"3130_na";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1234;TRUE;0,25025
"51";"IV2017032010205954";"3130_na";"Versie 3";"Structuur";"verticale structuur";"< 30 % van de vegetatievlek  begroeid met opgaande vegetatie";"zb";1;1235;TRUE;0,966666666666667
"52";"IV2017032010205954";"3130_na";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort (uitgezonderd Borstelbies, Glaskroos en Naaldwaterbies) is minstens frequent aanwezig";"b";1;1231;FALSE;-1
"53";"IV2017032010205954";"3130_na";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1242;FALSE;-0,111111111111111
"54";"IV2017032010205954";"3130_na";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1238;FALSE;-0,005
"55";"IV2017032010205954";"3130_na";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1239;FALSE;-0,142857142857143
"56";"IV2017032010360108";"3130_aom";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1222;FALSE;-0,9505
"57";"IV2017032010360108";"3130_aom";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1230;FALSE;-0,714285714285714
"58";"IV2017032010360108";"3130_aom";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1219;FALSE;-1
"59";"IV2017032010360108";"3130_aom";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1227;FALSE;-0,166666666666667
"60";"IV2017032010360108";"3130_aom";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1223;FALSE;-0,005
"61";"IV2017032010360108";"3130_aom";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1226;FALSE;-0,142857142857143
"62";"IV2017032010493372";"3130_aom";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1222;TRUE;0,25025
"63";"IV2017032010493372";"3130_aom";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1230;FALSE;-0,285714285714286
"64";"IV2017032010493372";"3130_aom";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1219;FALSE;-0,666666666666667
"65";"IV2017032010493372";"3130_aom";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1227;FALSE;-0,388888888888889
"66";"IV2017032010493372";"3130_aom";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1223;TRUE;1
"67";"IV2017032010493372";"3130_aom";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1226;TRUE;0,5
"68";"IV2017032011215641";"3160";"Versie 3";"Structuur";"horizontale structuur";"rechtstreeks in contact met habitattype 7140_oli";"zb";1;1267;FALSE;-1
"69";"IV2017032011215641";"3160";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minstens frequent aanwezig";"b";1;1263;FALSE;-0,5
"70";"IV2017032011215641";"3160";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1271;FALSE;-0,222222222222222
"71";"IV2017032011215641";"3160";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1266;TRUE;1
"72";"IV2017032011215641";"3160";"Versie 3";"Verstoring";"verzuring";"<= 30%";"zb";1;1270;TRUE;0,9
"73";"IV2017032011233563";"3140";"Versie 3";"Structuur";"horizontale structuur";"kranswiervelden > 10 m²";"zb";1;1246;TRUE;0,25025
"74";"IV2017032011233563";"3140";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten";"zb";1;1250;TRUE;0,666666666666667
"75";"IV2017032011233563";"3140";"Versie 3";"Vegetatie";"sleutelsoorten";"kranswiervelden voor >= 50 % bestaande uit sleutelsoorten (uitgezonderd Potamogeton coloratus)";"b";1;1247;TRUE;1
"76";"IV2017032011233563";"3140";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1251;TRUE;0,95
"77";"IV2017032011233563";"3140";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";"zb";1;1243;FALSE;-0,00450225112556278
"78";"IV2017032011335845";"3130_aom";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"zb";1;1222;TRUE;0,25025
