"";"ID";"survey";"user_reference";"location";"date";"latitude";"longitude";"Habitattype";"reliability";"Versie";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"EenheidRefwaarde";"TypeRefwaarde";"InvoertypeRevwaarde";"Waarde";"TypeWaarde";"InvoertypeWaarde";"EenheidWaarde";"AfkomstWaarde";"TheoretischMaximum";"Status_voorwaarde";"Verschilscore"
"1";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";1;"zb";1222;"2321";2321;"grootste vegetatievlek in m²";"10";">";"m²";"Decimaal getal";NA;"10.01-20";"Decimaal getal";NA;NA;"observatie";30;TRUE;0,25025
"2";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";1;"zb";1230;"892";892;"bedekking helofyten";"30";"<";"%";"Percentage";NA;"5";"Percentage";NA;"%";"observatie";100;TRUE;0,833333333333333
"3";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";1;"b";1219;"453";453;"aantal sleutelsoorten excl. moerashertshooi";"3";">=";NA;"Geheel getal";NA;"1";"Geheel getal";NA;NA;"berekend";9;FALSE;-0,666666666666667
"4";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";1;"zb";1227;"841";841;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"1";"Percentage";NA;"%";"observatie";100;TRUE;0,9
"5";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";1;"zb";1223;"1018";1018;"bedekking invasieve exoten";"0";"<=";"%";"Percentage";NA;"0";"Percentage";NA;"%";"observatie";100;TRUE;1
"6";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";"Versie 3";"Verstoring";"verzuring";"<= 30%";1;"zb";1226;"2040";2040;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"0.5";"Percentage";NA;"%";"observatie";100;TRUE;0,983333333333333
"7";"IV2017030216035187";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3140_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3140";"hoog";"Versie 3";"Structuur";"horizontale structuur";"kranswiervelden > 10 m²";1;"zb";1246;"2333";2333;"grootste vegetatievlek in m²";"10";">";"m²";"Decimaal getal";NA;"1-10";"Decimaal getal";NA;NA;"observatie";30;FALSE;-0,45
"8";"IV2017030216035187";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3140_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3140";"hoog";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten";1;"zb";1250;"891";891;"bedekking helofyten";"30";"<";"%";"Percentage";NA;"5";"Percentage";NA;"%";"observatie";100;TRUE;0,833333333333333
"9";"IV2017030216035187";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3140_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3140";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";"kranswiervelden voor >= 50 % bestaande uit sleutelsoorten (uitgezonderd Potamogeton coloratus)";1;"b";1247;"2356";2356;"kranswiervelden voor > = 50 % sleutelsoorten";"1";"=";NA;"Ja/nee";NA;"0";"Ja/nee";NA;NA;"observatie";1;FALSE;-1
"10";"IV2017030216035187";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3140_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3140";"hoog";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";1;"zb";1251;"849";849;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"0.5";"Percentage";NA;"%";"observatie";100;TRUE;0,95
"11";"IV2017030216035187";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3140_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3140";"hoog";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";1;"zb";1243;"1008";1008;"bedekking invasieve exoten";"r";"<=";NA;"Categorie";"TANSLEY (LEYSSEN)";"0";"Percentage";NA;"%";"observatie";100;TRUE;1
"12";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";1;"zb";1222;"2321";2321;"grootste vegetatievlek in m²";"10";">";"m²";"Decimaal getal";NA;"0-0.99";"Decimaal getal";NA;NA;"observatie";30;FALSE;-0,9505
"13";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";"Versie 3";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";1;"zb";1230;"892";892;"bedekking helofyten";"30";"<";"%";"Percentage";NA;"28";"Percentage";NA;"%";"observatie";100;TRUE;0,0666666666666665
"14";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";1;"b";1219;"453";453;"aantal sleutelsoorten excl. moerashertshooi";"3";">=";NA;"Geheel getal";NA;"0";"Geheel getal";NA;NA;"berekend";9;FALSE;-1
"15";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";1;"zb";1227;"841";841;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"20";"Percentage";NA;"%";"observatie";100;FALSE;-0,111111111111111
"16";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";1;"zb";1223;"1018";1018;"bedekking invasieve exoten";"0";"<=";"%";"Percentage";NA;"0";"Percentage";NA;"%";"observatie";100;TRUE;1
"17";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";"Versie 3";"Verstoring";"verzuring";"<= 30%";1;"zb";1226;"2040";2040;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"30";"Percentage";NA;"%";"observatie";100;TRUE;0
"18";"IV2017030812170830";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3160_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3160";"hoog";"Versie 3";"Structuur";"horizontale structuur";"rechtstreeks in contact met habitattype 7140_oli";1;"zb";1267;"2139";2139;"contact met 7110 of 7140_oli";"1";"=";NA;"Ja/nee";NA;"0";"Ja/nee";NA;NA;"observatie";1;FALSE;-1
"19";"IV2017030812170830";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3160_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3160";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minstens frequent aanwezig";1;"b";1263;"459";459;"aantal sleutelsoorten frequent";"2";">=";NA;"Geheel getal";NA;"1";"Geheel getal";NA;NA;"berekend";6;FALSE;-0,5
"20";"IV2017030812170830";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3160_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3160";"hoog";"Versie 3";"Verstoring";"eutrofiëring";"< 10%";1;"zb";1271;"851";851;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"20";"Percentage";NA;"%";"observatie";100;FALSE;-0,111111111111111
"21";"IV2017030812170830";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3160_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3160";"hoog";"Versie 3";"Verstoring";"invasieve exoten";"afwezig";1;"zb";1266;"972";972;"bedekking invasieve exoten";"0";"<=";"%";"Percentage";NA;"0";"Percentage";NA;"%";"observatie";100;TRUE;1
