recording_givid	survey	type_observed	classif_key	type_cover
IV2016112910214756	HT3260	-9	Habitatsleutel v5	NA
IV2016112910413574	HT3260	-9	Habitatsleutel v5	NA
IV2016120512144485	HT3260	0	Habitatsleutel v5	NA
IV2016120512445956	HT3260	3260	Habitatsleutel v5	NA
IV2016120514075835	HT3260	-9	Habitatsleutel v5	NA
IV2016120514101427	HT3260	-9	Habitatsleutel v5	NA
IV2016120514573877	HT3260	0	Habitatsleutel v5	NA
IV2016120808312250	HT3260	3260	Habitatsleutel v5	NA
IV2016120809224601	HT3260	3260	Habitatsleutel v5	NA
IV2016120810153277	HT3260	-9	Habitatsleutel v5	NA
IV2016120810542004	HT3260	-9	Habitatsleutel v5	NA
IV2016120811021713	HT3260	-9	Habitatsleutel v5	NA
IV2016120811543925	HT3260	-9	Habitatsleutel v5	NA
IV2016120812572168	HT3260	3260	Habitatsleutel v5	NA
IV2016120813184428	HT3260	3260	Habitatsleutel v5	NA
IV2016120813410051	HT3260	3260	Habitatsleutel v5	NA
IV2016120814040865	HT3260	-9	Habitatsleutel v5	NA
IV2016120814151855	HT3260	3260	Habitatsleutel v5	NA
IV2016120814452463	HT3260	3260	Habitatsleutel v5	NA
IV2016120914433191	HT3260	0	Habitatsleutel v5	NA
IV2016120914450912	HT3260	-9	Habitatsleutel v5	NA
IV2016120915405472	HT3260	-9	Habitatsleutel v5	NA
IV2016120915535509	HT3260	3260	Habitatsleutel v5	NA
IV2016120916091640	HT3260	3260	Habitatsleutel v5	NA
IV2016121210191115	HT3260	3260	Habitatsleutel v5	NA
IV2016121210223029	HT3260	0	Habitatsleutel v5	NA
IV2016121210560857	HT3260	3260	Habitatsleutel v5	NA
IV2016121211051467	HT3260	-9	Habitatsleutel v5	NA
IV2016121211363938	HT3260	3260	Habitatsleutel v5	NA
IV2016121211520788	HT3260	3260	Habitatsleutel v5	NA
IV2016121212030936	HT3260	3260	Habitatsleutel v5	NA
IV2016121212144933	HT3260	3260	Habitatsleutel v5	NA
IV2016121212251275	HT3260	3260	Habitatsleutel v5	NA
IV2016121212400945	HT3260	-9	Habitatsleutel v5	NA
IV2017010215025058	HT3260	3260	Habitatsleutel v5	NA
IV2017010311384515	HT3260	3260	Habitatsleutel v5	NA
IV2017010312332288	HT3260	3260	Habitatsleutel v5	NA
IV2017010313053890	HT3260	-9	Habitatsleutel v5	NA
IV2017010313264772	HT3260	-9	Habitatsleutel v5	NA
IV2017010313371312	HT3260	3260	Habitatsleutel v5	NA
IV2017010313400487	HT3260	3260	Habitatsleutel v5	NA
IV2017010314490441	HT3260	-9	Habitatsleutel v5	NA
IV2017010315000010	HT3260	3260	Habitatsleutel v5	NA
IV2017010315532909	HT3260	3260	Habitatsleutel v5	NA
IV2017010316171032	HT3260	3260	Habitatsleutel v5	NA
IV2017010508493093	HT3260	-9	Habitatsleutel v5	NA
IV2017010509365223	HT3260	3260	Habitatsleutel v5	NA
IV2017010510322864	HT3260	-9	Habitatsleutel v5	NA
IV2017010510542710	HT3260	3260	Habitatsleutel v5	NA
IV2017010510562127	HT3260	3260	Habitatsleutel v5	NA
IV2017020313494548	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020313592544	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020314162747	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020314263108	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020316134529	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020316462411	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020316532169	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017020609094244	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017020609094244	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020609234517	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020609393797	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020715281004	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020715581382	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020716073085	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020716193586	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020716295160	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020716462396	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020716545405	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020816025208	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020908453727	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020909071396	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020909232253	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020909550375	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020910211737	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020910363726	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017020911085146	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017020911085146	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020912103350	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017020912103350	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020912222912	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020913250230	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020913581880	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017020914472390	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022009261658	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022009261658	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022009261658	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022009332643	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022009332643	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022010084348	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022010084348	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022010274310	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022010274310	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022010494455	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022011112405	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022011112405	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022011212848	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017022011400382	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022015520287	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022015520287	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022016003952	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
