survey	recording_givid	user_reference	var_code	var	value	value_numeric	is_below_LOQ	is_above_LOQ	is_numeric	unit	value_description
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Helo	bedekking helofyten	5	5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	boom	boom	2xho	NA	0	0	0	class	< 2x hoogte van bomen
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Seccd	diepte van secchibepaling	1,20	1.2	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Eutro	eutrofiëring	1	1	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	helde	helderheid	trsub	NA	0	0	0	class	Troebel door substraat
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	horst	horizontalestructuur	g10m²	NA	0	0	0	class	>= 10m²
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Schom	schommeling winter/zomer	0,60	0.6	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Secch	secchi-diepte	0,70	0.7	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Vgras	vergrassing	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	Vzuur	verzuring	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	Helo	bedekking helofyten	5	5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	chara	chara	49ss	NA	0	0	0	class	< 50% bestaat uit sleutelsoorten
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	Seccd	diepte van secchibepaling	1,20	1.2	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	Eutro	eutrofiëring	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	helde	helderheid	trsub	NA	0	0	0	class	Troebel door substraat
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	horst	horizontalestructuur	10m2	NA	0	0	0	class	> 1m& - < 10m²
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	Schom	schommeling winter/zomer	0,60	0.6	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	Secch	secchi-diepte	0,70	0.7	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Helo	bedekking helofyten	28	28	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	boom	boom	2xho	NA	0	0	0	class	< 2x hoogte van bomen
