"";"ID";"Habitattype";"Versie";"Kwaliteitsniveau";"Status";"Aggregatiemethode";"Index_min_min";"Index_min_harm";"Index_harm_harm"
"1";"IV2016120512445956";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"2";"IV2016120809224601";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"3";"IV2016120812572168";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"4";"IV2016120813184428";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"5";"IV2016120813410051";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"6";"IV2016120814151855";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"7";"IV2016120814452463";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"8";"IV2016120916091640";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,859210944957047;-0,742214238900891
"9";"IV2016121210560857";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,866716867469879;-0,767066951801283
"10";"IV2016121211363938";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,0495247623811906;0,171609630679938;0,441756656920121
"11";"IV2016121212030936";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"12";"IV2016121212144933";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"13";"IV2016121212251275";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"14";"IV2017010215025058";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,860759493670886;-0,747851002865329
"15";"IV2017010311384515";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,7;-0,380396732788798;-0,143893591293833
"16";"IV2017010312332288";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,7;-0,380396732788798;-0,143893591293833
"17";"IV2017010315000010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,869619614126737;-0,769870634058104
"18";"IV2017010315532909";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,183953839813161;-0,110806967270083
"19";"IV2017010316171032";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"20";"IV2017010509365223";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"21";"IV2017010510562127";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"22";"IV2017103112000002";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,7;-0,527032407038777;-0,362083874157287
"23";"IV2017103112000004";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,00950475237618809;0,0464852893061183;0,230715358757977
"24";"IV2017103112000007";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,8;-0,600451467268623;-0,431491349733557
"25";"IV2017103112000009";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,97;-0,916279069767442;-0,845527272727273
"26";"IV2017103112000011";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,3;-0,12744213375863;0,0981200773373827
"27";"IV2017103112000020";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"28";"IV2017103112000021";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"29";"IV2017103112000022";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"30";"IV2017103112000024";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"31";"IV2017103112000025";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"32";"IV2017103112000027";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"33";"IV2017103112000028";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,866716867469879;-0,764862172035868
"34";"IV2017103112000029";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,299559471365639;0,389870435806831
"35";"IV2017103112000030";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"36";"IV2017103112000033";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"37";"IV2017103112000034";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,8;-0,625930402697373;-0,48034913170582
"38";"IV2017103112000035";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"39";"IV2017103112000036";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"40";"IV2017103112000037";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"41";"IV2017103112000038";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,322471366349411;-0,245678959830987
"42";"IV2017103112000039";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"43";"IV2017103112000040";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,221205082661566;-0,132296093996246
"44";"IV2018120312000001";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"45";"IV2018120312000007";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"46";"IV2018120312000008";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"47";"IV2018120312000011";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"48";"IV2018120312000019";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,03125;0,22011593294689
"49";"IV2018120312000021";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,147259848995452;-0,124267067808956
"50";"IV2018120312000023";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"51";"IV2018120312000024";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"52";"IV2018120312000029";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,249874979163194;-0,200831977557074
"53";"IV2018120312000030";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"54";"IV2018120312000031";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,253712400050768;-0,15180284570532
"55";"IV2018120312000032";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,349674837418709;-0,0514410798978474;0,0124311918486311
"56";"IV2019091112000002";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,6;-0,401015228426396;-0,273473576192919
"57";"IV2019091112000009";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,328330206378987;0,442836763806807
"58";"IV2019091112000011";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"59";"IV2019091112000019";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,4;-0,121951219512195;0,0984743411927878
"60";"IV2019091112000021";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,2;0,0875576036866359;0,218239174075136
"61";"IV2019091112000023";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,4;-0,183953839813161;-0,00693162711987227
"62";"IV2019091112000027";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,142857142857143;0,117773019271949;0,361739130434783
"63";"IV2019091112000039";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"64";"IV2019091112000040";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"65";"IV2019091112000041";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"66";"IV2019091112000042";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,34;-0,205711371749108
"67";"IV2019091112000043";"3260";"Versie 3";1;TRUE;"RapportageHR";-0,5;-0,0176589303733602;0,0191494002181025
"68";"IV2019091112000044";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"69";"IV2019091112000046";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"70";"IV2020092312000000";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,869619614126737;-0,772513688871608
"71";"IV2020092312000002";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"72";"IV2020092312000003";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,2;0,0875576036866359;0,248977628097185
"73";"IV2020092312000004";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"74";"IV2020092312000009";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,05;0,194312796208531
"75";"IV2020092312000013";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"76";"IV2020092312000014";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,85;-0,673029556650246;-0,52123651585896
"77";"IV2020092312000015";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"78";"IV2020092312000016";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,571428571428571;-0,409836065573771;-0,187358916478555
"79";"IV2020092312000017";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,6;-0,25;-0,1
"80";"IV2020092312000019";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,869619614126737;-0,769466136433079
"81";"IV2020092312000020";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,268167860798362;0,286003425190721
"82";"IV2020092312000021";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,00950475237618809;0,0871156661786237;0,253679615209446
"83";"IV2020092312000025";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"84";"IV2020092312000026";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,870555090230716;-0,77140813042025
"85";"IV2020092312000028";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"86";"IV2020092312000029";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,6;-0,455495462462187;-0,366796966530668
"87";"IV2020092312000030";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,299559471365639;0,316229782487451
"88";"IV2020092312000031";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"89";"IV2020092312000032";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,975;-0,930968360498562;-0,872376767844961
"90";"IV2020092312000033";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"91";"IV2020092312000034";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"92";"IV2020092312000036";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"93";"IV2020092312000037";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,7;-0,487229862475442;-0,32408764098545
"94";"IV2020092312000038";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,975;-0,930357142857143;-0,869911303161246
"95";"IV2020092312000039";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,9;-0,769400986063124;-0,627340882712758
"96";"IV2021082512000000";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,195945945945946;0,328330206378987
"97";"IV2021082512000001";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"98";"IV2021082512000003";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"99";"IV2021082512000004";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,238007380073801;-0,210911792803312
"100";"IV2021082512000005";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,9;-0,760162601626016;-0,629060426126441
"101";"IV2021082512000010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,00950475237618809;0,0677691892863563;0,233673086840433
"102";"IV2021082512000012";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"103";"IV2021082512000014";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,9;-0,761904761904762;-0,623992837958818
"104";"IV2021082512000015";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,599799899949975;-0,251352165844529;-0,120459094064451
"105";"IV2021082512000020";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,478260869565217;-0,372358410819949
"106";"IV2021082512000022";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,142857142857143;0,0892307692307692
"107";"IV2021082512000023";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"108";"IV2021082512000026";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"109";"IV2021082512000027";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,9;-0,750199756087304;-0,607023036348631
"110";"IV2022082412000002";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,460615153788447;0,480045610034207
"111";"IV2022082412000003";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,00950475237618809;0,0464852893061183;0,221450288618304
"112";"IV2022082412000004";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,9;-0,750199756087304;-0,573364432792968
"113";"IV2022082412000006";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,95;-0,866822429906542;-0,768191721132897
"114";"IV2022082412000016";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"115";"IV2022082412000017";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"116";"IV2022082412000019";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,925;-0,816434376834884;-0,691586821170416
"117";"IV2022082412000020";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,9;-0,769400986063124;-0,628599118391847
"118";"IV2022082412000021";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"119";"IV2022082412000023";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"120";"IV2022082412000024";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,4;-0,153400868306802;0,0236007741745019
"121";"IV2022082412000025";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,8;-0,576086956521739;-0,37534457635348
"122";"IV2023082312000000";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"123";"IV2023082312000005";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"124";"IV2023082312000008";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,195945945945946;0,260908281389136
"125";"IV2023082312000010";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"126";"IV2023082312000011";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,75;-0,572015274875711;-0,433694797818771
"127";"IV2023082312000012";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"128";"IV2023082312000015";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"129";"IV2023082312000016";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,975;-0,930248124097277;-0,869899153839629
"130";"IV2023082312000018";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"131";"IV2023082312000019";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,15613013212104;-0,0664619130258743
"132";"IV2023082312000020";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"133";"IV2023082312000021";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"134";"IV2023082312000022";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"135";"IV2023082312000023";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"136";"IV2023082312000024";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,334586466165414;-0,201803833145434
"137";"IV2023082312000025";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"138";"IV2023082312000026";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,975;-0,930248124097277;-0,869690955209933
"139";"IV2023082312000027";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"140";"IV2023082312000029";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,295707849181883;-0,176425104393924
"141";"IV2023082312000030";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"142";"IV2023082312000031";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,178555987894509;-0,0594694327565646
"143";"IV2023082312000032";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"144";"IV2023082312000033";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,6;-0,455495462462187;-0,298504316485161
"145";"IV2023082312000034";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"146";"IV2024091612000002";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,333333333333333;0,572938689217759
"147";"IV2024091612000003";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,169567276996272;-0,0998465332567089
"148";"IV2024091612000006";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"149";"IV2024091612000007";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"150";"IV2024091612000008";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"151";"IV2024091612000010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,281461434370771;-0,167921202115455
"152";"IV2024091612000013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,306666666666667;-0,249398556535686
"153";"IV2024091612000015";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"154";"IV2024091612000016";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,99;-0,970734126984127;-0,943157018881971
"155";"IV2024091612000019";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"156";"IV2024091612000020";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,268167860798362;0,418689983605277
"157";"IV2024091612000021";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,349673202614379;0,418025751072961
"158";"IV2024091612000022";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"159";"IV2024091612000023";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"160";"IV2024091612000024";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,8;-0,601398601398601;-0,463949843260188
"161";"IV2024091612000026";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"162";"IV2024091612000027";"3260";"Versie 3";1;TRUE;"RapportageHR";-0,5;-0,122182146077547;-0,0662990049154778
"163";"IV2024091612000028";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,147259848995452;-0,0246352923331898
"164";"IV2024091612000029";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
