"";"ID";"Habitattype";"Versie";"Criterium";"Kwaliteitsniveau";"Status_criterium";"Aggregatiemethode";"Index_min_criterium";"Index_harm_criterium"
"1";"IV2017030215512887";"3130_aom";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,25025;0,486663243520796
"2";"IV2017030215512887";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"3";"IV2017030215512887";"3130_aom";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0,9;0,960121369744257
"4";"IV2017030216035187";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,45;-0,153846153846154
"5";"IV2017030216035187";"3140";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"6";"IV2017030216035187";"3140";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0,95;0,974683544303798
"7";"IV2017030812063258";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,9505;-0,905390473346275
"8";"IV2017030812063258";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"9";"IV2017030812063258";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,111111111111111;0,142857142857143
"10";"IV2017030812170830";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-1;-1
"11";"IV2017030812170830";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"12";"IV2017030812170830";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,111111111111111;0,394495412844037
"13";"IV2017032009171774";"3150";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,928571428571428;-0,873563218390804
"14";"IV2017032009171774";"3150";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"15";"IV2017032009171774";"3150";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,149574787393697;0,0176273215607821
"16";"IV2017032009323636";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-1;-1
"17";"IV2017032009323636";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"18";"IV2017032009323636";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0333333333333333;0,468459447861536
"19";"IV2017032009392259";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-1;-1
"20";"IV2017032009392259";"3160";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0;0
"21";"IV2017032009392259";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,555555555555556;-0,0896551724137931
"22";"IV2017032009592467";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,9505;-0,903391070992925
"23";"IV2017032009592467";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"24";"IV2017032009592467";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,02;0,311719214753123
"25";"IV2017032010113891";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;0,0170318775738472
"26";"IV2017032010113891";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,333333333333333;-0,333333333333333
"27";"IV2017032010113891";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0555555555555555;0,454175152749491
"28";"IV2017032010205954";"3130_na";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,25025;0,528684299147735
"29";"IV2017032010205954";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"30";"IV2017032010205954";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,142857142857143;-0,0899968243886947
"31";"IV2017032010360108";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,9505;-0,91561900703175
"32";"IV2017032010360108";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"33";"IV2017032010360108";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,166666666666667;-0,11023895871628
"34";"IV2017032010493372";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,285714285714286;-0,0908429836202667
"35";"IV2017032010493372";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"36";"IV2017032010493372";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,388888888888889;0,0702702702702704
"37";"IV2017032011215641";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-1;-1
"38";"IV2017032011215641";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"39";"IV2017032011215641";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,222222222222222;0,297560975609756
"40";"IV2017032011233563";"3140";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,25025;0,428734679884581
"41";"IV2017032011233563";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";1;1
