"";"recording_givid";"survey";"user_reference";"location";"date";"latitude";"longitude";"type_observed";"reliability";"suitable_mhq";"measured"
"1";"IV2017030215512887";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3130a_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3130_aom";"hoog";TRUE;TRUE
"2";"IV2017030216035187";"HT31xx_LSVI_StilstaandeWateren";"AN_KDN_002_3140_16";"AN_KDN_002";"2016-10-14";51,24425035;4,79130122;"3140";"hoog";TRUE;TRUE
"3";"IV2017030812063258";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3130a_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3130_aom";"hoog";TRUE;TRUE
"4";"IV2017030812170830";"HT31xx_LSVI_StilstaandeWateren";"AN_SNE_004_3160_16";"AN_SNE_004";"2016-10-18";51,19869718;4,88019249;"3160";"hoog";TRUE;TRUE
"5";"IV2017032009171774";"HT31xx_LSVI_StilstaandeWateren";"LI_MAT_003_3150_16";"LI_MAT_003";"2016-08-31";50,9504739;5,45363597;"3150";"hoog";TRUE;TRUE
"6";"IV2017032009323636";"HT31xx_LSVI_StilstaandeWateren";"AN_KAL_007_3160_16";"AN_KAL_007";"2016-11-04";51,41378327;4,41973119;"3160";"hoog";TRUE;TRUE
"7";"IV2017032009392259";"HT31xx_LSVI_StilstaandeWateren";"LI_OPH_005_3160_16";"LI_OPH_005";"2016-11-03";51,04917689;5,53603228;"3160";"hoog";TRUE;TRUE
"8";"IV2017032009542119";"HT31xx_LSVI_StilstaandeWateren";"AN_KAL_004_3130a_16";"AN_KAL_004";"2016-11-04";51,39208599;4,44349329;"3130_aom";"matig";FALSE;TRUE
"9";"IV2017032009592467";"HT31xx_LSVI_StilstaandeWateren";"LI_MAT_001_3130n_16";"LI_MAT_001";"2016-07-28";50,95983871;5,46715001;"3130_na";"hoog";TRUE;TRUE
"10";"IV2017032010113891";"HT31xx_LSVI_StilstaandeWateren";"AN_TUR_001_3130a_16";"AN_TUR_001";"2016-10-20";51,36250429;4,96921856;"3130_aom";"hoog";TRUE;TRUE
"11";"IV2017032010205954";"HT31xx_LSVI_StilstaandeWateren";"AN_BEE_001_3130n_16";"AN_BEE_001";"2016-10-20";51,3271709;4,8179569;"3130_na";"hoog";TRUE;TRUE
"12";"IV2017032010360108";"HT31xx_LSVI_StilstaandeWateren";"AN_BEE_001_3130a_16";"AN_BEE_001";"2016-10-20";51,3271709;4,8179569;"3130_aom";"hoog";TRUE;TRUE
"13";"IV2017032010493372";"HT31xx_LSVI_StilstaandeWateren";"AN_LIL_001_3130a_16";"AN_LIL_001";"2016-10-13";51,27227892;4,82291154;"3130_aom";"hoog";TRUE;TRUE
"14";"IV2017032011215641";"HT31xx_LSVI_StilstaandeWateren";"AN_VVM_002_3160_16";"AN_VVM_002";"2016-10-21";51,41403072;4,83746028;"3160";"hoog";TRUE;TRUE
"15";"IV2017032011233563";"HT31xx_LSVI_StilstaandeWateren";"AN_MOL_003_3140_16";"AN_MOL_003";"2016-10-13";51,23364977;5,19549426;"3140";"hoog";TRUE;TRUE
"16";"IV2017032011335845";"HT31xx_LSVI_StilstaandeWateren";"AN_MOL_003_3130a_16";"AN_MOL_003";"2016-10-13";51,23364977;5,19549426;"3130_aom";"hoog";TRUE;TRUE
"17";"IV2017032011441776";"HT31xx_LSVI_StilstaandeWateren";"AN_MOL_003_3160_16";"AN_MOL_003";"2016-10-13";51,23364977;5,19549426;"3160";"hoog";TRUE;TRUE
"18";"IV2017032011501490";"HT31xx_LSVI_StilstaandeWateren";"AN_TVG_004_3130a_16";"AN_TVG_004";"2016-10-20";51,36987386;4,93587851;"3130_aom";"hoog";TRUE;TRUE
"19";"IV2017032809493991";"HT31xx_LSVI_StilstaandeWateren";"LI_MAT_002_3140_16";"LI_MAT_002";"2016-08-31";50,95334761;5,45424854;"3140";"hoog";TRUE;TRUE
"20";"IV2017032809570000";"HT31xx_LSVI_StilstaandeWateren";"LI_MAT_002_3130n_16";"LI_MAT_002";"2016-08-31";50,95334761;5,45424854;"3130_na";"hoog";TRUE;TRUE
"21";"IV2017032810082114";"HT31xx_LSVI_StilstaandeWateren";"LI_MAT_002_3130a_16";"LI_MAT_002";"2016-08-31";50,95334761;5,45424854;"3130_aom";"hoog";TRUE;TRUE
"22";"IV2017032810192681";"HT31xx_LSVI_StilstaandeWateren";"LI_LAN_008_3150_16";"LI_LAN_008";"2016-09-22";50,9413975;5,41165044;"3150";"hoog";TRUE;TRUE
"23";"IV2017032810361983";"HT31xx_LSVI_StilstaandeWateren";"AN_RPT_002_3130n_16";"AN_RPT_002";"2016-09-09";51,28686365;5,15520577;"3130_na";"hoog";TRUE;TRUE
"24";"IV2017032810490646";"HT31xx_LSVI_StilstaandeWateren";"AN_RPT_002_3130a_16";"AN_RPT_002";"2016-09-09";51,28686365;5,15520577;"3130_aom";"hoog";TRUE;TRUE
"25";"IV2017040309190179";"HT31xx_LSVI_StilstaandeWateren";"LI_MAT_009_3130n_16";"LI_MAT_009";"2016-09-14";50,9576824;5,46218267;"3130_na";"hoog";TRUE;TRUE
"26";"IV2017040309253000";"HT31xx_LSVI_StilstaandeWateren";"AN_KAL_003_3160_16";"AN_KAL_003";"2016-09-20";51,40894654;4,43138856;"3160";"hoog";TRUE;TRUE
"27";"IV2017040309413235";"HT31xx_LSVI_StilstaandeWateren";"AN_DVH_003_3130n_16";"AN_DVH_003";"2016-09-21";51,32525293;4,73478972;"3130_na";"hoog";TRUE;TRUE
"28";"IV2017040309554429";"HT31xx_LSVI_StilstaandeWateren";"AN_BEE_002_3130a_16";"AN_BEE_002";"2016-09-21";51,32681727;4,81938165;"3130_aom";"hoog";TRUE;TRUE
"29";"IV2017040310093041";"HT31xx_LSVI_StilstaandeWateren";"AN_TIK_002_3130a_16";"AN_TIK_002";"2016-09-12";51,27717218;4,99871312;"3130_aom";"hoog";TRUE;TRUE
"30";"IV2017040310252958";"HT31xx_LSVI_StilstaandeWateren";"AN_VOL_001_3130a_16";"AN_VOL_001";"2016-09-27";51,15887544;5,07831602;"3130_aom";"hoog";TRUE;TRUE
"31";"IV2017040410373172";"HT31xx_LSVI_StilstaandeWateren";"AN_LDL_001_3160_16";"AN_LDL_001";"2016-09-08";51,33744987;5,02985626;"3160";"hoog";TRUE;TRUE
"32";"IV2017040410453770";"HT31xx_LSVI_StilstaandeWateren";"AN_LDL_003_3160_16";"AN_LDL_003";"2016-09-08";51,33833151;5,02431151;"3160";"hoog";TRUE;TRUE
