ID	Habitattype	Versie	Criterium	Kwaliteitsniveau	Status_criterium	Aggregatiemethode	Index_min_criterium	Index_harm_criterium
IV2016120512445956	3260	Versie 3	Structuur	1	0	RapportageHR	-0.975	-0.950819672131147
IV2016120512445956	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120512445956	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.0100050025012506	0.136295126677672
IV2016120809224601	3260	Versie 3	Structuur	1	1	RapportageHR	0.666666666666667	1.55813953488372
IV2016120809224601	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120809224601	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.31746183905583
IV2016120812572168	3260	Versie 3	Structuur	1	1	RapportageHR	0.5	0.701923076923077
IV2016120812572168	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120812572168	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.31746183905583
IV2016120813184428	3260	Versie 3	Structuur	1	0	RapportageHR	-0.9	-0.809677419354839
IV2016120813184428	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120813184428	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.302158148872467
IV2016120813410051	3260	Versie 3	Structuur	1	0	RapportageHR	-0.975	-0.950627615062761
IV2016120813410051	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120813410051	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.31746183905583
IV2016120814151855	3260	Versie 3	Structuur	1	0	RapportageHR	-0.998	-0.99600406366407
IV2016120814151855	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120814151855	3260	Versie 3	Verstoring	1	1	RapportageHR	1	1
IV2016120814452463	3260	Versie 3	Structuur	1	0	RapportageHR	-0.9995	-0.999000263088661
IV2016120814452463	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016120814452463	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.31746183905583
IV2016120916091640	3260	Versie 3	Structuur	1	0	RapportageHR	-0.95	-0.903225806451613
IV2016120916091640	3260	Versie 3	Vegetatie	1	1	RapportageHR	0.25	0.25
IV2016120916091640	3260	Versie 3	Verstoring	1	1	RapportageHR	0.966666666666667	0.983193277310924
IV2016121210560857	3260	Versie 3	Structuur	1	0	RapportageHR	-0.95	-0.903614457831325
IV2016121210560857	3260	Versie 3	Vegetatie	1	0	RapportageHR	-0.5	-0.5
IV2016121210560857	3260	Versie 3	Verstoring	1	1	RapportageHR	0.966666666666667	0.983193277310924
IV2016121211363938	3260	Versie 3	Structuur	1	1	RapportageHR	0.966666666666667	2.54590984974958
IV2016121211363938	3260	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2016121211363938	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.0495247623811906	0.251909311449879
IV2016121212030936	3260	Versie 3	Structuur	1	0	RapportageHR	-0.99	-0.980119284294235
IV2016121212030936	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016121212030936	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.242547850643238
IV2016121212144933	3260	Versie 3	Structuur	1	0	RapportageHR	-0.999	-0.998001332445037
IV2016121212144933	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016121212144933	3260	Versie 3	Verstoring	1	1	RapportageHR	0.966666666666667	0.983193277310924
IV2016121212251275	3260	Versie 3	Structuur	1	0	RapportageHR	-0.975	-0.950738916256158
IV2016121212251275	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2016121212251275	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.142857142857143	0.2
IV2017010215025058	3260	Versie 3	Structuur	1	0	RapportageHR	-0.95	-0.903614457831325
IV2017010215025058	3260	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2017010215025058	3260	Versie 3	Verstoring	1	1	RapportageHR	0.833333333333333	0.91304347826087
IV2017010311384515	3260	Versie 3	Structuur	1	0	RapportageHR	-0.7	-0.5
IV2017010311384515	3260	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2017010311384515	3260	Versie 3	Verstoring	1	1	RapportageHR	0.966666666666667	0.983193277310924
IV2017010312332288	3260	Versie 3	Structuur	1	0	RapportageHR	-0.7	-0.5
IV2017010312332288	3260	Versie 3	Vegetatie	1	1	RapportageHR	0	0
IV2017010312332288	3260	Versie 3	Verstoring	1	1	RapportageHR	0.966666666666667	0.983193277310924
IV2017010315000010	3260	Versie 3	Structuur	1	0	RapportageHR	-0.95	-0.902654867256637
IV2017010315000010	3260	Versie 3	Vegetatie	1	0	RapportageHR	-0.5	-0.5
IV2017010315000010	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.309897229414516
IV2017010315532909	3260	Versie 3	Structuur	1	1	RapportageHR	0.5	0.663366336633664
IV2017010315532909	3260	Versie 3	Vegetatie	1	0	RapportageHR	-0.5	-0.5
IV2017010315532909	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.294238490988888
IV2017010316171032	3260	Versie 3	Structuur	1	0	RapportageHR	-0.95	-0.902479338842975
IV2017010316171032	3260	Versie 3	Vegetatie	1	0	RapportageHR	-1	-1
IV2017010316171032	3260	Versie 3	Verstoring	1	0	RapportageHR	-0.00950475237618809	0.286131860993829
