ID	Habitattype	Versie	Kwaliteitsniveau	Status	Aggregatiemethode	Index_min_min	Index_min_harm	Index_harm_harm
IV2017030215512887	3130_aom	Versie 3	1	1	RapportageHR	-0.666666666666667	-0.306543702121552	-0.282780478560272
IV2017030216035187	3140	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017030812063258	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017030812170830	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032009171774	3150	Versie 3	1	0	RapportageHR	-0.928571428571428	-0.825336484126169	-0.724562647268476
IV2017032009323636	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032009392259	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032009592467	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032010113891	3130_aom	Versie 3	1	0	RapportageHR	-0.333333333333333	-0.194736842105263	-0.053904849543322
IV2017032010205954	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032010360108	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032010493372	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.503012048192771	-0.404083630188792
IV2017032011215641	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032011233563	3140	Versie 3	1	0	RapportageHR	-0.00450225112556278	0.301878420235927	0.531712906487653
IV2017032011335845	3130_aom	Versie 3	1	0	RapportageHR	-0.166666666666667	-0.108910891089109	0.0106925461451381
IV2017032011441776	3160	Versie 3	1	0	RapportageHR	-0.166666666666667	0.111111111111111	0.247660687866984
IV2017032011501490	3130_aom	Versie 3	1	0	RapportageHR	-0.833333333333333	-0.641025641025641	-0.383374770229968
IV2017032809493991	3140	Versie 3	1	0	RapportageHR	-0.885714285714286	-0.708987161198289	-0.561374992078496
IV2017032809570000	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032810082114	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032810192681	3150	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032810361983	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017032810490646	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017040309190179	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017040309253000	3160	Versie 3	1	0	RapportageHR	-0.5	-0.142857142857143	-0.0534759358288769
IV2017040309413235	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2017040309554429	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.4375	-0.386722553256804
IV2017040310093041	3130_aom	Versie 3	1	0	RapportageHR	-0.333333333333333	-0.18944099378882	-0.0519047774213492
IV2017040310252958	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.375632842632174	-0.35046662665256
