recording_givid	survey	user_reference	location	date	latitude	longitude	type_observed	reliability	suitable_mhq	measured
IV2017030215512887	HT31xx_LSVI_StilstaandeWateren	AN_KDN_002_3130a_16	AN_KDN_002	2016-10-14	51.24425035	4.79130122	3	hoog	1	1
IV2017030216035187	HT31xx_LSVI_StilstaandeWateren	AN_KDN_002_3140_16	AN_KDN_002	2016-10-14	51.24425035	4.79130122	5	hoog	1	1
IV2017030812063258	HT31xx_LSVI_StilstaandeWateren	AN_SNE_004_3130a_16	AN_SNE_004	2016-10-18	51.19869718	4.88019249	3	hoog	1	1
IV2017030812170830	HT31xx_LSVI_StilstaandeWateren	AN_SNE_004_3160_16	AN_SNE_004	2016-10-18	51.19869718	4.88019249	7	hoog	1	1
IV2017032009171774	HT31xx_LSVI_StilstaandeWateren	LI_MAT_003_3150_16	LI_MAT_003	2016-08-31	50.9504739	5.45363597	6	hoog	1	1
IV2017032009323636	HT31xx_LSVI_StilstaandeWateren	AN_KAL_007_3160_16	AN_KAL_007	2016-11-04	51.41378327	4.41973119	7	hoog	1	1
IV2017032009392259	HT31xx_LSVI_StilstaandeWateren	LI_OPH_005_3160_16	LI_OPH_005	2016-11-03	51.04917689	5.53603228	7	hoog	1	1
IV2017032009542119	HT31xx_LSVI_StilstaandeWateren	AN_KAL_004_3130a_16	AN_KAL_004	2016-11-04	51.39208599	4.44349329	3	matig	0	1
IV2017032009592467	HT31xx_LSVI_StilstaandeWateren	LI_MAT_001_3130n_16	LI_MAT_001	2016-07-28	50.95983871	5.46715001	4	hoog	1	1
IV2017032010113891	HT31xx_LSVI_StilstaandeWateren	AN_TUR_001_3130a_16	AN_TUR_001	2016-10-20	51.36250429	4.96921856	3	hoog	1	1
IV2017032010205954	HT31xx_LSVI_StilstaandeWateren	AN_BEE_001_3130n_16	AN_BEE_001	2016-10-20	51.3271709	4.8179569	4	hoog	1	1
IV2017032010360108	HT31xx_LSVI_StilstaandeWateren	AN_BEE_001_3130a_16	AN_BEE_001	2016-10-20	51.3271709	4.8179569	3	hoog	1	1
IV2017032010493372	HT31xx_LSVI_StilstaandeWateren	AN_LIL_001_3130a_16	AN_LIL_001	2016-10-13	51.27227892	4.82291154	3	hoog	1	1
IV2017032011215641	HT31xx_LSVI_StilstaandeWateren	AN_VVM_002_3160_16	AN_VVM_002	2016-10-21	51.41403072	4.83746028	7	hoog	1	1
IV2017032011233563	HT31xx_LSVI_StilstaandeWateren	AN_MOL_003_3140_16	AN_MOL_003	2016-10-13	51.23364977	5.19549426	5	hoog	1	1
IV2017032011335845	HT31xx_LSVI_StilstaandeWateren	AN_MOL_003_3130a_16	AN_MOL_003	2016-10-13	51.23364977	5.19549426	3	hoog	1	1
IV2017032011441776	HT31xx_LSVI_StilstaandeWateren	AN_MOL_003_3160_16	AN_MOL_003	2016-10-13	51.23364977	5.19549426	7	hoog	1	1
IV2017032011501490	HT31xx_LSVI_StilstaandeWateren	AN_TVG_004_3130a_16	AN_TVG_004	2016-10-20	51.36987386	4.93587851	3	hoog	1	1
IV2017032809493991	HT31xx_LSVI_StilstaandeWateren	LI_MAT_002_3140_16	LI_MAT_002	2016-08-31	50.95334761	5.45424854	5	hoog	1	1
IV2017032809570000	HT31xx_LSVI_StilstaandeWateren	LI_MAT_002_3130n_16	LI_MAT_002	2016-08-31	50.95334761	5.45424854	4	hoog	1	1
IV2017032810082114	HT31xx_LSVI_StilstaandeWateren	LI_MAT_002_3130a_16	LI_MAT_002	2016-08-31	50.95334761	5.45424854	3	hoog	1	1
IV2017032810192681	HT31xx_LSVI_StilstaandeWateren	LI_LAN_008_3150_16	LI_LAN_008	2016-09-22	50.9413975	5.41165044	6	hoog	1	1
IV2017032810361983	HT31xx_LSVI_StilstaandeWateren	AN_RPT_002_3130n_16	AN_RPT_002	2016-09-09	51.28686365	5.15520577	4	hoog	1	1
IV2017032810490646	HT31xx_LSVI_StilstaandeWateren	AN_RPT_002_3130a_16	AN_RPT_002	2016-09-09	51.28686365	5.15520577	3	hoog	1	1
IV2017040309190179	HT31xx_LSVI_StilstaandeWateren	LI_MAT_009_3130n_16	LI_MAT_009	2016-09-14	50.9576824	5.46218267	4	hoog	1	1
IV2017040309253000	HT31xx_LSVI_StilstaandeWateren	AN_KAL_003_3160_16	AN_KAL_003	2016-09-20	51.40894654	4.43138856	7	hoog	1	1
IV2017040309413235	HT31xx_LSVI_StilstaandeWateren	AN_DVH_003_3130n_16	AN_DVH_003	2016-09-21	51.32525293	4.73478972	4	hoog	1	1
IV2017040309554429	HT31xx_LSVI_StilstaandeWateren	AN_BEE_002_3130a_16	AN_BEE_002	2016-09-21	51.32681727	4.81938165	3	hoog	1	1
IV2017040310093041	HT31xx_LSVI_StilstaandeWateren	AN_TIK_002_3130a_16	AN_TIK_002	2016-09-12	51.27717218	4.99871312	3	hoog	1	1
IV2017040310252958	HT31xx_LSVI_StilstaandeWateren	AN_VOL_001_3130a_16	AN_VOL_001	2016-09-27	51.15887544	5.07831602	3	hoog	1	1
IV2017040410373172	HT31xx_LSVI_StilstaandeWateren	AN_LDL_001_3160_16	AN_LDL_001	2016-09-08	51.33744987	5.02985626	7	hoog	1	1
IV2017040410453770	HT31xx_LSVI_StilstaandeWateren	AN_LDL_003_3160_16	AN_LDL_003	2016-09-08	51.33833151	5.02431151	7	hoog	1	1
IV2017040410525894	HT31xx_LSVI_StilstaandeWateren	AN_LDL_002_3130a_16	AN_LDL_002	2016-09-15	51.32589069	5.02134897	3	hoog	1	1
IV2017042509124286	HT31xx_LSVI_StilstaandeWateren	AN_TVG_003_3130a_16	AN_TVG_003	2016-08-25	51.37153535	4.93416516	3	hoog	1	1
IV2017042509274762	HT31xx_LSVI_StilstaandeWateren	AN_TVG_003_3130n_16	AN_TVG_003	2016-08-25	51.37153535	4.93416516	4	hoog	1	1
IV2017042509374052	HT31xx_LSVI_StilstaandeWateren	LI_MEC_001_3160_16	LI_MEC_001	2016-08-26	50.97735734	5.60980635	7	hoog	1	1
IV2017042509472815	HT31xx_LSVI_StilstaandeWateren	LI_MEC_002_3160_16	LI_MEC_002	2016-08-26	50.97588317	5.61019681	7	hoog	1	1
IV2017042509542011	HT31xx_LSVI_StilstaandeWateren	AN_DVH_004_3140_16	AN_DVH_004	2016-08-23	51.33252006	4.72760402	5	hoog	1	1
IV2017042509585340	HT31xx_LSVI_StilstaandeWateren	AN_DVH_004_3130n_16	AN_DVH_004	2016-08-23	51.33252006	4.72760402	4	hoog	1	1
IV2017042510052573	HT31xx_LSVI_StilstaandeWateren	LI_MAT_007_3150_16	LI_MAT_007	2016-07-27	50.94773667	5.44913094	6	hoog	1	1
IV2017042510131430	HT31xx_LSVI_StilstaandeWateren	LI_MAT_007_3140_16	LI_MAT_007	2016-07-27	50.94773667	5.44913094	5	hoog	1	1
IV2017042510565778	HT31xx_LSVI_StilstaandeWateren	AN_SNE_003_3160_16	AN_SNE_003	2016-09-28	51.19756552	4.87879983	7	hoog	1	1
IV2017042510593494	HT31xx_LSVI_StilstaandeWateren	AN_SNE_003_3130a_16	AN_SNE_003	2016-09-28	51.19756552	4.87879983	3	hoog	1	1
IV2017042511032923	HT31xx_LSVI_StilstaandeWateren	LI_VZB_008_3160_16	LI_VZB_008	2016-09-26	51.08739903	5.33362008	7	hoog	1	1
IV2017042511154407	HT31xx_LSVI_StilstaandeWateren	AN_DES_004_3130a_16	AN_DES_004	2016-09-15	51.26456384	5.16555556	3	hoog	1	1
IV2017042511431890	HT31xx_LSVI_StilstaandeWateren	AN_DES_004_3160_16	AN_DES_004	2016-09-15	51.26456384	5.16555556	7	hoog	1	1
IV2017042511540583	HT31xx_LSVI_StilstaandeWateren	AN_GSV_002_3130n_16	AN_GSV_002	2016-09-30	51.33589415	4.55857979	4	hoog	1	1
IV2017042513300849	HT31xx_LSVI_StilstaandeWateren	LI_MAT_004_3130n_16	LI_MAT_004	2016-08-30	50.95019429	5.45132872	4	hoog	1	1
IV2017062909012541	HT31xx_LSVI_StilstaandeWateren	LI_WIK_005_3130a_16	LI_WIK_005	2016-08-04	50.97062952	5.42640296	3	hoog	1	1
IV2017072508474428	HT31xx_LSVI_StilstaandeWateren	LI_BOK_004_3130n_16	LI_BOK_004	2016-09-16	50.96293333	5.39204832	4	hoog	1	1
IV2017072509005921	HT31xx_LSVI_StilstaandeWateren	LI_BOK_004_3130a_16	LI_BOK_004	2016-09-16	50.96293333	5.39204832	3	hoog	1	1
IV2017120618361898	HT31xx_LSVI_StilstaandeWateren	LI_DON_003_3160_17	LI_DON_003	2017-09-22	51.0546836	5.51019945	7	hoog	1	1
IV2017120618385593	HT31xx_LSVI_StilstaandeWateren	LI_DON_002_3160_17	LI_DON_002	2017-09-22	51.0545075	5.51266365	7	hoog	1	1
IV2017120707274258	HT31xx_LSVI_StilstaandeWateren	LI_DON_002_3130a_17	LI_DON_002	2017-09-22	51.0545075	5.51266365	3	hoog	1	1
IV2017120707423829	HT31xx_LSVI_StilstaandeWateren	AN_RPT_003_3130a_17	AN_RPT_003	2017-07-26	51.29207002	5.15197072	3	hoog	1	1
IV2017120707501887	HT31xx_LSVI_StilstaandeWateren	AN_RPT_003_3130n_17	AN_RPT_003	2017-07-26	51.29207002	5.15197072	4	hoog	1	1
IV2017120708015628	HT31xx_LSVI_StilstaandeWateren	LI_WIK_002_3130a_16	LI_WIK_002	2016-07-25	50.97175918	5.41903774	3	hoog	1	1
