survey	recording_givid	name	phenology_code	species_cover_code	species_cover	scale
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Agrostis canina L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Draadwier	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Glyceria fluitans (L.) R. Brown	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Hypericum elodes L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Juncus effusus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Molinia caerulea (L.) Moench	-	r	1	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Polygonum hydropiper L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Scirpus fluitans L.	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	Sphagnum	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	Draadwier	-	r	1	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	Potamogeton coloratus Hornem.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	Drepanocladus fluitans	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	Glyceria fluitans (L.) R. Brown	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	Juncus bulbosus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	Molinia caerulea (L.) Moench	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	Scirpus fluitans L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	Sphagnum	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	Glyceria fluitans (L.) R. Brown	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	Juncus bulbosus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	Molinia caerulea (L.) Moench	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	Sphagnum cuspidatum Ehrh. ex Hoffm.	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	Warnstorfia fluitans (Hedw.) Loeske	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	Draadwier	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	Lemna	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	Lemna minuta Humb., Bonpl. et Kunth	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	Utricularia australis R. Brown	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	Agrostis canina L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	Hydrocotyle vulgaris L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	Juncus effusus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	Molinia caerulea (L.) Moench	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	Sphagnum cuspidatum Ehrh. ex Hoffm.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	Warnstorfia fluitans (Hedw.) Loeske	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Agrostis canina L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Glyceria fluitans (L.) R. Brown	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Juncus bulbosus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Juncus effusus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Molinia caerulea (L.) Moench	-	d	87	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Sphagnum cuspidatum Ehrh. ex Hoffm.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	Utricularia minor L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Agrostis canina L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Drepanocladus fluitans	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Glyceria fluitans (L.) R. Brown	-	r	1	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Juncus bulbosus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Juncus effusus L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Littorella uniflora (L.) Aschers.	-	r	1	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Molinia caerulea (L.) Moench	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	Sphagnum	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Elatine hexandra (Lapierre) DC.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Juncus effusus L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Lemna minuta Humb., Bonpl. et Kunth	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Lythrum salicaria L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Polygonum hydropiper L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Sphagnum	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	Typha	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Draadwier	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Juncus effusus L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Lemna	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Molinia caerulea (L.) Moench	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Potamogeton polygonifolius Pourr.	-	a	30	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Scirpus fluitans L.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	Sphagnum	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Agrostis canina L.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Bidens	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Elatine hexandra (Lapierre) DC.	-	f	7	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Eleocharis acicularis (L.) Roem. et Schult.	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Glyceria maxima (Hartm.) Holmberg	-	o	3	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Juncus bulbosus L.	-	d	87	Tansley Meren
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	Juncus effusus L.	-	a	30	Tansley Meren
