"";"survey";"recording_givid";"name";"phenology_code";"species_cover_code";"species_cover";"scale"
"1";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Agrostis canina L.";"-";"f";7;"Tansley Meren"
"2";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Glyceria fluitans (L.) R. Brown";"-";"f";7;"Tansley Meren"
"3";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Juncus effusus L.";"-";"f";7;"Tansley Meren"
"4";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Molinia caerulea (L.) Moench";"-";"r";1;"Tansley Meren"
"5";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Polygonum hydropiper L.";"-";"o";3;"Tansley Meren"
"6";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Draadwier";"-";"o";3;"Tansley Meren"
"7";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Hypericum elodes L.";"-";"f";7;"Tansley Meren"
"8";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Scirpus fluitans L.";"-";"a";30;"Tansley Meren"
"9";"HT31xx_LSVI_StilstaandeWateren";"IV2017030215512887";"Sphagnum";"-";"o";3;"Tansley Meren"
"10";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"Draadwier";"-";"r";1;"Tansley Meren"
"11";"HT31xx_LSVI_StilstaandeWateren";"IV2017030216035187";"Potamogeton coloratus Hornem.";"-";"o";3;"Tansley Meren"
"12";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"Glyceria fluitans (L.) R. Brown";"-";"o";3;"Tansley Meren"
"13";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"Molinia caerulea (L.) Moench";"-";"a";30;"Tansley Meren"
"14";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"Scirpus fluitans L.";"-";"o";3;"Tansley Meren"
"15";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"16";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"Sphagnum";"-";"a";30;"Tansley Meren"
"17";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812063258";"Drepanocladus fluitans";"-";"o";3;"Tansley Meren"
"18";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"Glyceria fluitans (L.) R. Brown";"-";"o";3;"Tansley Meren"
"19";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"Molinia caerulea (L.) Moench";"-";"a";30;"Tansley Meren"
"20";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"-";"a";30;"Tansley Meren"
"21";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"22";"HT31xx_LSVI_StilstaandeWateren";"IV2017030812170830";"Warnstorfia fluitans (Hedw.) Loeske";"-";"o";3;"Tansley Meren"
"23";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"Draadwier";"-";"f";7;"Tansley Meren"
"24";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"Lemna";"-";"f";7;"Tansley Meren"
"25";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"26";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"Utricularia australis R. Brown";"-";"f";7;"Tansley Meren"
"27";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"28";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"Hydrocotyle vulgaris L.";"-";"f";7;"Tansley Meren"
"29";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"Juncus effusus L.";"-";"f";7;"Tansley Meren"
"30";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"Molinia caerulea (L.) Moench";"-";"f";7;"Tansley Meren"
"31";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"-";"o";3;"Tansley Meren"
"32";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"Warnstorfia fluitans (Hedw.) Loeske";"-";"f";7;"Tansley Meren"
"33";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"34";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Glyceria fluitans (L.) R. Brown";"-";"f";7;"Tansley Meren"
"35";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Juncus effusus L.";"-";"f";7;"Tansley Meren"
"36";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Molinia caerulea (L.) Moench";"-";"d";87;"Tansley Meren"
"37";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"-";"f";7;"Tansley Meren"
"38";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Utricularia minor L.";"-";"f";7;"Tansley Meren"
"39";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"40";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Agrostis canina L.";"-";"f";7;"Tansley Meren"
